,how,many,bafta,tv,awards,has,doctor,who,won,?
it,0.36714982986450195,0.39615920186042786,0.12360318005084991,0.15281613171100616,0.15986032783985138,0.41962623596191406,0.24568085372447968,0.2868398427963257,0.20621849596500397,0.25732165575027466
won,0.13434793055057526,0.2252970188856125,0.3919191360473633,0.22194483876228333,0.5537689328193665,0.24499812722206116,0.20737384259700775,0.24654650688171387,1.0000001192092896,0.17925700545310974
five,0.20553050935268402,0.41084155440330505,0.23972412943840027,0.15621821582317352,0.23614583909511566,0.31175675988197327,0.11301461607217789,0.22190363705158234,0.2007865458726883,0.18342848122119904
bafta,0.2014552652835846,0.21531705558300018,0.9999998807907104,0.3701958954334259,0.6014565825462341,0.22981144487857819,0.18071195483207703,0.2036275565624237,0.3919191360473633,0.19733621180057526
tv,0.14689788222312927,0.1735375076532364,0.3701958954334259,0.9999998807907104,0.31307297945022583,0.20458213984966278,0.23672568798065186,0.20096197724342346,0.22194483876228333,0.20290863513946533
awards,0.20047736167907715,0.22891567647457123,0.6014565825462341,0.31307297945022583,1.0000001192092896,0.2708130478858948,0.16846410930156708,0.22637341916561127,0.5537689328193665,0.2122269868850708
",",0.22659391164779663,0.40610817074775696,0.18692156672477722,0.2778550088405609,0.27591487765312195,0.3734780251979828,0.20407600700855255,0.3365725874900818,0.35968565940856934,0.31091248989105225
including,0.20270724594593048,0.6119236350059509,0.2892061173915863,0.22471219301223755,0.27702921628952026,0.36956900358200073,0.104278564453125,0.2835840582847595,0.2627872824668884,0.1633303165435791
best,0.25441184639930725,0.2589998245239258,0.43743759393692017,0.24577094614505768,0.48694908618927,0.23016110062599182,0.1909310668706894,0.266329824924469,0.42620420455932617,0.2799045741558075
drama,0.20377735793590546,0.19534842669963837,0.3884863257408142,0.40737050771713257,0.3189375102519989,0.20040154457092285,0.2582404613494873,0.2117668092250824,0.30938053131103516,0.21114452183246613
series,0.17967022955417633,0.2703429162502289,0.34880441427230835,0.5038743615150452,0.29899898171424866,0.16834278404712677,0.2712797522544861,0.21484537422657013,0.25377801060676575,0.1709602326154709
",",0.22659391164779663,0.40610817074775696,0.18692156672477722,0.2778550088405609,0.27591487765312195,0.3734780251979828,0.20407600700855255,0.3365725874900818,0.35968565940856934,0.31091248989105225
