,what,is,the,term,for,wind-blown,dust,in,a,tundra,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,0.31045541167259216,0.2346910536289215,0.6662389636039734,0.5829201340675354,0.21247225999832153,0.22068053483963013
loess,0.2774580717086792,0.2421620488166809,0.27459967136383057,0.1687798649072647,0.2849976122379303,0.3533875644207001,0.24784734845161438,0.31200727820396423,0.24410608410835266,0.2261628657579422,0.283729612827301
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.34949591755867004,0.4111599624156952,0.2686075270175934,0.24803777039051056,0.3586423695087433,0.48853766918182373,0.22353407740592957,0.32389625906944275
wind-blown,0.2711873948574066,0.25993072986602783,0.31045541167259216,0.1226925402879715,0.1944696605205536,1.0,0.4011300206184387,0.2412945032119751,0.33412864804267883,0.33022698760032654,0.226430281996727
dust,0.1907336562871933,0.17347866296768188,0.2346910536289215,0.07497479021549225,0.2160053700208664,0.4011300206184387,1.0,0.19673727452754974,0.24757064878940582,0.29584813117980957,0.15803812444210052
over,0.28007611632347107,0.2159561663866043,0.39856547117233276,0.18135729432106018,0.3419422209262848,0.29910513758659363,0.22320112586021423,0.3605569899082184,0.32199642062187195,0.24986033141613007,0.25742942094802856
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2833994925022125,0.4137635827064514,0.3112361431121826,0.26238390803337097,0.435920387506485,0.47537946701049805,0.198017880320549,0.32716336846351624
tundra,0.18485772609710693,0.20256143808364868,0.21247225999832153,0.18426351249217987,0.24458123743534088,0.33022698760032654,0.29584813117980957,0.20398490130901337,0.18197400867938995,1.0,0.0926612988114357
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.32144084572792053,0.23566173017024994,0.5201468467712402,0.427140474319458,0.24739380180835724,0.31091248989105225
settled,0.23502321541309357,0.1917823702096939,0.29293251037597656,0.15503253042697906,0.15168479084968567,0.22344018518924713,0.1386823207139969,0.30584418773651123,0.24018414318561554,0.23817653954029083,0.09694210439920425
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27866655588150024,0.4322226941585541,0.2412945032119751,0.19673727452754974,1.0,0.539380669593811,0.20398490130901337,0.20430970191955566
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22272127866744995,0.5064792633056641,0.2946311831474304,0.19462935626506805,0.4954058527946472,0.3739250600337982,0.26360899209976196,0.20544172823429108
around,0.27475327253341675,0.286477267742157,0.40085816383361816,0.12037602066993713,0.3193374276161194,0.3129161596298218,0.26815906167030334,0.41294145584106445,0.3187784254550934,0.26632171869277954,0.14729668200016022
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,0.31045541167259216,0.2346910536289215,0.6662389636039734,0.5829201340675354,0.21247225999832153,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.10902741551399231,0.1584572196006775,0.2562842071056366,0.1107994019985199,0.24648422002792358,0.1823403388261795,0.15859998762607574,0.13754533231258392
valley,0.15729281306266785,0.21787452697753906,0.2923165559768677,0.07128125429153442,0.1760607212781906,0.27751752734184265,0.21331818401813507,0.2723499834537506,0.20923256874084473,0.22745883464813232,0.11486150324344635
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.32144084572792053,0.23566173017024994,0.5201468467712402,0.427140474319458,0.24739380180835724,0.31091248989105225
contributing,0.3249661326408386,0.2102007418870926,0.2776218056678772,0.16748425364494324,0.3318781554698944,0.2385181486606598,0.14775919914245605,0.2501331865787506,0.2659914791584015,0.16733355820178986,0.30185750126838684
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3310292959213257,0.4451248347759247,0.2785036563873291,0.26756495237350464,0.45010748505592346,0.45503583550453186,0.2507353127002716,0.29463258385658264
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.22507697343826294,0.2992613911628723,0.2374618649482727,0.1476626992225647,0.3793783485889435,0.4424409866333008,0.13447895646095276,0.15103481709957123
current,0.18294453620910645,0.2555285692214966,0.3314409554004669,0.13717421889305115,0.27481377124786377,0.21872739493846893,0.1422051042318344,0.1955713927745819,0.1987239569425583,0.21296466886997223,0.12074550241231918
agricultural,0.17047324776649475,0.20706014335155487,0.2716485559940338,0.15288066864013672,0.27820488810539246,0.21329765021800995,0.15582875907421112,0.2751860022544861,0.24095723032951355,0.33425864577293396,0.0713675245642662
usefulness,0.4159407317638397,0.22391575574874878,0.24747401475906372,0.24841885268688202,0.3516061007976532,0.22432741522789001,0.18526145815849304,0.18896473944187164,0.24700096249580383,0.18555587530136108,0.37999337911605835
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.4726039469242096,0.3145287036895752,0.1864197701215744,0.5591574311256409,0.50484299659729,0.2376428246498108,0.4130953550338745
