,what,made,ohio,country,vulnerable,?
the,0.42745697498321533,0.3885267674922943,0.24653035402297974,0.30432501435279846,0.23988863825798035,0.22068053483963013
ohio,0.10887482017278671,0.18781302869319916,0.9999999403953552,0.1654648780822754,0.09893576055765152,0.10064033418893814
country,0.22705033421516418,0.15323494374752045,0.1654648780822754,1.0000001192092896,0.16457639634609222,0.12647280097007751
was,0.22111038863658905,0.3433256447315216,0.207236185669899,0.24557247757911682,0.17982906103134155,0.18412111699581146
particularly,0.33027681708335876,0.2272026091814041,0.13101406395435333,0.17960959672927856,0.3115999102592468,0.2644225060939789
vulnerable,0.17402198910713196,0.14746327698230743,0.09893576055765152,0.16457639634609222,0.9999999403953552,0.12772656977176666
to,0.455847829580307,0.3377571105957031,0.1818198561668396,0.31281599402427673,0.2332347333431244,0.29463258385658264
legal,0.26388198137283325,0.23199774324893951,0.10472166538238525,0.23803944885730743,0.15454821288585663,0.2143220454454422
and,0.31309178471565247,0.34954607486724854,0.2680337131023407,0.30884742736816406,0.26953402161598206,0.20544172823429108
illegal,0.21956031024456024,0.2671308219432831,0.17232991755008698,0.25847798585891724,0.19107286632061005,0.1562941074371338
settlement,0.2558431327342987,0.1350707858800888,0.09982568025588989,0.2423466295003891,0.13768792152404785,0.12535437941551208
due,0.15204688906669617,0.1721457988023758,0.16457384824752808,0.16745583713054657,0.2930106520652771,0.10954997688531876
to,0.455847829580307,0.3377571105957031,0.1818198561668396,0.31281599402427673,0.2332347333431244,0.29463258385658264
the,0.42745697498321533,0.3885267674922943,0.24653035402297974,0.30432501435279846,0.23988863825798035,0.22068053483963013
construction,0.20329850912094116,0.19176240265369415,0.10393140465021133,0.11600799858570099,0.1521327644586563,0.13494056463241577
of,0.33290785551071167,0.33167365193367004,0.1960361748933792,0.28866857290267944,0.27426549792289734,0.1826142966747284
military,0.18809624016284943,0.17217375338077545,0.21452488005161285,0.29486605525016785,0.17101611196994781,0.1890317052602768
roads,0.19353218376636505,0.17131564021110535,0.12727470695972443,0.22630874812602997,0.18622784316539764,0.17565645277500153
to,0.455847829580307,0.3377571105957031,0.1818198561668396,0.31281599402427673,0.2332347333431244,0.29463258385658264
the,0.42745697498321533,0.3885267674922943,0.24653035402297974,0.30432501435279846,0.23988863825798035,0.22068053483963013
area,0.21965408325195312,0.14538754522800446,0.18180274963378906,0.33299076557159424,0.21333461999893188,0.12640461325645447
by,0.2455483376979828,0.34175434708595276,0.1997014433145523,0.24224938452243805,0.20084139704704285,0.17966607213020325
braddock,0.16612768173217773,0.14932647347450256,0.3053918182849884,0.1727667897939682,0.20538370311260223,0.1826469451189041
and,0.31309178471565247,0.34954607486724854,0.2680337131023407,0.30884742736816406,0.26953402161598206,0.20544172823429108
forbes,0.11085224151611328,0.1430901736021042,0.1565617471933365,0.19581575691699982,0.17451702058315277,0.1712266504764557
.,0.3567904531955719,0.4032190144062042,0.2659587562084198,0.26130348443984985,0.21427053213119507,0.4130953550338745
