,what,makes,energy,changes,in,a,closed,system,?
according,0.2776208221912384,0.2355778068304062,0.21064582467079163,0.23423440754413605,0.29259276390075684,0.239227756857872,0.12429103255271912,0.17957951128482819,0.21173474192619324
to,0.455847829580307,0.35811367630958557,0.27179354429244995,0.32918253540992737,0.45010748505592346,0.45503583550453186,0.2852984070777893,0.26662686467170715,0.29463258385658264
the,0.42745697498321533,0.3029823303222656,0.26756542921066284,0.3427845537662506,0.6662389636039734,0.5829201340675354,0.2359541952610016,0.3233085572719574,0.22068053483963013
second,0.19948028028011322,0.16290989518165588,0.20766355097293854,0.18149212002754211,0.34510284662246704,0.3655064105987549,0.14701604843139648,0.17045217752456665,0.17239587008953094
law,0.2145031988620758,0.12979798018932343,0.1985999345779419,0.18271425366401672,0.24850773811340332,0.2212858349084854,0.18180058896541595,0.24315278232097626,0.1528988480567932
of,0.33290785551071167,0.2927091419696808,0.26257598400115967,0.25827232003211975,0.5696388483047485,0.5052502155303955,0.15899594128131866,0.25597915053367615,0.1826142966747284
thermodynamics,0.27329376339912415,0.31608477234840393,0.4999813437461853,0.30675601959228516,0.217291459441185,0.21420520544052124,0.18484239280223846,0.33194002509117126,0.24725773930549622
",",0.3087472915649414,0.2926395535469055,0.21156731247901917,0.23045918345451355,0.5201468467712402,0.427140474319458,0.2763722538948059,0.18439900875091553,0.31091248989105225
nonconservative,0.25337398052215576,0.17097121477127075,0.24906067550182343,0.2610875368118286,0.2186841368675232,0.25133371353149414,0.18273518979549408,0.1471623331308365,0.2374468743801117
forces,0.2112482488155365,0.19715367257595062,0.2703719139099121,0.18860189616680145,0.2565164566040039,0.17848460376262665,0.15826721489429474,0.17889748513698578,0.16984491050243378
necessarily,0.4277169704437256,0.2786397635936737,0.24011743068695068,0.2266979217529297,0.14690805971622467,0.2749404311180115,0.1854339838027954,0.19553421437740326,0.32468926906585693
result,0.19945499300956726,0.21470892429351807,0.2337159812450409,0.2708933353424072,0.25670310854911804,0.2767398953437805,0.25624799728393555,0.21501560509204865,0.17218433320522308
in,0.30808621644973755,0.22258508205413818,0.17693158984184265,0.226434126496315,1.0,0.539380669593811,0.21606552600860596,0.21978288888931274,0.20430970191955566
energy,0.190252885222435,0.2283012419939041,1.0000001192092896,0.23453305661678314,0.17693158984184265,0.21513298153877258,0.20746156573295593,0.2296154797077179,0.14860127866268158
transformations,0.19966648519039154,0.2099555879831314,0.37555569410324097,0.387184202671051,0.2160843312740326,0.2666109800338745,0.13289819657802582,0.2355346530675888,0.140232115983963
within,0.2498195916414261,0.236589714884758,0.20692123472690582,0.2238633781671524,0.40576374530792236,0.3858051896095276,0.2379678636789322,0.28371384739875793,0.1870293766260147
closed,0.1689339131116867,0.1403816044330597,0.20746156573295593,0.24560798704624176,0.21606552600860596,0.1631089150905609,1.0,0.24776631593704224,0.15595348179340363
systems,0.1871482878923416,0.2541919946670532,0.2457907497882843,0.24582713842391968,0.21664761006832123,0.23904047906398773,0.21670429408550262,0.7890681028366089,0.1575973927974701
from,0.2737620174884796,0.1793784350156784,0.19871577620506287,0.1855839341878891,0.4274188280105591,0.322764128446579,0.16775579750537872,0.22092437744140625,0.19969791173934937
ordered,0.1877245008945465,0.12808656692504883,0.13632385432720184,0.10296424478292465,0.24971742928028107,0.19972987473011017,0.2186015099287033,0.1504683941602707,0.11423391848802567
to,0.455847829580307,0.35811367630958557,0.27179354429244995,0.32918253540992737,0.45010748505592346,0.45503583550453186,0.2852984070777893,0.26662686467170715,0.29463258385658264
more,0.3484537899494171,0.3486642837524414,0.2669607102870941,0.454862117767334,0.32563260197639465,0.3452818691730499,0.27364876866340637,0.24080024659633636,0.27894994616508484
random,0.26424384117126465,0.18783773481845856,0.1767638921737671,0.2372795194387436,0.1812991201877594,0.28376004099845886,0.1489151567220688,0.17063401639461517,0.23617395758628845
conditions,0.27960067987442017,0.26049676537513733,0.19940955936908722,0.3090454339981079,0.2580132484436035,0.24847128987312317,0.1759088933467865,0.3170500099658966,0.17021824419498444
as,0.31749409437179565,0.24537688493728638,0.23298127949237823,0.252431720495224,0.3887844979763031,0.39550232887268066,0.19602783024311066,0.1973835676908493,0.27043893933296204
entropy,0.3315114378929138,0.24419206380844116,0.47841936349868774,0.28880953788757324,0.21773943305015564,0.2883361876010895,0.1916528344154358,0.2784440815448761,0.2763933837413788
increases,0.23849372565746307,0.36188170313835144,0.38091522455215454,0.42142558097839355,0.2302049696445465,0.3119737505912781,0.18272489309310913,0.30212393403053284,0.10270863026380539
.,0.3567904531955719,0.265095978975296,0.22292809188365936,0.29733169078826904,0.5591574311256409,0.50484299659729,0.24888747930526733,0.2277725487947464,0.4130953550338745
