,who,was,appointed,as,second,in,command,to,lor,loudoun,in,1756,?
newcastle,0.21185682713985443,0.25710436701774597,0.21538755297660828,0.21526619791984558,0.2087877243757248,0.19270820915699005,0.17200849950313568,0.23559264838695526,0.18760360777378082,0.37807413935661316,0.19270820915699005,0.0991959422826767,0.0902252271771431
replaced,0.1576022207736969,0.34946855902671814,0.2699110209941864,0.33300021290779114,0.26238876581192017,0.2068215310573578,0.18290503323078156,0.2211306393146515,0.09624722599983215,0.14198672771453857,0.2068215310573578,0.15046225488185883,0.14945141971111298
him,0.5491244792938232,0.3675798773765564,0.28181198239326477,0.3072648346424103,0.21042591333389282,0.2284061461687088,0.2521858215332031,0.4702378511428833,0.15833954513072968,0.16713695228099823,0.2284061461687088,-0.039487238973379135,0.23943768441677094
in,0.2792111933231354,0.45514053106307983,0.23088723421096802,0.3887844979763031,0.34510284662246704,1.0,0.18293465673923492,0.45010748505592346,0.20042209327220917,0.29492443799972534,1.0,0.13103048503398895,0.20430970191955566
january,0.20979668200016022,0.3933098316192627,0.2318914383649826,0.2418142855167389,0.2254895567893982,0.28467586636543274,0.15570592880249023,0.20270398259162903,0.1383611261844635,0.20726551115512848,0.28467586636543274,0.14281043410301208,0.28608936071395874
1756,5.855167182744481e-05,0.08849941939115524,0.20100943744182587,0.08722767233848572,0.13675197958946228,0.13103048503398895,0.1322488635778427,0.05712643638253212,0.22977645695209503,0.3195073902606964,0.13103048503398895,0.9999998807907104,0.1882779449224472
with,0.3282766342163086,0.27411898970603943,0.13655053079128265,0.40387406945228577,0.272382527589798,0.4080928862094879,0.17215432226657867,0.4239959120750427,0.08844403922557831,0.15669792890548706,0.4080928862094879,0.16067667305469513,0.2433311939239502
lord,0.25294241309165955,0.19920654594898224,0.3173477351665497,0.18802540004253387,0.18690818548202515,0.18930333852767944,0.3073626756668091,0.23884858191013336,0.43490463495254517,0.2988288700580597,0.18930333852767944,0.04006444290280342,0.09544310718774796
loudoun,0.19463728368282318,0.2895839214324951,0.2859778106212616,0.18619611859321594,0.26664790511131287,0.29492443799972534,0.21475790441036224,0.21256138384342194,0.18786676228046417,0.9999999403953552,0.29492443799972534,0.3195073902606964,0.08689435571432114
",",0.3365725874900818,0.45456063747406006,0.27665549516677856,0.48816442489624023,0.29927265644073486,0.5201468467712402,0.25408896803855896,0.44245919585227966,0.23221434652805328,0.3265959918498993,0.5201468467712402,0.1573939174413681,0.31091248989105225
with,0.3282766342163086,0.27411898970603943,0.13655053079128265,0.40387406945228577,0.272382527589798,0.4080928862094879,0.17215432226657867,0.4239959120750427,0.08844403922557831,0.15669792890548706,0.4080928862094879,0.16067667305469513,0.2433311939239502
major,0.17810054123401642,0.20676274597644806,0.16857923567295074,0.20393970608711243,0.25271502137184143,0.3249945342540741,0.22836220264434814,0.19240309298038483,0.10988053679466248,0.1822017878293991,0.3249945342540741,0.047164835035800934,0.19788557291030884
general,0.2461782991886139,0.2445744127035141,0.37098270654678345,0.250458300113678,0.18971942365169525,0.259066641330719,0.42954015731811523,0.24755197763442993,0.17458738386631012,0.22620709240436554,0.259066641330719,0.128247931599617,0.1972234547138214
james,0.2562035918235779,0.2958067059516907,0.25133025646209717,0.21306896209716797,0.15164251625537872,0.1994210183620453,0.16569797694683075,0.22204333543777466,0.18734683096408844,0.27323049306869507,0.1994210183620453,0.07205480337142944,0.12139993160963058
abercrombie,0.23313577473163605,0.24433477222919464,0.1909552365541458,0.25605538487434387,0.08180706948041916,0.28571146726608276,0.1282888948917389,0.27117103338241577,0.1941792219877243,0.3629300892353058,0.28571146726608276,0.11642716825008392,0.19258330762386322
as,0.3923053741455078,0.3677520453929901,0.2932926416397095,1.0,0.25569814443588257,0.3887844979763031,0.21844595670700073,0.42092081904411316,0.1764213591814041,0.18619611859321594,0.3887844979763031,0.08722767233848572,0.27043893933296204
his,0.44966956973075867,0.4405253231525421,0.32482656836509705,0.3146366477012634,0.29419460892677307,0.3598145842552185,0.2314843386411667,0.3715193271636963,0.15788044035434723,0.2007342129945755,0.3598145842552185,0.011091802269220352,0.18075084686279297
second,0.21920166909694672,0.3858029544353485,0.17057813704013824,0.25569814443588257,1.0,0.34510284662246704,0.27125784754753113,0.3098561465740204,0.18602682650089264,0.26664790511131287,0.34510284662246704,0.13675197958946228,0.17239587008953094
in,0.2792111933231354,0.45514053106307983,0.23088723421096802,0.3887844979763031,0.34510284662246704,1.0,0.18293465673923492,0.45010748505592346,0.20042209327220917,0.29492443799972534,1.0,0.13103048503398895,0.20430970191955566
command,0.23636431992053986,0.22477014362812042,0.3605758845806122,0.21844595670700073,0.27125784754753113,0.18293465673923492,1.0,0.25119054317474365,0.229699969291687,0.21475790441036224,0.18293465673923492,0.1322488635778427,0.13402260839939117
.,0.3541337847709656,0.40146201848983765,0.23383042216300964,0.515582263469696,0.346034437417984,0.5591574311256409,0.22706228494644165,0.4645031690597534,0.23552289605140686,0.2539626657962799,0.5591574311256409,0.1861400157213211,0.4130953550338745
