,how,many,schools,and,institutions,does,the,church,operate,overseas,?
the,0.33890387415885925,0.4335206151008606,0.22905772924423218,0.5171257257461548,0.2776423394680023,0.35928019881248474,1.0,0.23846197128295898,0.23581141233444214,0.246591255068779,0.22068053483963013
church,0.10719848424196243,0.20546764135360718,0.29122284054756165,0.1976170688867569,0.3012780547142029,0.16385334730148315,0.23846197128295898,0.9999999403953552,0.12508799135684967,0.20590072870254517,0.18081501126289368
operates,0.16758139431476593,0.16700030863285065,0.2512872815132141,0.254499614238739,0.3695686459541321,0.25847193598747253,0.2663705050945282,0.1246158629655838,0.8321936130523682,0.31709790229797363,0.12270797789096832
three,0.23807744681835175,0.4501400589942932,0.19748668372631073,0.3826501965522766,0.25383901596069336,0.1872161626815796,0.43452659249305725,0.14398030936717987,0.19376240670681,0.18119078874588013,0.20928427577018738
hundred,0.21416880190372467,0.4232117235660553,0.24303774535655975,0.326901912689209,0.25533849000930786,0.07698375731706619,0.3325488865375519,0.15578335523605347,0.13043907284736633,0.2266727238893509,0.17378053069114685
sixty,0.158203125,0.30917784571647644,0.2727806568145752,0.30884090065956116,0.21406985819339752,0.10267327725887299,0.23691152036190033,0.1420375257730484,0.1286172866821289,0.2315228134393692,0.13360533118247986
schools,0.12874440848827362,0.3108086585998535,1.0,0.29319998621940613,0.4866847097873688,0.19430282711982727,0.22905772924423218,0.29122284054756165,0.2745111286640167,0.23403452336788177,0.18349280953407288
and,0.33647966384887695,0.5296266674995422,0.29319998621940613,1.0,0.2943127751350403,0.3461615741252899,0.5171257257461548,0.1976170688867569,0.25841018557548523,0.2869608700275421,0.20544172823429108
institutions,0.2266826033592224,0.3441540002822876,0.4866847097873688,0.2943127751350403,0.9999998807907104,0.21748235821723938,0.2776423394680023,0.3012780547142029,0.3515864610671997,0.30642735958099365,0.19119486212730408
overseas,0.14035725593566895,0.2905616760253906,0.23403452336788177,0.2869608700275421,0.30642735958099365,0.10718993842601776,0.246591255068779,0.20590072870254517,0.30111950635910034,1.0,0.15502241253852844
.,0.3287222981452942,0.3974229395389557,0.2752705216407776,0.588965117931366,0.22790031135082245,0.3022993505001068,0.5934505462646484,0.28898224234580994,0.23679214715957642,0.274522066116333,0.4130953550338745
