,the,peruvian,amazon,indigienous,people,are,one,group,struggling,in,the,amazon,",",what,is,another,group,?
as,0.48381632566452026,0.21704548597335815,0.1877562403678894,0.2668854892253876,0.15704652667045593,0.3826591968536377,0.3954789340496063,0.2519444227218628,0.251492440700531,0.3887844979763031,0.48381632566452026,0.1877562403678894,0.48816442489624023,0.31749409437179565,0.43216490745544434,0.3282026946544647,0.2519444227218628,0.27043893933296204
indigenous,0.24885469675064087,0.39347922801971436,0.3022803068161011,0.7978065013885498,0.2588402032852173,0.2271028310060501,0.15478859841823578,0.25942838191986084,0.2372170388698578,0.19140906631946564,0.24885469675064087,0.3022803068161011,0.20256207883358002,0.19103914499282837,0.1472627967596054,0.18275310099124908,0.25942838191986084,0.14450161159038544
territories,0.30191943049430847,0.14018514752388,0.2164703607559204,0.2786158323287964,0.25055986642837524,0.23005296289920807,0.190965935587883,0.1851237416267395,0.15780600905418396,0.27001065015792847,0.30191943049430847,0.2164703607559204,0.24120540916919708,0.2053624987602234,0.12577515840530396,0.04117288812994957,0.1851237416267395,0.11298645287752151
continue,0.28966447710990906,0.07584834843873978,0.15110087394714355,0.15130022168159485,0.21280339360237122,0.29296642541885376,0.23363517224788666,0.17377638816833496,0.3390785753726959,0.249076247215271,0.28966447710990906,0.15110087394714355,0.3163892924785614,0.34721019864082336,0.22034448385238647,0.31470006704330444,0.17377638816833496,0.23903685808181763
to,0.535392165184021,0.13669614493846893,0.17033490538597107,0.2729637920856476,0.37275731563568115,0.3504326641559601,0.4025384783744812,0.2672896385192871,0.35651350021362305,0.45010748505592346,0.535392165184021,0.17033490538597107,0.44245919585227966,0.455847829580307,0.42745086550712585,0.48769932985305786,0.2672896385192871,0.29463258385658264
be,0.4248143136501312,0.11249378323554993,0.17553792893886566,0.31181037425994873,0.2593584358692169,0.5556803941726685,0.4154875874519348,0.21518005430698395,0.25256839394569397,0.3481820821762085,0.4248143136501312,0.17553792893886566,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.42243969440460205,0.21518005430698395,0.3324260413646698
destroyed,0.3403017520904541,0.1597130000591278,0.12532849609851837,0.1582898497581482,0.25704607367515564,0.156919926404953,0.19541971385478973,0.09109796583652496,0.15421542525291443,0.3248254656791687,0.3403017520904541,0.12532849609851837,0.26472628116607666,0.19114850461483002,0.15747223794460297,0.21198329329490662,0.09109796583652496,0.10318030416965485
by,0.4408751428127289,0.20180246233940125,0.16320857405662537,0.23751646280288696,0.20350977778434753,0.37842893600463867,0.29445651173591614,0.2915726900100708,0.1801047921180725,0.370934396982193,0.4408751428127289,0.16320857405662537,0.3680937886238098,0.2455483376979828,0.3899846076965332,0.36873918771743774,0.2915726900100708,0.17966607213020325
deforestation,0.31742316484451294,0.2307693362236023,0.28994330763816833,0.4117911458015442,0.25700706243515015,0.3082904815673828,0.2749541699886322,0.18231695890426636,0.34738779067993164,0.28902751207351685,0.31742316484451294,0.28994330763816833,0.30250072479248047,0.22733289003372192,0.29634571075439453,0.2898400127887726,0.18231695890426636,0.13288208842277527
and,0.5171257257461548,0.22702258825302124,0.23464977741241455,0.3086126744747162,0.3016039729118347,0.48576638102531433,0.42438167333602905,0.3510662019252777,0.3146207630634308,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.3510662019252777,0.20544172823429108
