,which,theory,justifies,imperialism,in,part,?
the,0.6521818041801453,0.2277156263589859,0.21405437588691711,0.2716025412082672,0.6662389636039734,0.527681291103363,0.22068053483963013
purportedly,0.2646832764148712,0.09584861993789673,0.1446678638458252,0.19983184337615967,0.195346400141716,0.17977577447891235,0.10800734907388687
scientific,0.2896653711795807,0.4171595275402069,0.19354309141635895,0.27329424023628235,0.1717730164527893,0.2281898409128189,0.16215236485004425
nature,0.315411239862442,0.38875100016593933,0.2463003695011139,0.2208367884159088,0.22229793667793274,0.16438163816928864,0.17397694289684296
of,0.5011631846427917,0.23506702482700348,0.2571941912174225,0.29240643978118896,0.5696388483047485,0.452393114566803,0.1826142966747284
``,0.05178012326359749,0.026165060698986053,0.08230126649141312,0.050459738820791245,0.04765888676047325,0.08985232561826706,0.0685480609536171
social,0.22390618920326233,0.3064418435096741,0.17017735540866852,0.33768266439437866,0.23382627964019775,0.139604851603508,0.1615191102027893
darwinism,0.33269619941711426,0.5188813805580139,0.26309138536453247,0.5425083637237549,0.21825535595417023,0.20429418981075287,0.25077125430107117
'',-0.03332270681858063,0.07203595340251923,0.03451022133231163,-0.013202380388975143,0.07432962208986282,0.011256706900894642,0.018684765323996544
and,0.506277859210968,0.1765792816877365,0.20008042454719543,0.19073538482189178,0.4954058527946472,0.35301485657691956,0.20544172823429108
a,0.56894451379776,0.2233850657939911,0.31861114501953125,0.17335295677185059,0.539380669593811,0.3994528353214264,0.23916715383529663
theory,0.3127335011959076,0.9999999403953552,0.17095547914505005,0.3653029799461365,0.16955126821994781,0.18061570823192596,0.1387292891740799
of,0.5011631846427917,0.23506702482700348,0.2571941912174225,0.29240643978118896,0.5696388483047485,0.452393114566803,0.1826142966747284
races,0.16684280335903168,0.17676447331905365,0.10739646852016449,0.217801034450531,0.20279844105243683,0.15309827029705048,0.12153562903404236
formed,0.3024848401546478,0.15509110689163208,0.04868343099951744,0.13423550128936768,0.27325257658958435,0.38417473435401917,0.09686966985464096
a,0.56894451379776,0.2233850657939911,0.31861114501953125,0.17335295677185059,0.539380669593811,0.3994528353214264,0.23916715383529663
supposedly,0.3653688430786133,0.17391100525856018,0.27898940443992615,0.165516197681427,0.2213665097951889,0.13790731132030487,0.2077445387840271
rational,0.3388064205646515,0.4002717435359955,0.34697720408439636,0.2946099638938904,0.22214210033416748,0.1523374319076538,0.25988996028900146
justification,0.3810770809650421,0.2770598828792572,0.7181065082550049,0.2602269947528839,0.18786969780921936,0.22379471361637115,0.4005378186702728
for,0.44095608592033386,0.20500218868255615,0.32341447472572327,0.15846435725688934,0.4322226941585541,0.250704288482666,0.264628142118454
imperialism,0.22499221563339233,0.3653029799461365,0.24508067965507507,1.0,0.2081184834241867,0.19179268181324005,0.14998586475849152
.,0.45942068099975586,0.18047811090946198,0.21791930496692657,0.22279119491577148,0.5591574311256409,0.32817673683166504,0.4130953550338745
