,the,traveling,salesman,problem,is,an,example,of,what,type,of,problem,?
a,0.5829201340675354,0.26968079805374146,0.3150462508201599,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2605542540550232,0.23916715383529663
function,0.2037137746810913,0.0478026419878006,0.206125408411026,0.33479827642440796,0.17586156725883484,0.15086998045444489,0.34200519323349,0.16667552292346954,0.22155974805355072,0.21157948672771454,0.16667552292346954,0.33479827642440796,0.20672395825386047
problem,0.24928659200668335,0.1737433224916458,0.31256964802742004,1.0,0.23238427937030792,0.21292734146118164,0.3561607897281647,0.20464475452899933,0.42183366417884827,0.24055761098861694,0.20464475452899933,1.0,0.3762950301170349
is,0.5823672413825989,0.16917747259140015,0.23787350952625275,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.23238427937030792,0.22961433231830597
a,0.5829201340675354,0.26968079805374146,0.3150462508201599,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2605542540550232,0.23916715383529663
computational,0.18477948009967804,0.16889841854572296,0.2674490213394165,0.41473615169525146,0.2470806986093521,0.19987577199935913,0.35836201906204224,0.2832651138305664,0.29464593529701233,0.23533707857131958,0.2832651138305664,0.41473615169525146,0.21617397665977478
problem,0.24928659200668335,0.1737433224916458,0.31256964802742004,1.0,0.23238427937030792,0.21292734146118164,0.3561607897281647,0.20464475452899933,0.42183366417884827,0.24055761098861694,0.20464475452899933,1.0,0.3762950301170349
where,0.5003893971443176,0.3202667832374573,0.2531208395957947,0.291713684797287,0.3586711287498474,0.24824833869934082,0.3688216209411621,0.38066378235816956,0.4457937180995941,0.2292499989271164,0.38066378235816956,0.291713684797287,0.24793872237205505
a,0.5829201340675354,0.26968079805374146,0.3150462508201599,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2605542540550232,0.23916715383529663
single,0.29338565468788147,0.10428036004304886,0.10142894834280014,0.14734309911727905,0.27151715755462646,0.20847202837467194,0.1865626573562622,0.22455744445323944,0.24458327889442444,0.24610887467861176,0.22455744445323944,0.14734309911727905,0.2151121199131012
