,what,does,packet,switching,contrast,with
packet,0.2392171323299408,0.26850301027297974,1.0000001192092896,0.3031770586967468,0.228183776140213,0.25691017508506775
switching,0.24737738072872162,0.21673047542572021,0.3031770586967468,1.0000001192092896,0.2906440794467926,0.257494181394577
contrasts,0.30365321040153503,0.3055846691131592,0.25341910123825073,0.29739075899124146,0.8867340087890625,0.3101012706756592
with,0.2464839518070221,0.26186925172805786,0.25691017508506775,0.257494181394577,0.24865740537643433,0.9999999403953552
another,0.4190070629119873,0.3363491892814636,0.27894243597984314,0.28596752882003784,0.2801067531108856,0.359900563955307
principal,0.1582305133342743,0.21075046062469482,0.12609489262104034,0.1274726241827011,0.1905672699213028,0.20574983954429626
networking,0.2650068402290344,0.20786353945732117,0.34193602204322815,0.3910807967185974,0.2130320966243744,0.2745855152606964
paradigm,0.38113337755203247,0.2188270539045334,0.1749000996351242,0.26677483320236206,0.284492552280426,0.13253721594810486
",",0.3087472915649414,0.28617382049560547,0.12501740455627441,0.2805156409740448,0.21571755409240723,0.4120737314224243
circuit,0.1518143117427826,0.14033031463623047,0.19544361531734467,0.2617068588733673,0.11862655729055405,0.1002940908074379
switching,0.24737738072872162,0.21673047542572021,0.3031770586967468,1.0000001192092896,0.2906440794467926,0.257494181394577
",",0.3087472915649414,0.28617382049560547,0.12501740455627441,0.2805156409740448,0.21571755409240723,0.4120737314224243
a,0.3320399522781372,0.38201746344566345,0.2726188004016876,0.31424853205680847,0.29432156682014465,0.3783375024795532
method,0.25476205348968506,0.22807583212852478,0.3149372935295105,0.34754058718681335,0.33847931027412415,0.19631105661392212
which,0.5261979103088379,0.39111801981925964,0.3202694058418274,0.3350684642791748,0.3396453261375427,0.46403205394744873
pre-allocates,0.3138510584831238,0.37999600172042847,0.3501194417476654,0.3637562394142151,0.3591509163379669,0.2570476531982422
dedicated,0.1580183058977127,0.1544719636440277,0.10704540461301804,0.1385064274072647,0.13131165504455566,0.2172909677028656
network,0.16917307674884796,0.15182675421237946,0.3267378509044647,0.32434526085853577,0.15321554243564606,0.2153671681880951
bandwidth,0.36889100074768066,0.3393155336380005,0.47528529167175293,0.4533582031726837,0.3285719156265259,0.22502201795578003
specifically,0.37581726908683777,0.24997541308403015,0.21581920981407166,0.24798870086669922,0.2797892391681671,0.2542423605918884
for,0.3017193675041199,0.35159170627593994,0.2710157036781311,0.29707083106040955,0.20690715312957764,0.39140474796295166
each,0.3353266417980194,0.31699198484420776,0.2744428515434265,0.3299218416213989,0.32805895805358887,0.4100050628185272
communication,0.283955842256546,0.2485891431570053,0.3157258927822113,0.39121273159980774,0.29445943236351013,0.2627416253089905
session,0.17364954948425293,0.14425745606422424,0.19176113605499268,0.28985321521759033,0.1364647001028061,0.2258126586675644
",",0.3087472915649414,0.28617382049560547,0.12501740455627441,0.2805156409740448,0.21571755409240723,0.4120737314224243
each,0.3353266417980194,0.31699198484420776,0.2744428515434265,0.3299218416213989,0.32805895805358887,0.4100050628185272
having,0.34064167737960815,0.32091236114501953,0.16947856545448303,0.3166643977165222,0.3019513785839081,0.5057834982872009
a,0.3320399522781372,0.38201746344566345,0.2726188004016876,0.31424853205680847,0.29432156682014465,0.3783375024795532
constant,0.22559526562690735,0.17741715908050537,0.14810064435005188,0.2103501260280609,0.21210148930549622,0.23216186463832855
bit,0.3366006016731262,0.28843042254447937,0.30323025584220886,0.3170824348926544,0.24704435467720032,0.2508671283721924
rate,0.21845893561840057,0.1932356208562851,0.20108766853809357,0.1682244837284088,0.26336053013801575,0.12391091138124466
and,0.31309178471565247,0.3461615741252899,0.22431595623493195,0.24014128744602203,0.2737886309623718,0.5477725267410278
latency,0.25800761580467224,0.26140058040618896,0.36312493681907654,0.42521408200263977,0.26111283898353577,0.1788223683834076
between,0.2462156116962433,0.16966454684734344,0.10905178636312485,0.23871955275535583,0.29920193552970886,0.3829993009567261
nodes,0.1610754281282425,0.2502574324607849,0.2953698933124542,0.3829086720943451,0.3040834069252014,0.21115770936012268
.,0.3567904531955719,0.3022993505001068,0.1900589019060135,0.31317952275276184,0.21616345643997192,0.4446153938770294
