,what,is,the,size,of,the,school,'s,endowment,?
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.06885053962469101,0.25842633843421936,0.24496200680732727,0.42520302534103394,-0.06887804716825485,0.36613309383392334,0.11685016006231308
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.08317088335752487,-0.03817026689648628,-0.01540423184633255,-0.017113132402300835,0.9999999403953552,-0.04730827361345291,-0.023395681753754616
$,0.24858909845352173,0.14577937126159668,0.23367542028427124,0.20444603264331818,0.11268499493598938,0.23367542028427124,0.18588410317897797,0.03734852001070976,0.49323704838752747,0.2786129117012024
37.6,0.09108218550682068,0.011998570524156094,0.051386758685112,-0.1266297698020935,0.06435269117355347,0.051386758685112,0.010315462946891785,-0.05573507025837898,0.03687391057610512,-0.008349715732038021
billion,0.262668639421463,0.16068704426288605,0.2162325382232666,0.22118975222110748,0.19335569441318512,0.2162325382232666,0.11754203587770462,0.05775096267461777,0.41007882356643677,0.25791820883750916
financial,0.1900392472743988,0.1937110424041748,0.29952070116996765,0.2126745879650116,0.30178552865982056,0.29952070116996765,0.15367117524147034,0.06992136687040329,0.447680801153183,0.06444920599460602
endowment,0.1860140860080719,0.19384163618087769,0.28356990218162537,0.16247928142547607,0.34702977538108826,0.28356990218162537,0.33093005418777466,-0.04730827361345291,1.0,0.1943148672580719
is,0.28837618231773376,1.0,0.5823672413825989,0.22983339428901672,0.4854315221309662,0.5823672413825989,0.19488026201725006,0.02396530658006668,0.19384163618087769,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.2946445941925049,0.733189046382904,1.0,0.22953221201896667,-0.01540423184633255,0.28356990218162537,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.3179561197757721,0.36650770902633667,0.3757036626338959,0.11632684618234634,-0.02050611935555935,0.25848838686943054,0.12401245534420013
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.27599775791168213,1.0,0.733189046382904,0.2391800880432129,-0.03817026689648628,0.34702977538108826,0.1826142966747284
any,0.43670421838760376,0.35691767930984497,0.4525727927684784,0.28004691004753113,0.3769088089466095,0.4525727927684784,0.13658900558948517,0.09017360955476761,0.23146630823612213,0.4113408327102661
academic,0.10352335125207901,0.19421102106571198,0.15387672185897827,0.08831003308296204,0.20802809298038483,0.15387672185897827,0.34779801964759827,0.0384543351829052,0.3568240702152252,0.11011603474617004
institution,0.22293052077293396,0.18623653054237366,0.2866198718547821,0.13439598679542542,0.3115397095680237,0.2866198718547821,0.3556373119354248,-0.07027866691350937,0.4744233787059784,0.18802334368228912
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.30260366201400757,0.5352458953857422,0.5934505462646484,0.24214158952236176,-0.003708066651597619,0.29407718777656555,0.4130953550338745
