,who,had,military,control,during,the,yuan,?
another,0.4379323124885559,0.34508684277534485,0.15610043704509735,0.18288575112819672,0.2405734807252884,0.5019711852073669,0.20986907184123993,0.295511931180954
example,0.27006375789642334,0.19428212940692902,0.1749991923570633,0.21245995163917542,0.19390994310379028,0.3755223751068115,0.12420639395713806,0.30374911427497864
was,0.3318818509578705,0.5927209258079529,0.24704936146736145,0.19347785413265228,0.4470829963684082,0.48711544275283813,0.19482262432575226,0.18412111699581146
the,0.3733934462070465,0.3875846862792969,0.2290858030319214,0.32841500639915466,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
insignificance,0.16626830399036407,0.23532278835773468,0.25500088930130005,0.1933593600988388,0.2334890067577362,0.3449789583683014,0.14538253843784332,0.2884523868560791
of,0.2827862501144409,0.37755560874938965,0.27347031235694885,0.2817542552947998,0.3869180977344513,0.733189046382904,0.22696353495121002,0.1826142966747284
the,0.3733934462070465,0.3875846862792969,0.2290858030319214,0.32841500639915466,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
ministry,0.16792069375514984,0.1893303543329239,0.30543485283851624,0.1865946501493454,0.21702569723129272,0.23817597329616547,0.229041188955307,0.18168897926807404
of,0.2827862501144409,0.37755560874938965,0.27347031235694885,0.2817542552947998,0.3869180977344513,0.733189046382904,0.22696353495121002,0.1826142966747284
war,0.24286115169525146,0.29970744252204895,0.46499648690223694,0.19695141911506653,0.4802435040473938,0.366199791431427,0.18364666402339935,0.15510529279708862
compared,0.1804380565881729,0.35456451773643494,0.08335746824741364,0.20827580988407135,0.2256883829832077,0.28685078024864197,0.14631398022174835,0.21399109065532684
with,0.3282766342163086,0.4739086329936981,0.1677970141172409,0.2059466540813446,0.28545209765434265,0.4223487675189972,0.09768989682197571,0.2433311939239502
native,0.2650620639324188,0.17913907766342163,0.15023915469646454,0.10582169145345688,0.13999028503894806,0.24374492466449738,0.11390295624732971,0.1457047313451767
chinese,0.2538459002971649,0.1845577508211136,0.2376546859741211,0.11278767138719559,0.21245013177394867,0.2785343527793884,0.5665212273597717,0.20843194425106049
dynasties,0.16593480110168457,0.22777222096920013,0.23928071558475494,0.21408730745315552,0.28732284903526306,0.30397531390190125,0.42275118827819824,0.14213824272155762
",",0.3365725874900818,0.35487717390060425,0.2611614465713501,0.20811550319194794,0.3225448727607727,0.4933079481124878,0.20958951115608215,0.31091248989105225
as,0.3923053741455078,0.3393979072570801,0.1877383589744568,0.18926969170570374,0.29671990871429443,0.48381632566452026,0.2132488638162613,0.27043893933296204
the,0.3733934462070465,0.3875846862792969,0.2290858030319214,0.32841500639915466,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
real,0.2714671492576599,0.17003893852233887,0.16487635672092438,0.1334465891122818,0.1600503921508789,0.19885718822479248,0.1549699455499649,0.20019613206386566
military,0.28924500942230225,0.24236898124217987,0.9999998807907104,0.25253620743751526,0.3392038345336914,0.2290858030319214,0.2103002816438675,0.1890317052602768
authority,0.17199470102787018,0.19134734570980072,0.2929340898990631,0.3348482549190521,0.16585634648799896,0.2645063102245331,0.20032694935798645,0.18404170870780945
in,0.2792111933231354,0.385026752948761,0.2402431070804596,0.24831421673297882,0.4627237319946289,0.6662389636039734,0.14850552380084991,0.20430970191955566
yuan,0.20351146161556244,0.15790773928165436,0.2103002816438675,0.15136754512786865,0.18615633249282837,0.2548272907733917,1.0,0.12871281802654266
times,0.24510560929775238,0.31343862414360046,0.14356586337089539,0.19556759297847748,0.36593833565711975,0.29093852639198303,0.14356669783592224,0.18880689144134521
resided,0.2577380836009979,0.29507681727409363,0.09215342253446579,0.13852812349796295,0.28247472643852234,0.32044243812561035,0.11716567724943161,0.0921705886721611
in,0.2792111933231354,0.385026752948761,0.2402431070804596,0.24831421673297882,0.4627237319946289,0.6662389636039734,0.14850552380084991,0.20430970191955566
the,0.3733934462070465,0.3875846862792969,0.2290858030319214,0.32841500639915466,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
privy,0.263635516166687,0.17300190031528473,0.2682487368583679,0.16787557303905487,0.17913919687271118,0.2568592131137848,0.2937127947807312,0.14170938730239868
council,0.19620807468891144,0.14781895279884338,0.17327095568180084,0.17219822108745575,0.19372691214084625,0.2829204201698303,0.24830035865306854,0.1160062924027443
.,0.3541337847709656,0.37348684668540955,0.21794499456882477,0.24319837987422943,0.3485563397407532,0.5934505462646484,0.17233723402023315,0.4130953550338745
