,how,many,days,did,the,river,tyne,have,the,bambuco,bridge,?
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.34736719727516174,1.0,0.2894456386566162,0.23053501546382904,0.40389683842658997,1.0,0.32361119985580444,0.27692803740501404,0.22068053483963013
river,0.09142279624938965,0.12832623720169067,0.13690736889839172,0.15783563256263733,0.2894456386566162,0.9999999403953552,0.2996376156806946,0.11765187978744507,0.2894456386566162,0.3331811726093292,0.4530387818813324,0.15390869975090027
tyne,0.1045919880270958,0.1987147182226181,0.1427842676639557,0.12907084822654724,0.23053501546382904,0.2996376156806946,1.0,0.1420832872390747,0.23053501546382904,0.15898960828781128,0.28804031014442444,0.07377036660909653
had,0.2549138069152832,0.40130746364593506,0.26101723313331604,0.540525496006012,0.3875846862792969,0.1743958294391632,0.15016086399555206,0.6263401508331299,0.3875846862792969,0.11977151036262512,0.15089653432369232,0.20728366076946259
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.34736719727516174,1.0,0.2894456386566162,0.23053501546382904,0.40389683842658997,1.0,0.32361119985580444,0.27692803740501404,0.22068053483963013
temporary,0.1642332524061203,0.17678149044513702,0.22451335191726685,0.16918212175369263,0.3147225081920624,0.0951007530093193,0.1792372614145279,0.24977491796016693,0.3147225081920624,0.11174585670232773,0.1542440801858902,0.11651745438575745
bambuco,0.16254858672618866,0.27671754360198975,0.14215300977230072,0.15042713284492493,0.32361119985580444,0.3331811726093292,0.15898960828781128,0.20572327077388763,0.32361119985580444,1.0,0.12256470322608948,0.20511159300804138
bridge,0.12357460707426071,0.15066677331924438,0.10810942202806473,0.16532720625400543,0.27692803740501404,0.4530387818813324,0.28804031014442444,0.09295352548360825,0.27692803740501404,0.12256470322608948,0.9999999403953552,0.1396101862192154
in,0.2601168751716614,0.41474202275276184,0.24827800691127777,0.2593238651752472,0.6662389636039734,0.2149806171655655,0.20370638370513916,0.36843645572662354,0.6662389636039734,0.271812379360199,0.235438272356987,0.20430970191955566
2008,-0.17135247588157654,-0.12774626910686493,0.0343950018286705,-0.07680223137140274,-0.06530369818210602,-0.0696272924542427,0.007712005637586117,-0.188207745552063,-0.06530369818210602,0.029147373512387276,-0.009909847751259804,-0.09852470457553864
