,breaking,down,barriers,to,trade,and,enhancing,the,free,movement,of,goods,is,meant,to,reduce,what,?
like,0.20953258872032166,0.25536611676216125,0.21260349452495575,0.35482415556907654,0.17383794486522675,0.46997135877609253,0.24364453554153442,0.32912567257881165,0.2501853406429291,0.22111448645591736,0.3244853615760803,0.1972733736038208,0.29710376262664795,0.3521632254123688,0.35482415556907654,0.26564711332321167,0.4320242702960968,0.3268813192844391
in,0.20728740096092224,0.2321847528219223,0.19009177386760712,0.45010748505592346,0.23862801492214203,0.4954058527946472,0.18960662186145782,0.6662389636039734,0.25575435161590576,0.26725053787231445,0.5696388483047485,0.23178300261497498,0.5394441485404968,0.25344955921173096,0.45010748505592346,0.22053970396518707,0.30808621644973755,0.20430970191955566
other,0.2837131917476654,0.2693438231945038,0.29786068201065063,0.4193183183670044,0.2614614963531494,0.5504306554794312,0.3028293251991272,0.44152235984802246,0.27764660120010376,0.24484199285507202,0.38583824038505554,0.2848338484764099,0.25895947217941284,0.27191731333732605,0.4193183183670044,0.3508809506893158,0.341873437166214,0.24682199954986572
regional,0.11421088129281998,0.09333452582359314,0.16633248329162598,0.2016860693693161,0.21201089024543762,0.2256052941083908,0.1711718738079071,0.3125704526901245,0.10156890749931335,0.13513623178005219,0.2853882610797882,0.19143256545066833,0.1760118007659912,0.218169704079628,0.2016860693693161,0.1495523899793625,0.1532609760761261,0.09246466308832169
organisations,0.17467659711837769,0.07187625020742416,0.26515647768974304,0.2653813064098358,0.3773921728134155,0.3168276846408844,0.3325486183166504,0.30271175503730774,0.2088463455438614,0.3776666522026062,0.2672553062438965,0.27500787377357483,0.2071750909090042,0.19911658763885498,0.2653813064098358,0.1690497249364853,0.23530930280685425,0.1916545331478119
such,0.26205530762672424,0.18775604665279388,0.2805390954017639,0.2871878743171692,0.18749694526195526,0.44540345668792725,0.35822924971580505,0.3575236201286316,0.202736958861351,0.1976577490568161,0.3209529519081116,0.29717546701431274,0.23545363545417786,0.25708305835723877,0.2871878743171692,0.30401548743247986,0.23989605903625488,0.17851735651493073
as,0.21550129354000092,0.2080715298652649,0.15796904265880585,0.42092081904411316,0.21768774092197418,0.49487000703811646,0.23806069791316986,0.48381632566452026,0.22831088304519653,0.22513282299041748,0.3886612355709076,0.2731567919254303,0.43216490745544434,0.3081777095794678,0.42092081904411316,0.23089662194252014,0.31749409437179565,0.27043893933296204
the,0.33078882098197937,0.3325848877429962,0.2820606231689453,0.535392165184021,0.2681608200073242,0.5171257257461548,0.2574499547481537,1.0,0.22231732308864594,0.339571475982666,0.733189046382904,0.2343561202287674,0.5823672413825989,0.34852901101112366,0.535392165184021,0.2735816240310669,0.42745697498321533,0.22068053483963013
north,0.08561423420906067,0.15938089787960052,0.25251391530036926,0.2743184268474579,0.27049189805984497,0.2776443064212799,0.12370965629816055,0.36298373341560364,0.16777634620666504,0.18053534626960754,0.3604778051376343,0.19186913967132568,0.2993389368057251,0.15741975605487823,0.2743184268474579,0.1364527940750122,0.18673177063465118,0.11829731613397598
american,0.13640592992305756,0.13957306742668152,0.150350883603096,0.16338081657886505,0.1376142054796219,0.32290002703666687,0.09415324777364731,0.24562937021255493,0.1272263079881668,0.19461730122566223,0.22180068492889404,0.13614608347415924,0.1853146106004715,0.15714286267757416,0.16338081657886505,0.11258065700531006,0.1909721940755844,0.18877598643302917
