,how,many,seats,does,the,amphitheatre,at,woodward,park,have,?
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.35928019881248474,1.0,0.30257710814476013,0.457212895154953,0.2085409164428711,0.24748283624649048,0.40389683842658997,0.22068053483963013
park,0.07603258639574051,0.17557764053344727,0.19660255312919617,0.09008456021547318,0.24748283624649048,0.33682501316070557,0.24088282883167267,0.1324821412563324,1.0,0.16302178800106049,0.13508929312229156
has,0.26820555329322815,0.4266262650489807,0.2280421257019043,0.42885294556617737,0.4177538752555847,0.17078112065792084,0.2743658423423767,0.17020954191684723,0.20508749783039093,0.6353569626808167,0.15994466841220856
a,0.29312583804130554,0.2872205972671509,0.23492009937763214,0.38201746344566345,0.5829201340675354,0.18964320421218872,0.3095070421695709,0.21543066203594208,0.2207280695438385,0.338716596364975,0.23916715383529663
multi-use,0.24138043820858002,0.28907495737075806,0.21461157500743866,0.23133204877376556,0.20300665497779846,0.16938918828964233,0.13850177824497223,0.10926765948534012,0.08207277208566666,0.2957408130168915,0.17304183542728424
amphitheatre,0.04019948095083237,0.21576406061649323,0.26734673976898193,0.1360665112733841,0.30257710814476013,0.9999998807907104,0.35869091749191284,0.2107986956834793,0.33682501316070557,0.14467664062976837,0.10912026464939117
that,0.557814359664917,0.5391656160354614,0.19976010918617249,0.4764937460422516,0.5473989248275757,0.18837273120880127,0.3183255195617676,0.20465323328971863,0.1718325912952423,0.6182622313499451,0.32716336846351624
seats,0.08405140787363052,0.1988271325826645,1.0,0.17345929145812988,0.25880131125450134,0.26734673976898193,0.15640205144882202,0.1952246129512787,0.19660255312919617,0.2330983728170395,0.10678832978010178
up,0.2819872200489044,0.2688518464565277,0.15083047747612,0.25498253107070923,0.38423117995262146,0.14025264978408813,0.26974549889564514,0.15288950502872467,0.14301660656929016,0.34569859504699707,0.1819818764925003
to,0.44169697165489197,0.40243685245513916,0.19008702039718628,0.4391997456550598,0.535392165184021,0.20977827906608582,0.36524343490600586,0.21017755568027496,0.14257338643074036,0.4544740617275238,0.29463258385658264
