,who,was,the,deputy,administrator,of,nasa,in,1960,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.21997958421707153,0.16844739019870758,0.5696388483047485,0.15705716609954834,1.0,0.03880028799176216,0.20430970191955566
july,0.2606464624404907,0.40724116563796997,0.2371699959039688,0.2503963112831116,0.3018175959587097,0.19723743200302124,0.1509821116924286,0.26500701904296875,0.02731010504066944,0.2897891402244568
1960,-0.04823179915547371,0.02247970923781395,0.038049813359975815,0.057915881276130676,-0.029920749366283417,0.05807475745677948,0.04446675255894661,0.03880028799176216,1.0,-0.02243652194738388
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.25563672184944153,0.30028748512268066,0.4946078956127167,0.18665438890457153,0.5201468467712402,0.07487643510103226,0.31091248989105225
nasa,0.1536933034658432,0.19417528808116913,0.19786997139453888,0.2624065577983856,0.2822103500366211,0.17935146391391754,1.0000001192092896,0.15705716609954834,0.04446675255894661,0.1809994876384735
deputy,0.24006639420986176,0.25765955448150635,0.2075105756521225,1.0000001192092896,0.3770735263824463,0.25625330209732056,0.2624065577983856,0.21997958421707153,0.057915881276130676,0.08738585561513901
administrator,0.29738950729370117,0.26034414768218994,0.23136885464191437,0.3770735263824463,0.9999999403953552,0.22513146698474884,0.2822103500366211,0.16844739019870758,-0.029920749366283417,0.2915230691432953
hugh,0.24496686458587646,0.2388894110918045,0.24369864165782928,0.2261483520269394,0.148861363530159,0.23160827159881592,0.13781538605690002,0.18993298709392548,0.050429362803697586,0.12381613999605179
l.,-0.00789702869951725,0.006958117242902517,0.06809674203395844,0.02862459048628807,-0.0039578769356012344,0.0543326660990715,-0.02648899145424366,0.06709589809179306,0.015482885763049126,0.05018472298979759
dryden,0.25466591119766235,0.29076719284057617,0.27064427733421326,0.16097544133663177,0.19069212675094604,0.24578708410263062,0.3150784969329834,0.2521308362483978,0.06500153243541718,0.1805235594511032
announced,0.11685211956501007,0.34205326437950134,0.2277132272720337,0.265784353017807,0.149154931306839,0.22339491546154022,0.22979891300201416,0.2528248429298401,-0.0027994015254080296,0.17416009306907654
the,0.3733934462070465,0.48711544275283813,1.0,0.2075105756521225,0.23136885464191437,0.733189046382904,0.19786997139453888,0.6662389636039734,0.038049813359975815,0.22068053483963013
apollo,0.19149452447891235,0.2306441366672516,0.2169172167778015,0.15874500572681427,0.15196777880191803,0.1786269098520279,0.4747956395149231,0.1461767554283142,0.08166109770536423,0.191528782248497
program,0.2097788155078888,0.1849333792924881,0.22986935079097748,0.15526890754699707,0.2415497601032257,0.17376001179218292,0.3442091643810272,0.1994907110929489,-0.024097280576825142,0.1440187245607376
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.1834849715232849,0.291531503200531,0.41548454761505127,0.21193136274814606,0.45010748505592346,-0.07981643825769424,0.29463258385658264
industry,0.1234421357512474,0.28708288073539734,0.26942890882492065,0.1950058490037918,0.1744665801525116,0.27385562658309937,0.16028086841106415,0.2675124704837799,-0.02345964126288891,0.11813290417194366
representatives,0.19269686937332153,0.24171686172485352,0.2691882848739624,0.43700069189071655,0.2790691554546356,0.3133973777294159,0.21500010788440704,0.2394939363002777,0.11081341654062271,0.14079871773719788
at,0.22096660733222961,0.36707764863967896,0.457212895154953,0.19558852910995483,0.3384252190589905,0.42558613419532776,0.19164150953292847,0.4374977946281433,-0.030643418431282043,0.21978627145290375
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.09121283143758774,0.23652416467666626,0.5052502155303955,0.19403119385242462,0.539380669593811,0.06404880434274673,0.23916715383529663
series,0.21484537422657013,0.2261398285627365,0.31376904249191284,0.15879134833812714,0.10437062382698059,0.22268271446228027,0.13186661899089813,0.2914260923862457,0.09688208252191544,0.1709602326154709
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.25625330209732056,0.22513146698474884,1.0,0.17935146391391754,0.5696388483047485,0.05807475745677948,0.1826142966747284
space,0.1441284865140915,0.14677780866622925,0.24495907127857208,0.19609539210796356,0.21730218827724457,0.21300287544727325,0.4611377716064453,0.17648501694202423,0.014312527142465115,0.1885536164045334
task,0.27233749628067017,0.17517952620983124,0.22566188871860504,0.20509770512580872,0.25740161538124084,0.18514713644981384,0.23243984580039978,0.1762852966785431,-0.11309526860713959,0.289821058511734
group,0.33690139651298523,0.1789962202310562,0.30795547366142273,0.18853837251663208,0.1092882826924324,0.25542253255844116,0.13749520480632782,0.2304753065109253,0.06628583371639252,0.13827809691429138
