,what,perk,did,religious,leaders,",",teachers,",",and,doctors,get,in,the,mongol,empire,?
there,0.35085538029670715,0.09339334070682526,0.29736605286598206,0.2111731320619583,0.1722182035446167,0.4587128460407257,0.2249779999256134,0.4587128460407257,0.4242868423461914,0.26043692231178284,0.2848747670650482,0.5361666083335876,0.47025805711746216,0.15220209956169128,0.12521648406982422,0.29405656456947327
were,0.22298263013362885,0.16512027382850647,0.4162326455116272,0.23646323382854462,0.33411720395088196,0.36755475401878357,0.26511338353157043,0.36755475401878357,0.42175528407096863,0.2462945580482483,0.2939866781234741,0.3815755248069763,0.3906462490558624,0.21221880614757538,0.25456157326698303,0.17890112102031708
tax,0.21278929710388184,0.1937197893857956,0.22152264416217804,0.24386225640773773,0.2033175677061081,0.140306293964386,0.21185417473316193,0.140306293964386,0.2044418603181839,0.15793003141880035,0.2620275914669037,0.20513993501663208,0.19507044553756714,0.14417530596256256,0.18363650143146515,0.2097984105348587
exemptions,0.294705331325531,0.11214002221822739,0.2205779254436493,0.28329405188560486,0.1997063308954239,0.24751323461532593,0.24266687035560608,0.24751323461532593,0.22712501883506775,0.21467071771621704,0.2518114149570465,0.14972631633281708,0.19299955666065216,0.06966391950845718,0.16107520461082458,0.2715868353843689
for,0.3017193675041199,0.2978713810443878,0.318512886762619,0.21258823573589325,0.21054218709468842,0.4464869201183319,0.274332195520401,0.4464869201183319,0.5064792633056641,0.18746568262577057,0.342695415019989,0.4322226941585541,0.4739971458911896,0.1556200236082077,0.18193261325359344,0.264628142118454
religious,0.26794421672821045,0.1981290727853775,0.2198762446641922,0.9999998807907104,0.3637336194515228,0.2753547728061676,0.26186174154281616,0.2753547728061676,0.30280056595802307,0.23358707129955292,0.11148079484701157,0.24099457263946533,0.22950971126556396,0.27299270033836365,0.22036117315292358,0.15727058053016663
figures,0.20573294162750244,0.10992559045553207,0.13928313553333282,0.24768194556236267,0.29966387152671814,0.21500776708126068,0.2739771604537964,0.21500776708126068,0.30489253997802734,0.18378199636936188,0.07403562217950821,0.1782902628183365,0.2664589285850525,0.10876265913248062,0.14642396569252014,0.15584851801395416
and,0.31309178471565247,0.28746962547302246,0.34479495882987976,0.30280056595802307,0.2407902181148529,0.6633074283599854,0.28640416264533997,0.6633074283599854,1.0,0.22853690385818481,0.37609121203422546,0.4954058527946472,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
",",0.3087472915649414,0.2589520812034607,0.3015086054801941,0.2753547728061676,0.21003474295139313,1.0000001192092896,0.28049156069755554,1.0000001192092896,0.6633074283599854,0.18616431951522827,0.2926318049430847,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
to,0.455847829580307,0.25965434312820435,0.4452643394470215,0.24161745607852936,0.25293630361557007,0.44245919585227966,0.2668606638908386,0.44245919585227966,0.48971283435821533,0.2947743237018585,0.4388369917869568,0.45010748505592346,0.535392165184021,0.2125127911567688,0.21448755264282227,0.29463258385658264
some,0.4491020441055298,0.22136929631233215,0.42553430795669556,0.2879745662212372,0.3150028586387634,0.42400437593460083,0.3189203441143036,0.42400437593460083,0.5337774157524109,0.39526522159576416,0.40573132038116455,0.4010399878025055,0.4566698372364044,0.14068067073822021,0.18784920871257782,0.2562315762042999
extent,0.369102418422699,0.1108095571398735,0.24440979957580566,0.18740694224834442,0.09741346538066864,0.2477271556854248,0.14841143786907196,0.2477271556854248,0.26296117901802063,0.07241327315568924,0.23956488072872162,0.1923665851354599,0.2727625370025635,0.1848863959312439,0.2770567238330841,0.1940663903951645
",",0.3087472915649414,0.2589520812034607,0.3015086054801941,0.2753547728061676,0.21003474295139313,1.0000001192092896,0.28049156069755554,1.0000001192092896,0.6633074283599854,0.18616431951522827,0.2926318049430847,0.5201468467712402,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
teachers,0.2526462972164154,0.17846344411373138,0.23635748028755188,0.26186174154281616,0.34065890312194824,0.28049156069755554,1.0,0.28049156069755554,0.28640416264533997,0.34830230474472046,0.19830089807510376,0.2128150761127472,0.22025763988494873,0.19973158836364746,0.178973987698555,0.19522249698638916
and,0.31309178471565247,0.28746962547302246,0.34479495882987976,0.30280056595802307,0.2407902181148529,0.6633074283599854,0.28640416264533997,0.6633074283599854,1.0,0.22853690385818481,0.37609121203422546,0.4954058527946472,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.20544172823429108
doctors,0.28694474697113037,0.24485865235328674,0.28996434807777405,0.23358707129955292,0.29767540097236633,0.18616431951522827,0.34830230474472046,0.18616431951522827,0.22853690385818481,1.0,0.26934269070625305,0.1817551702260971,0.24499839544296265,0.11370353400707245,0.1492917835712433,0.19305896759033203
.,0.3567904531955719,0.23902444541454315,0.35288307070732117,0.23880675435066223,0.18761023879051208,0.6812511086463928,0.24628326296806335,0.6812511086463928,0.588965117931366,0.1993139684200287,0.39392393827438354,0.5591574311256409,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
