,along,with,stephenson,and,walschaerts,",",what,is,an,example,of,a,simple,motion,?
this,0.19873085618019104,0.36358317732810974,0.18554621934890747,0.42353692650794983,0.2886781394481659,0.4316047728061676,0.5489566326141357,0.480927973985672,0.41881775856018066,0.4614826440811157,0.45148900151252747,0.5422310829162598,0.45032256841659546,0.28443554043769836,0.3155723512172699
expedient,0.18374799191951752,0.17150336503982544,0.1922755390405655,0.25144314765930176,0.23278748989105225,0.1746675670146942,0.23876047134399414,0.20987312495708466,0.21975989639759064,0.24666161835193634,0.22862349450588226,0.1976139098405838,0.24040675163269043,0.09354011714458466,0.13108478486537933
has,0.27603578567504883,0.44092974066734314,0.2188326120376587,0.43716782331466675,0.28835323452949524,0.3734780251979828,0.20338068902492523,0.5668748617172241,0.2991473078727722,0.28235751390457153,0.3909035325050354,0.4670248031616211,0.2518256604671478,0.13835863769054413,0.15994466841220856
since,0.17021682858467102,0.3120420575141907,0.2585444450378418,0.3515571057796478,0.3117367625236511,0.3991432189941406,0.29783400893211365,0.3567592203617096,0.19151140749454498,0.1908758282661438,0.35513219237327576,0.3303585946559906,0.25311747193336487,0.16715207695960999,0.2876587212085724
been,0.235473170876503,0.2804456949234009,0.2168647199869156,0.3424558639526367,0.29407015442848206,0.34873589873313904,0.2567804455757141,0.39566612243652344,0.24947525560855865,0.22095714509487152,0.31685134768486023,0.3315402865409851,0.3299371600151062,0.18151482939720154,0.24354910850524902
generally,0.24098333716392517,0.33641812205314636,0.1552686095237732,0.4087323546409607,0.25262975692749023,0.29679131507873535,0.40614598989486694,0.4094115197658539,0.26753097772598267,0.371061772108078,0.3127037584781647,0.37653425335884094,0.3860214948654175,0.22464461624622345,0.23411904275417328
considered,0.1839529424905777,0.24176937341690063,0.17968739569187164,0.3359341621398926,0.20135289430618286,0.32932984828948975,0.2834889590740204,0.4096149802207947,0.3028697371482849,0.3231664299964905,0.4190242290496826,0.36109375953674316,0.2421119511127472,0.14792266488075256,0.19909770786762238
satisfactory,0.16553473472595215,0.27711203694343567,0.16046680510044098,0.20441359281539917,0.19944098591804504,0.18395842611789703,0.35536426305770874,0.20801909267902374,0.1705428957939148,0.3084731101989746,0.2102595567703247,0.27701619267463684,0.41195109486579895,0.20694901049137115,0.3431724011898041
for,0.249526709318161,0.39140474796295166,0.19155120849609375,0.5064792633056641,0.3063475787639618,0.4464869201183319,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.44038116931915283,0.32954689860343933,0.27577662467956543,0.264628142118454
most,0.2380090206861496,0.336320698261261,0.18921534717082977,0.4309377074241638,0.26822158694267273,0.3636029064655304,0.3219912350177765,0.41165053844451904,0.2748267352581024,0.3754276633262634,0.4178851246833801,0.3508910834789276,0.28410840034484863,0.19489392638206482,0.2107497900724411
purposes,0.16797716915607452,0.18704469501972198,0.16084504127502441,0.31643474102020264,0.2300289124250412,0.2406408190727234,0.2370537966489792,0.2632380723953247,0.21449892222881317,0.3535477817058563,0.2639778256416321,0.28907832503318787,0.28587329387664795,0.18390502035617828,0.15262550115585327
