,what,actress,played,the,last,incarnation,of,the,doctor,in,the,special,?
during,0.24137552082538605,0.15246833860874176,0.2763521671295166,0.4838213622570038,0.3807850182056427,0.21059386432170868,0.3869180977344513,0.4838213622570038,0.19493472576141357,0.4627237319946289,0.4838213622570038,0.18424199521541595,0.1325719803571701
the,0.42745697498321533,0.16107499599456787,0.2603478729724884,1.0,0.3698786795139313,0.3089248239994049,0.733189046382904,1.0,0.2820442318916321,0.6662389636039734,1.0,0.3027077615261078,0.22068053483963013
special,0.24134232103824615,0.08105628192424774,0.1065249815583229,0.3027077615261078,0.17337222397327423,0.1212678849697113,0.27998968958854675,0.3027077615261078,0.16843044757843018,0.2897285223007202,0.3027077615261078,1.0000001192092896,0.29623302817344666
the,0.42745697498321533,0.16107499599456787,0.2603478729724884,1.0,0.3698786795139313,0.3089248239994049,0.733189046382904,1.0,0.2820442318916321,0.6662389636039734,1.0,0.3027077615261078,0.22068053483963013
doctor,0.20870667695999146,0.23929369449615479,0.20600740611553192,0.2820442318916321,0.14827261865139008,0.3371219038963318,0.16895952820777893,0.2820442318916321,0.9999999403953552,0.25567495822906494,0.2820442318916321,0.16843044757843018,0.1462511420249939
is,0.28837618231773376,0.1605745404958725,0.2258751392364502,0.5823672413825989,0.2445172220468521,0.3046400249004364,0.4854315221309662,0.5823672413825989,0.19875872135162354,0.5394441485404968,0.5823672413825989,0.24467575550079346,0.22961433231830597
forced,0.2257918417453766,0.10438376665115356,0.15885917842388153,0.2571122944355011,0.24972884356975555,0.05820935592055321,0.27082350850105286,0.2571122944355011,0.08717729896306992,0.2043643444776535,0.2571122944355011,0.1494632065296173,0.17547516524791718
to,0.455847829580307,0.10752200335264206,0.14824016392230988,0.535392165184021,0.30156898498535156,0.20287059247493744,0.41548454761505127,0.535392165184021,0.22950075566768646,0.45010748505592346,0.535392165184021,0.28623831272125244,0.29463258385658264
regenerate,0.23099561035633087,0.09435608237981796,0.13351717591285706,0.2977958917617798,0.1780402958393097,0.30997204780578613,0.29200416803359985,0.2977958917617798,0.32403048872947693,0.19567370414733887,0.2977958917617798,0.19795729219913483,0.17953330278396606
several,0.22446060180664062,0.15348249673843384,0.2310846447944641,0.40559855103492737,0.21413584053516388,0.20161229372024536,0.3271615505218506,0.40559855103492737,0.1561049073934555,0.39405709505081177,0.40559855103492737,0.22477619349956512,0.15595775842666626
times,0.21414996683597565,0.14667122066020966,0.1960964798927307,0.29093852639198303,0.27124476432800293,0.16539040207862854,0.24352745711803436,0.29093852639198303,0.12058350443840027,0.2427823841571808,0.29093852639198303,0.15491344034671783,0.18880689144134521
",",0.3087472915649414,0.29510700702667236,0.2987361550331116,0.4933079481124878,0.29026782512664795,0.24361343681812286,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.5201468467712402,0.4933079481124878,0.23880577087402344,0.31091248989105225
with,0.2464839518070221,0.1154225766658783,0.24504201114177704,0.4223487675189972,0.1975114792585373,0.20965217053890228,0.41827285289764404,0.4223487675189972,0.17277967929840088,0.4080928862094879,0.4223487675189972,0.21461334824562073,0.2433311939239502
his,0.26976513862609863,0.19150178134441376,0.2874697744846344,0.4394008219242096,0.2789236307144165,0.3179362416267395,0.38364991545677185,0.4394008219242096,0.2365143597126007,0.3598145842552185,0.4394008219242096,0.1849382370710373,0.18075084686279297
subsequent,0.20167095959186554,0.16643719375133514,0.14281713962554932,0.2562725245952606,0.14572173357009888,0.18339334428310394,0.1740972250699997,0.2562725245952606,0.12936721742153168,0.1837678998708725,0.2562725245952606,0.10942059755325317,0.13111010193824768
incarnations,0.25827986001968384,0.1354573667049408,0.18138843774795532,0.2946679890155792,0.2720848321914673,0.9385266304016113,0.2817036807537079,0.2946679890155792,0.3144519329071045,0.22985757887363434,0.2946679890155792,0.1454584002494812,0.21271158754825592
played,0.14831039309501648,0.37170568108558655,1.0,0.2603478729724884,0.23510023951530457,0.17898453772068024,0.21120788156986237,0.2603478729724884,0.20600740611553192,0.27605336904525757,0.2603478729724884,0.1065249815583229,0.14096300303936005
by,0.2455483376979828,0.09969393163919449,0.1480340212583542,0.4408751428127289,0.24441376328468323,0.18325546383857727,0.3646814823150635,0.4408751428127289,0.13681447505950928,0.370934396982193,0.4408751428127289,0.2578898072242737,0.17966607213020325
",",0.3087472915649414,0.29510700702667236,0.2987361550331116,0.4933079481124878,0.29026782512664795,0.24361343681812286,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.5201468467712402,0.4933079481124878,0.23880577087402344,0.31091248989105225
in,0.30808621644973755,0.22754959762096405,0.27605336904525757,0.6662389636039734,0.30714505910873413,0.2213584929704666,0.5696388483047485,0.6662389636039734,0.25567495822906494,1.0,0.6662389636039734,0.2897285223007202,0.20430970191955566
order,0.16634008288383484,0.10208173841238022,0.11205410212278366,0.3284194767475128,0.24516816437244415,0.20536698400974274,0.31287699937820435,0.3284194767475128,0.11504178494215012,0.24184700846672058,0.3284194767475128,0.22666555643081665,0.13725648820400238
",",0.3087472915649414,0.29510700702667236,0.2987361550331116,0.4933079481124878,0.29026782512664795,0.24361343681812286,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.5201468467712402,0.4933079481124878,0.23880577087402344,0.31091248989105225
richard,0.19329693913459778,0.22137878835201263,0.1566726565361023,0.2087954580783844,0.1719212532043457,0.15114295482635498,0.2227524220943451,0.2087954580783844,0.1472996175289154,0.23321768641471863,0.2087954580783844,0.10903418809175491,0.15003317594528198
e.,0.05773794278502464,-0.05190838500857353,-0.0353839285671711,0.04129594564437866,0.038898274302482605,-0.011987937614321709,0.03512954339385033,0.04129594564437866,-0.055124808102846146,0.05083685740828514,0.04129594564437866,0.02974602021276951,0.04848470166325569
grant,0.18171831965446472,0.13000273704528809,0.16171136498451233,0.2460666298866272,0.1669376939535141,0.15564951300621033,0.23326964676380157,0.2460666298866272,0.23351116478443146,0.2044283151626587,0.2460666298866272,0.21273279190063477,0.15586599707603455
",",0.3087472915649414,0.29510700702667236,0.2987361550331116,0.4933079481124878,0.29026782512664795,0.24361343681812286,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.5201468467712402,0.4933079481124878,0.23880577087402344,0.31091248989105225
jim,0.17815354466438293,0.20847074687480927,0.22371509671211243,0.21709053218364716,0.09057705849409103,0.08863111585378647,0.17690125107765198,0.21709053218364716,0.10269874334335327,0.22906269133090973,0.21709053218364716,0.09708084911108017,0.09886423498392105
broadbent,0.15464536845684052,0.32827135920524597,0.28497791290283203,0.2580854892730713,0.114308200776577,0.19368866086006165,0.20756812393665314,0.2580854892730713,0.2778717577457428,0.2773846983909607,0.2580854892730713,0.15942718088626862,0.22554251551628113
",",0.3087472915649414,0.29510700702667236,0.2987361550331116,0.4933079481124878,0.29026782512664795,0.24361343681812286,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.5201468467712402,0.4933079481124878,0.23880577087402344,0.31091248989105225
hugh,0.08473578095436096,0.23133008182048798,0.23090358078479767,0.24369864165782928,0.13584114611148834,0.13330136239528656,0.23160827159881592,0.24369864165782928,0.14947766065597534,0.18993298709392548,0.24369864165782928,0.15995776653289795,0.12381613999605179
grant,0.18171831965446472,0.13000273704528809,0.16171136498451233,0.2460666298866272,0.1669376939535141,0.15564951300621033,0.23326964676380157,0.2460666298866272,0.23351116478443146,0.2044283151626587,0.2460666298866272,0.21273279190063477,0.15586599707603455
and,0.31309178471565247,0.21803441643714905,0.268975168466568,0.5171257257461548,0.25967320799827576,0.21791762113571167,0.5116966962814331,0.5171257257461548,0.21673844754695892,0.4954058527946472,0.5171257257461548,0.22352655231952667,0.20544172823429108
joanna,0.1247030720114708,0.4086873233318329,0.23652911186218262,0.18201182782649994,0.1406424194574356,0.25231242179870605,0.2301756590604782,0.18201182782649994,0.1991402804851532,0.19366991519927979,0.18201182782649994,0.09301188588142395,0.15293799340724945
lumley,0.19016683101654053,0.36169251799583435,0.3678663969039917,0.30327826738357544,0.22637169063091278,0.2241489291191101,0.20524117350578308,0.30327826738357544,0.23640184104442596,0.2954552471637726,0.30327826738357544,0.11735992878675461,0.2047397941350937
.,0.3567904531955719,0.19474907219409943,0.2876244783401489,0.5934505462646484,0.3548945486545563,0.20604264736175537,0.5352458953857422,0.5934505462646484,0.22361043095588684,0.5591574311256409,0.5934505462646484,0.26337340474128723,0.4130953550338745
