,what,was,disney-abc,domestic,television,previously,known,as,?
also,0.42747777700424194,0.4032125174999237,0.2925111949443817,0.24962100386619568,0.2801430821418762,0.4241567552089691,0.4766203761100769,0.5774298906326294,0.21848613023757935
part,0.3476244807243347,0.3407018780708313,0.24171213805675507,0.07777304202318192,0.1663149893283844,0.22314360737800598,0.30880099534988403,0.2563304007053375,0.08557961881160736
of,0.33290785551071167,0.4069072902202606,0.2581593692302704,0.1528376340866089,0.21995750069618225,0.2850290536880493,0.35814476013183594,0.3886612355709076,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.3181883692741394,0.21731778979301453,0.24569597840309143,0.33854439854621887,0.3624623417854309,0.48381632566452026,0.22068053483963013
library,0.19149379432201385,0.1691625416278839,0.21437512338161469,0.03372197598218918,0.15106883645057678,0.1261371374130249,0.14185714721679688,0.19044850766658783,0.18938742578029633
is,0.28837618231773376,0.5810302495956421,0.24662993848323822,0.16967669129371643,0.21374565362930298,0.24012024700641632,0.41921812295913696,0.43216490745544434,0.22961433231830597
the,0.42745697498321533,0.48711544275283813,0.3181883692741394,0.21731778979301453,0.24569597840309143,0.33854439854621887,0.3624623417854309,0.48381632566452026,0.22068053483963013
aforementioned,0.37911996245384216,0.2335449904203415,0.2907675504684448,0.20680411159992218,0.22025041282176971,0.32520633935928345,0.2516716420650482,0.38667577505111694,0.34642836451530457
selznick,0.1954616904258728,0.3335361182689667,0.4601433277130127,0.28413158655166626,0.38050299882888794,0.24334488809108734,0.24758554995059967,0.30021849274635315,0.24511322379112244
library,0.19149379432201385,0.1691625416278839,0.21437512338161469,0.03372197598218918,0.15106883645057678,0.1261371374130249,0.14185714721679688,0.19044850766658783,0.18938742578029633
",",0.3087472915649414,0.45456063747406006,0.24468442797660828,0.21976107358932495,0.27995240688323975,0.3206103444099426,0.3604377806186676,0.48816442489624023,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,0.3181883692741394,0.21731778979301453,0.24569597840309143,0.33854439854621887,0.3624623417854309,0.48381632566452026,0.22068053483963013
cinerama,0.12105293571949005,0.30021366477012634,0.4520006775856018,0.2140376716852188,0.3740944266319275,0.2047700136899948,0.26552313566207886,0.23589561879634857,0.15935048460960388
productions/palomar,0.30156782269477844,0.2694931924343109,0.46363624930381775,0.2647116482257843,0.3546889126300812,0.2617817223072052,0.2336350530385971,0.29583287239074707,0.39832544326782227
theatrical,0.17756274342536926,0.30687329173088074,0.4754813313484192,0.27600058913230896,0.41384097933769226,0.15669921040534973,0.19173908233642578,0.2624557912349701,0.1252935528755188
library,0.19149379432201385,0.1691625416278839,0.21437512338161469,0.03372197598218918,0.15106883645057678,0.1261371374130249,0.14185714721679688,0.19044850766658783,0.18938742578029633
and,0.31309178471565247,0.3740963041782379,0.2604368329048157,0.2692606449127197,0.29514092206954956,0.28226712346076965,0.3468935489654541,0.49487000703811646,0.20544172823429108
