,who,is,the,quarterback,for,the,carolina,panthers,?
pro,0.23716162145137787,0.11078593879938126,0.2149612456560135,0.24708674848079681,0.2676255404949188,0.2149612456560135,0.20122501254081726,0.20294983685016632,0.17645101249217987
bowl,0.09189514070749283,0.14233897626399994,0.21576224267482758,0.37160974740982056,0.24430087208747864,0.21576224267482758,0.2087959349155426,0.34713199734687805,0.21118052303791046
quarterback,0.17410103976726532,0.19901543855667114,0.23757418990135193,1.0000001192092896,0.2683273255825043,0.23757418990135193,0.29357412457466125,0.46138665080070496,0.13221268355846405
cam,0.1493443101644516,0.20740602910518646,0.18275147676467896,0.25592461228370667,0.22685806453227997,0.18275147676467896,0.24404369294643402,0.32430368661880493,0.1622646003961563
newton,0.19243690371513367,0.21921560168266296,0.1876603662967682,0.29465755820274353,0.18168501555919647,0.1876603662967682,0.2037651538848877,0.2555108666419983,0.09645649790763855
had,0.36173108220100403,0.2932159900665283,0.3875846862792969,0.18042391538619995,0.3270139992237091,0.3875846862792969,0.20392835140228271,0.1570805162191391,0.20728366076946259
one,0.40083858370780945,0.4544198513031006,0.5514441132545471,0.2033592313528061,0.384836345911026,0.5514441132545471,0.19012434780597687,0.227028489112854,0.2673267424106598
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.19996441900730133,0.4185989499092102,0.733189046382904,0.26946863532066345,0.23357392847537994,0.1826142966747284
his,0.44966956973075867,0.24372583627700806,0.4394008219242096,0.26448479294776917,0.39312878251075745,0.4394008219242096,0.19019079208374023,0.20532742142677307,0.18075084686279297
best,0.266329824924469,0.30476391315460205,0.3134109377861023,0.23861365020275116,0.45128104090690613,0.3134109377861023,0.1503656804561615,0.1958107054233551,0.2799045741558075
seasons,0.1471238136291504,0.18750202655792236,0.24226845800876617,0.37501752376556396,0.26410943269729614,0.24226845800876617,0.19542597234249115,0.4826033115386963,0.13766995072364807
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2844501733779907,0.4464869201183319,0.4933079481124878,0.2566046118736267,0.2494642585515976,0.31091248989105225
