,what,kicker,was,successful,on,a,33-yard,field,goal,?
after,0.21973377466201782,0.23264706134796143,0.49306565523147583,0.275703489780426,0.39330315589904785,0.3831600844860077,0.2408454269170761,0.13112539052963257,0.176401287317276,0.16608688235282898
the,0.42745697498321533,0.21651580929756165,0.48711544275283813,0.31354787945747375,0.5107308030128479,0.5829201340675354,0.2891487181186676,0.2105809599161148,0.2443244755268097,0.22068053483963013
miss,0.15348751842975616,0.16325750946998596,0.19229768216609955,0.16760863363742828,0.20868858695030212,0.1587100327014923,0.13298086822032928,0.1418994665145874,0.0739106610417366,0.21144157648086548
",",0.3087472915649414,0.24440039694309235,0.45456063747406006,0.28826844692230225,0.49057599902153015,0.427140474319458,0.23439905047416687,0.27645614743232727,0.2145523726940155,0.31091248989105225
manning,0.20007498562335968,0.4342373013496399,0.2607507109642029,0.23190335929393768,0.25339728593826294,0.2509649395942688,0.3609819710254669,0.24487000703811646,0.2903554141521454,0.15856626629829407
completed,0.19063329696655273,0.19020819664001465,0.3156263828277588,0.26166242361068726,0.26186099648475647,0.2692357301712036,0.24706898629665375,0.18270573019981384,0.22484253346920013,0.08272653818130493
a,0.3320399522781372,0.29131606221199036,0.4508470594882965,0.28627005219459534,0.3848365545272827,1.0,0.27250954508781433,0.2030690312385559,0.20853768289089203,0.23916715383529663
pair,0.1797199696302414,0.15673941373825073,0.12873734533786774,0.22414468228816986,0.1934850513935089,0.3077886998653412,0.20963801443576813,0.12981370091438293,0.0995815247297287,0.11695868521928787
of,0.33290785551071167,0.17422713339328766,0.4069072902202606,0.2304827868938446,0.3966929316520691,0.5052502155303955,0.19458900392055511,0.20410659909248352,0.1838325709104538,0.1826142966747284
passes,0.21615341305732727,0.24065233767032623,0.1631097048521042,0.1459638923406601,0.1884605586528778,0.31111034750938416,0.21816304326057434,0.16150401532649994,0.20405806601047516,0.09716983139514923
to,0.455847829580307,0.26560527086257935,0.3636345863342285,0.2317596971988678,0.41031414270401,0.45503583550453186,0.2178482562303543,0.2647967040538788,0.37094977498054504,0.29463258385658264
emmanuel,0.11832690984010696,0.20717675983905792,0.23595747351646423,0.17092613875865936,0.15169398486614227,0.23996283113956451,0.18286947906017303,0.09961767494678497,0.13918855786323547,0.15527042746543884
sanders,0.1722477227449417,0.2778145372867584,0.2800391614437103,0.2017715722322464,0.24273234605789185,0.23156176507472992,0.2584579288959503,0.17046263813972473,0.16254737973213196,0.20881439745426178
for,0.3017193675041199,0.25026997923851013,0.3863949179649353,0.2988608777523041,0.36199691891670227,0.44038116931915283,0.24088265001773834,0.24342265725135803,0.2554558217525482,0.264628142118454
gains,0.1997934877872467,0.21961328387260437,0.1486111879348755,0.22579945623874664,0.1890922337770462,0.29294106364250183,0.08409717679023743,0.15173210203647614,0.3028206527233124,0.13120409846305847
of,0.33290785551071167,0.17422713339328766,0.4069072902202606,0.2304827868938446,0.3966929316520691,0.5052502155303955,0.19458900392055511,0.20410659909248352,0.1838325709104538,0.1826142966747284
25,0.12916474044322968,0.10653343796730042,0.15615400671958923,0.16007696092128754,0.17010806500911713,0.12003126740455627,0.050309985876083374,0.17003603279590607,0.11077350378036499,0.09614268690347672
and,0.31309178471565247,0.21758797764778137,0.3740963041782379,0.2795376479625702,0.4077630043029785,0.3739250600337982,0.27818310260772705,0.26487240195274353,0.20885969698429108,0.20544172823429108
22,0.02076123282313347,-0.03807564452290535,-0.00688961474224925,0.04508466646075249,4.0948758396552876e-05,-0.028262944892048836,0.034942228347063065,-0.0823872908949852,0.002616755897179246,0.06663474440574646
yards,0.1304803043603897,0.44974806904792786,0.1823360025882721,0.17816956341266632,0.15043845772743225,0.19167225062847137,0.5224409699440002,0.3101290166378021,0.3246974050998688,0.12453813850879669
",",0.3087472915649414,0.24440039694309235,0.45456063747406006,0.28826844692230225,0.49057599902153015,0.427140474319458,0.23439905047416687,0.27645614743232727,0.2145523726940155,0.31091248989105225
setting,0.287603497505188,0.16416984796524048,0.1622309386730194,0.12973423302173615,0.2699859142303467,0.3013681173324585,0.24779284000396729,0.21217501163482666,0.20607419312000275,0.16943378746509552
up,0.28591108322143555,0.19376316666603088,0.24070115387439728,0.20717638731002808,0.34194523096084595,0.32523053884506226,0.21896255016326904,0.11040262877941132,0.22843164205551147,0.1819818764925003
mcmanus,0.17027217149734497,0.3453651964664459,0.27701082825660706,0.17495794594287872,0.21001732349395752,0.21207298338413239,0.31797558069229126,0.13735942542552948,0.15743473172187805,0.2241760641336441
',0.3245812654495239,0.21903641521930695,0.33675912022590637,0.23923127353191376,0.30823177099227905,0.48837921023368835,0.20297931134700775,0.17484794557094574,0.1821378618478775,0.330942302942276
33-yard,0.21396507322788239,0.2846107482910156,0.2871530055999756,0.11115594953298569,0.21877555549144745,0.27250954508781433,1.0000001192092896,0.22635287046432495,0.20637640357017517,0.11568541079759598
field,0.1825202852487564,0.24471083283424377,0.15975919365882874,0.19619181752204895,0.192391499876976,0.2030690312385559,0.22635287046432495,1.0,0.26796361804008484,0.11279727518558502
goal,0.2571476101875305,0.39293649792671204,0.18331198394298553,0.23529867827892303,0.2157920002937317,0.20853768289089203,0.20637640357017517,0.26796361804008484,1.0000001192092896,0.1964566856622696
that,0.6297725439071655,0.17954714596271515,0.33670201897621155,0.20729883015155792,0.42569106817245483,0.47537946701049805,0.26040083169937134,0.2216513603925705,0.2496824711561203,0.32716336846351624
