,what,reference,is,there,to,huguenot,lacemakers,in,the,19th,century,?
the,0.42745697498321533,0.26254498958587646,0.5823672413825989,0.47025805711746216,0.535392165184021,0.29557526111602783,0.271917462348938,0.6662389636039734,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
only,0.41415658593177795,0.23388439416885376,0.44708555936813354,0.5042840242385864,0.5096819996833801,0.20597383379936218,0.27110806107521057,0.42992329597473145,0.5497692227363586,0.19422417879104614,0.19097597897052765,0.2767370045185089
reference,0.27632904052734375,1.0,0.2599010765552521,0.26263347268104553,0.25784367322921753,0.07964888960123062,0.1657456010580063,0.22640638053417206,0.26254498958587646,0.2034037858247757,0.15014605224132538,0.2950310707092285
to,0.455847829580307,0.25784367322921753,0.42745086550712585,0.40669289231300354,1.0,0.24496324360370636,0.2975258231163025,0.45010748505592346,0.535392165184021,0.18742936849594116,0.20143604278564453,0.29463258385658264
immigrant,0.1349055916070938,0.14216357469558716,0.2031564712524414,0.1861822009086609,0.22889234125614166,0.34604939818382263,0.24065935611724854,0.2676498591899872,0.16158992052078247,0.059134554117918015,0.3013232350349426,0.13306713104248047
lacemakers,0.2678513824939728,0.1657456010580063,0.209947407245636,0.24468687176704407,0.2975258231163025,0.2102680802345276,1.0,0.19828495383262634,0.271917462348938,0.13701680302619934,0.16726520657539368,0.22065520286560059
in,0.30808621644973755,0.22640638053417206,0.5394441485404968,0.5361666083335876,0.45010748505592346,0.26198551058769226,0.19828495383262634,1.0,0.6662389636039734,0.15408828854560852,0.3174034655094147,0.20430970191955566
this,0.5489566326141357,0.2931727170944214,0.480927973985672,0.47775381803512573,0.5759071707725525,0.2300579845905304,0.2724560797214508,0.45205554366111755,0.6274310946464539,0.15563304722309113,0.2385929524898529,0.3155723512172699
period,0.24507179856300354,0.1247934103012085,0.1838376820087433,0.24570882320404053,0.24346192181110382,0.21060410141944885,0.15748026967048645,0.23051127791404724,0.3125074505805969,0.09666503220796585,0.34670042991638184,0.18706195056438446
is,0.28837618231773376,0.2599010765552521,1.0,0.3904260993003845,0.42745086550712585,0.12706810235977173,0.209947407245636,0.5394441485404968,0.5823672413825989,0.21349595487117767,0.20648397505283356,0.22961433231830597
