,who,is,the,city,supervisor,of,san,francisco,?
san,0.19863182306289673,0.1594623327255249,0.2858080565929413,0.32193511724472046,0.27299872040748596,0.25237205624580383,0.9999999403953552,0.8108479976654053,0.10952327400445938
francisco,0.21818988025188446,0.12765364348888397,0.25086042284965515,0.26995041966438293,0.28419169783592224,0.19117538630962372,0.8108479976654053,1.0,0.1020219698548317
city,0.21073515713214874,0.3186660706996918,0.35769423842430115,1.0,0.14934414625167847,0.32503411173820496,0.32193511724472046,0.26995041966438293,0.13423943519592285
supervisor,0.2811225950717926,0.16958807408809662,0.1879754215478897,0.14934414625167847,1.0000001192092896,0.21963465213775635,0.27299872040748596,0.28419169783592224,0.0980292558670044
jane,0.21626175940036774,0.15561361610889435,0.18294748663902283,0.18231819570064545,0.09670047461986542,0.12316256016492844,0.08675535768270493,0.14684514701366425,0.14947275817394257
kim,0.20088379085063934,0.16902871429920197,0.16643309593200684,0.1275898963212967,0.16674570739269257,0.10309264063835144,0.17282411456108093,0.15439718961715698,0.1720227748155594
unsuccessfully,0.2546873986721039,0.10657057166099548,0.25118717551231384,0.123650923371315,0.21513815224170685,0.14116515219211578,0.16607388854026794,0.2063143253326416,0.11042703688144684
lobbied,0.27474695444107056,0.1858305037021637,0.32966166734695435,0.23905138671398163,0.32812872529029846,0.29772061109542847,0.23130805790424347,0.2570071220397949,0.13561487197875977
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.18687109649181366,0.30380451679229736,0.4185989499092102,0.21004900336265564,0.2142373025417328,0.264628142118454
the,0.3733934462070465,0.5823672413825989,1.0,0.35769423842430115,0.1879754215478897,0.733189046382904,0.2858080565929413,0.25086042284965515,0.22068053483963013
nfl,0.13425186276435852,0.12479410320520401,0.15305201709270477,0.171630859375,0.19454099237918854,0.1524115800857544,0.225969135761261,0.24973660707473755,0.10610254108905792
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.20300441980361938,0.19947732985019684,0.41548454761505127,0.21651452779769897,0.21318043768405914,0.29463258385658264
reimburse,0.29831215739250183,0.3248683512210846,0.33250248432159424,0.3181403875350952,0.18017353117465973,0.30981019139289856,0.2514359951019287,0.2181222289800644,0.26732808351516724
san,0.19863182306289673,0.1594623327255249,0.2858080565929413,0.32193511724472046,0.27299872040748596,0.25237205624580383,0.9999999403953552,0.8108479976654053,0.10952327400445938
francisco,0.21818988025188446,0.12765364348888397,0.25086042284965515,0.26995041966438293,0.28419169783592224,0.19117538630962372,0.8108479976654053,1.0,0.1020219698548317
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.18687109649181366,0.30380451679229736,0.4185989499092102,0.21004900336265564,0.2142373025417328,0.264628142118454
city,0.21073515713214874,0.3186660706996918,0.35769423842430115,1.0,0.14934414625167847,0.32503411173820496,0.32193511724472046,0.26995041966438293,0.13423943519592285
services,0.24612601101398468,0.2128378003835678,0.2381475418806076,0.18645629286766052,0.31943875551223755,0.23787347972393036,0.16080959141254425,0.1488845944404602,0.1328447163105011
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.3911624252796173,0.19056932628154755,0.5696388483047485,0.2617562413215637,0.21278683841228485,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,1.0,0.35769423842430115,0.1879754215478897,0.733189046382904,0.2858080565929413,0.25086042284965515,0.22068053483963013
amount,0.22081047296524048,0.3016021251678467,0.3336862325668335,0.21123197674751282,0.14066927134990692,0.2541177570819855,0.10690554976463318,0.04795834794640541,0.17984020709991455
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.32503411173820496,0.21963465213775635,1.0,0.25237205624580383,0.19117538630962372,0.1826142966747284
$,0.14688296616077423,0.14577937126159668,0.23367542028427124,0.18137891590595245,0.1926712691783905,0.11268499493598938,0.16023726761341095,0.1288125067949295,0.2786129117012024
5,0.05488086864352226,0.009449449367821217,0.09255307912826538,0.08008258044719696,0.09040805697441101,0.1043979674577713,0.10429979860782623,0.07901156693696976,0.06222071498632431
million,0.20240086317062378,0.19962359964847565,0.277012437582016,0.1873769909143448,0.08405040204524994,0.21686489880084991,0.12274323403835297,0.08557038009166718,0.23092924058437347
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.29856356978416443,0.1854904741048813,0.5352458953857422,0.24563752114772797,0.2233876734972,0.4130953550338745
