,who,gained,control,of,florida,after,the,conclusion,of,the,revolutionary,war,?
after,0.32549580931663513,0.28177154064178467,0.18320131301879883,0.3867455720901489,0.22783660888671875,1.0,0.4565047025680542,0.2341170310974121,0.3867455720901489,0.4565047025680542,0.1992659568786621,0.3393358886241913,0.16608688235282898
spain,0.1607624888420105,0.19772762060165405,0.18962226808071136,0.2591174840927124,0.25170034170150757,0.2004108875989914,0.259463906288147,0.137888103723526,0.2591174840927124,0.259463906288147,0.17195497453212738,0.22071196138858795,0.16814002394676208
ceded,0.14518480002880096,0.36225008964538574,0.2492808997631073,0.3327391743659973,0.19869741797447205,0.34265726804733276,0.337197870016098,0.19171811640262604,0.3327391743659973,0.337197870016098,0.31956717371940613,0.31332477927207947,0.13127154111862183
the,0.3733934462070465,0.29543522000312805,0.32841500639915466,0.733189046382904,0.24091358482837677,0.4565047025680542,1.0,0.25632116198539734,0.733189046382904,1.0,0.24521014094352722,0.366199791431427,0.22068053483963013
florida,0.13160431385040283,0.18514728546142578,0.1427663117647171,0.2330869883298874,1.0,0.22783660888671875,0.24091358482837677,0.12644408643245697,0.2330869883298874,0.24091358482837677,0.17361213266849518,0.1284976303577423,0.13469882309436798
territory,0.247842475771904,0.29784199595451355,0.28864094614982605,0.27564212679862976,0.2116149514913559,0.24827559292316437,0.3000710904598236,0.11288689076900482,0.27564212679862976,0.3000710904598236,0.11738981306552887,0.268642395734787,0.09435105323791504
to,0.42656609416007996,0.22058042883872986,0.28164729475975037,0.41548454761505127,0.20760414004325867,0.37890323996543884,0.535392165184021,0.28714045882225037,0.41548454761505127,0.535392165184021,0.18605543673038483,0.2610234022140503,0.29463258385658264
the,0.3733934462070465,0.29543522000312805,0.32841500639915466,0.733189046382904,0.24091358482837677,0.4565047025680542,1.0,0.25632116198539734,0.733189046382904,1.0,0.24521014094352722,0.366199791431427,0.22068053483963013
united,0.21193812787532806,0.23471371829509735,0.14107011258602142,0.3187655806541443,0.3182266056537628,0.23208022117614746,0.34367692470550537,0.15089745819568634,0.3187655806541443,0.34367692470550537,0.31789886951446533,0.29975080490112305,0.17266890406608582
states,0.21313154697418213,0.248657688498497,0.19390355050563812,0.30884552001953125,0.3640097677707672,0.20801226794719696,0.3463578522205353,0.1860160380601883,0.30884552001953125,0.3463578522205353,0.3344699740409851,0.2994349002838135,0.16272737085819244
in,0.2792111933231354,0.2935055196285248,0.24831421673297882,0.5696388483047485,0.2330404818058014,0.44050168991088867,0.6662389636039734,0.2106221318244934,0.5696388483047485,0.6662389636039734,0.22016291320323944,0.29904094338417053,0.20430970191955566
1821,-0.19858314096927643,-0.09971900284290314,-0.1538512110710144,-0.15542727708816528,0.003378148889169097,-0.16734151542186737,-0.20734712481498718,-0.15959233045578003,-0.15542727708816528,-0.20734712481498718,-0.11000462621450424,-0.0764726921916008,-0.09346645325422287
",",0.3365725874900818,0.24670249223709106,0.20811550319194794,0.4946078956127167,0.21896368265151978,0.38860568404197693,0.4933079481124878,0.2135465145111084,0.4946078956127167,0.4933079481124878,0.26820501685142517,0.2671184241771698,0.31091248989105225
american,0.3093835413455963,0.20299425721168518,0.0908546894788742,0.22180068492889404,0.2683035433292389,0.1780838519334793,0.24562937021255493,0.14740300178527832,0.22180068492889404,0.24562937021255493,0.33802783489227295,0.2592540383338928,0.18877598643302917
settlers,0.27759280800819397,0.19088204205036163,0.2006153166294098,0.22850416600704193,0.16719956696033478,0.2514905631542206,0.27202945947647095,0.21049071848392487,0.22850416600704193,0.27202945947647095,0.3441142737865448,0.30023282766342163,0.1296290010213852
on,0.2340552806854248,0.21974101662635803,0.2284763753414154,0.3966929316520691,0.22258517146110535,0.39330315589904785,0.5107308030128479,0.2717941701412201,0.3966929316520691,0.5107308030128479,0.16862216591835022,0.23017507791519165,0.2714994251728058
the,0.3733934462070465,0.29543522000312805,0.32841500639915466,0.733189046382904,0.24091358482837677,0.4565047025680542,1.0,0.25632116198539734,0.733189046382904,1.0,0.24521014094352722,0.366199791431427,0.22068053483963013
north,0.11026738584041595,0.2292322963476181,0.149099200963974,0.3604778051376343,0.31925883889198303,0.2209993153810501,0.36298373341560364,0.14821931719779968,0.3604778051376343,0.36298373341560364,0.1857464611530304,0.2980347275733948,0.11829731613397598
side,0.18683703243732452,0.1560206115245819,0.21166741847991943,0.2452700436115265,0.15501320362091064,0.19235624372959137,0.37146830558776855,0.17724689841270447,0.2452700436115265,0.37146830558776855,0.12495632469654083,0.25143054127693176,0.07831130921840668
of,0.2827862501144409,0.29895761609077454,0.2817542552947998,1.0,0.2330869883298874,0.3867455720901489,0.733189046382904,0.21260499954223633,1.0,0.733189046382904,0.29118266701698303,0.31680163741111755,0.1826142966747284
the,0.3733934462070465,0.29543522000312805,0.32841500639915466,0.733189046382904,0.24091358482837677,0.4565047025680542,1.0,0.25632116198539734,0.733189046382904,1.0,0.24521014094352722,0.366199791431427,0.22068053483963013
cow,0.21324577927589417,0.020440248772501945,0.08427746593952179,0.14987067878246307,0.11482088267803192,0.04076514020562172,0.15861596167087555,0.08701542019844055,0.14987067878246307,0.15861596167087555,0.09597940742969513,0.046959083527326584,0.17381127178668976
ford,0.22112779319286346,0.11821486055850983,0.13945382833480835,0.2179923951625824,0.1489166021347046,0.17945043742656708,0.24780116975307465,0.17617438733577728,0.2179923951625824,0.24780116975307465,0.1520426869392395,0.2357274442911148,0.19164219498634338
decided,0.3009106516838074,0.27511489391326904,0.1871054470539093,0.2880963683128357,0.18664172291755676,0.3979598879814148,0.37534645199775696,0.28365838527679443,0.2880963683128357,0.37534645199775696,0.17544949054718018,0.2559055685997009,0.258772075176239
to,0.42656609416007996,0.22058042883872986,0.28164729475975037,0.41548454761505127,0.20760414004325867,0.37890323996543884,0.535392165184021,0.28714045882225037,0.41548454761505127,0.535392165184021,0.18605543673038483,0.2610234022140503,0.29463258385658264
plan,0.2951151430606842,0.09088249504566193,0.20010386407375336,0.2742128372192383,0.10395286977291107,0.24595440924167633,0.2852855324745178,0.20517219603061676,0.2742128372192383,0.2852855324745178,0.15189361572265625,0.23922358453273773,0.1961054503917694
a,0.36608949303627014,0.2673710882663727,0.21056023240089417,0.5052502155303955,0.22540530562400818,0.3831600844860077,0.5829201340675354,0.2761456370353699,0.5052502155303955,0.5829201340675354,0.2602968215942383,0.2368277609348297,0.23916715383529663
town,0.17440535128116608,0.15908004343509674,0.1051403358578682,0.26585668325424194,0.16073645651340485,0.24902865290641785,0.2974243760108948,0.12250673025846481,0.26585668325424194,0.2974243760108948,0.14420859515666962,0.18557976186275482,0.09902279824018478
",",0.3365725874900818,0.24670249223709106,0.20811550319194794,0.4946078956127167,0.21896368265151978,0.38860568404197693,0.4933079481124878,0.2135465145111084,0.4946078956127167,0.4933079481124878,0.26820501685142517,0.2671184241771698,0.31091248989105225
laying,0.15130536258220673,0.17983576655387878,0.21168871223926544,0.2933219075202942,0.17151719331741333,0.22744663059711456,0.29896414279937744,0.20080594718456268,0.2933219075202942,0.29896414279937744,0.12318895012140274,0.12924395501613617,0.18542435765266418
out,0.3129808306694031,0.16871967911720276,0.33162519335746765,0.34176841378211975,0.18956373631954193,0.33628228306770325,0.39404502511024475,0.25997933745384216,0.34176841378211975,0.39404502511024475,0.1837291419506073,0.18922953307628632,0.22020699083805084
the,0.3733934462070465,0.29543522000312805,0.32841500639915466,0.733189046382904,0.24091358482837677,0.4565047025680542,1.0,0.25632116198539734,0.733189046382904,1.0,0.24521014094352722,0.366199791431427,0.22068053483963013
streets,0.22142669558525085,0.15623819828033447,0.09057449549436569,0.18885038793087006,0.16059881448745728,0.22942380607128143,0.2026284784078598,0.1645296812057495,0.18885038793087006,0.2026284784078598,0.21076565980911255,0.16340798139572144,0.0894271582365036
and,0.41279885172843933,0.2992778718471527,0.29790008068084717,0.5116966962814331,0.22456413507461548,0.3765919506549835,0.5171257257461548,0.1502206027507782,0.5116966962814331,0.5171257257461548,0.20761948823928833,0.29695844650268555,0.20544172823429108
