,to,promote,accessibility,of,the,works,",",what,did,luther,remove,?
he,0.385390967130661,0.23159675300121307,0.09201093763113022,0.38706058263778687,0.4571082592010498,0.2879762649536133,0.40251094102859497,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.10082221031188965,0.2089974731206894
intended,0.48327770829200745,0.32538071274757385,0.3728810250759125,0.24364815652370453,0.29853108525276184,0.2256276160478592,0.18479764461517334,0.32450535893440247,0.3671674132347107,0.123398557305336,0.21938323974609375,0.21823447942733765
his,0.3715193271636963,0.22058026492595673,0.12008702754974365,0.38364991545677185,0.4394008219242096,0.32648009061813354,0.3378419280052185,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.13942983746528625,0.18075084686279297
vigorous,0.2891698181629181,0.24067136645317078,0.3276481330394745,0.1782941222190857,0.23662160336971283,0.20978708565235138,0.18031999468803406,0.2523565888404846,0.17048287391662598,0.077043317258358,0.17034912109375,0.1403348594903946
",",0.44245919585227966,0.27121588587760925,0.21303990483283997,0.4946078956127167,0.4933079481124878,0.29211118817329407,1.0000001192092896,0.3087472915649414,0.3015086054801941,0.23255878686904907,0.23971456289291382,0.31091248989105225
direct,0.3420579433441162,0.23462535440921783,0.3264763653278351,0.2533726394176483,0.3262479901313782,0.15107811987400055,0.20868940651416779,0.26271191239356995,0.25516921281814575,0.08945387601852417,0.17381498217582703,0.18476411700248718
language,0.2763397693634033,0.2665064036846161,0.2824282646179199,0.25272229313850403,0.30198320746421814,0.17499521374702454,0.2694627344608307,0.28220435976982117,0.1788339912891388,0.12746912240982056,0.1387387216091156,0.25349316000938416
to,1.0,0.3513890206813812,0.32150039076805115,0.41548454761505127,0.535392165184021,0.22564561665058136,0.44245919585227966,0.455847829580307,0.4452643394470215,0.18029534816741943,0.37910619378089905,0.29463258385658264
make,0.497876912355423,0.36372140049934387,0.2654511630535126,0.2912110388278961,0.3146495521068573,0.26551371812820435,0.324553906917572,0.3792211413383484,0.3602050840854645,0.19892162084579468,0.44416970014572144,0.28314751386642456
the,0.535392165184021,0.2408624291419983,0.24697569012641907,0.733189046382904,1.0,0.26337864995002747,0.4933079481124878,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.28754451870918274,0.22068053483963013
