,what,is,another,word,for,diatom,?
some,0.4491020441055298,0.3038453459739685,0.37478992342948914,0.2571132183074951,0.4257155656814575,0.3173525929450989,0.2562315762042999
dinophytes,0.24863049387931824,0.23188437521457672,0.23604360222816467,0.2138313353061676,0.17119231820106506,0.5488420724868774,0.23279373347759247
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.24605005979537964,0.4464869201183319,0.30460697412490845,0.31091248989105225
like,0.4320242702960968,0.29710376262664795,0.36351412534713745,0.2758937180042267,0.35140180587768555,0.3122001886367798,0.3268813192844391
kryptoperidinium,0.18208226561546326,0.3372892141342163,0.26905110478401184,0.22548818588256836,0.21019864082336426,0.5068730115890503,0.15589244663715363
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.20273149013519287,0.5064792633056641,0.27119940519332886,0.20544172823429108
durinskia,0.1777794063091278,0.1893153339624405,0.19122207164764404,0.08855533599853516,0.2484186589717865,0.24729953706264496,0.16007880866527557
have,0.39808809757232666,0.3613572418689728,0.3633967638015747,0.2115316241979599,0.41175219416618347,0.32897597551345825,0.32991164922714233
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3246598243713379,0.44038116931915283,0.28764188289642334,0.23916715383529663
diatom,0.2625027894973755,0.32826316356658936,0.3076317012310028,0.24795982241630554,0.24103686213493347,0.9999998807907104,0.1628018021583557
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.19737806916236877,0.3357032239437103,0.2501194179058075,0.40561532974243164
heterokontophyte,0.3120196759700775,0.28013721108436584,0.31415438652038574,0.26864802837371826,0.22416624426841736,0.5811813473701477,0.23591239750385284
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.18387003242969513,0.3639558255672455,0.24656634032726288,0.42300865054130554
derived,0.20143714547157288,0.2666328251361847,0.24872951209545135,0.4719426929950714,0.20121073722839355,0.35212090611457825,0.1241099163889885
chloroplast,0.23505516350269318,0.20798198878765106,0.29059329628944397,0.13460828363895416,0.20160506665706635,0.5989845395088196,0.12532055377960205
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.13155406713485718,0.4726039469242096,0.29909735918045044,0.4130953550338745
