,who,formulated,the,idea,of,clonal,selection,theory,of,immunity,?
in,0.2792111933231354,0.20555293560028076,0.6662389636039734,0.20288406312465668,0.5696388483047485,0.21945670247077942,0.20567981898784637,0.16955126821994781,0.5696388483047485,0.16387996077537537,0.20430970191955566
the,0.3733934462070465,0.2888638973236084,1.0,0.2839161455631256,0.733189046382904,0.24772831797599792,0.26173123717308044,0.2277156263589859,0.733189046382904,0.25992491841316223,0.22068053483963013
mid-1950s,0.1679733544588089,0.07144723832607269,0.3305474519729614,0.19664542376995087,0.28406795859336853,0.26154810190200806,0.1644984632730484,0.14345748722553253,0.28406795859336853,0.1851220577955246,0.09087309241294861
",",0.3365725874900818,0.2242109775543213,0.4933079481124878,0.22699743509292603,0.4946078956127167,0.19219815731048584,0.20986172556877136,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
frank,0.21223169565200806,0.1384347826242447,0.23372484743595123,0.1635371297597885,0.15825092792510986,0.08535027503967285,0.08441542088985443,0.1398588865995407,0.15825092792510986,0.14708426594734192,0.14052411913871765
burnet,0.21454975008964539,0.09783659875392914,0.22217674553394318,0.16191011667251587,0.15465624630451202,0.18555104732513428,0.14502261579036713,0.09967875480651855,0.15465624630451202,0.1206476017832756,0.20780394971370697
",",0.3365725874900818,0.2242109775543213,0.4933079481124878,0.22699743509292603,0.4946078956127167,0.19219815731048584,0.20986172556877136,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
inspired,0.2754021883010864,0.24100355803966522,0.271378755569458,0.3346044421195984,0.2985292971134186,0.20156671106815338,0.1825682669878006,0.21295073628425598,0.2985292971134186,0.1191060021519661,0.1529090851545334
by,0.39727845788002014,0.2914048731327057,0.4408751428127289,0.2571745216846466,0.3646814823150635,0.138968363404274,0.27323415875434875,0.17579947412014008,0.3646814823150635,0.20264138281345367,0.17966607213020325
a,0.36608949303627014,0.22158227860927582,0.5829201340675354,0.3483608067035675,0.5052502155303955,0.27810749411582947,0.2384534478187561,0.2233850657939911,0.5052502155303955,0.196896031498909,0.23916715383529663
suggestion,0.328023225069046,0.31689783930778503,0.2641429305076599,0.5601888298988342,0.2111477106809616,0.22976261377334595,0.33075177669525146,0.3182888925075531,0.2111477106809616,0.21557340025901794,0.4631749987602234
made,0.2576322853565216,0.3097982108592987,0.3885267674922943,0.23477980494499207,0.33167365193367004,0.18001501262187958,0.1506458818912506,0.18211349844932556,0.33167365193367004,0.16140031814575195,0.17218779027462006
by,0.39727845788002014,0.2914048731327057,0.4408751428127289,0.2571745216846466,0.3646814823150635,0.138968363404274,0.27323415875434875,0.17579947412014008,0.3646814823150635,0.20264138281345367,0.17966607213020325
niels,0.23567329347133636,0.2500142455101013,0.10122865438461304,0.22452481091022491,0.1515740007162094,0.167423278093338,0.10326972603797913,0.270622581243515,0.1515740007162094,0.24669328331947327,0.05515044927597046
jerne,0.22323304414749146,0.20804916322231293,0.20614714920520782,0.18762263655662537,0.18354912102222443,0.16985906660556793,0.14411571621894836,0.21356254816055298,0.18354912102222443,0.21034781634807587,0.09104099869728088
",",0.3365725874900818,0.2242109775543213,0.4933079481124878,0.22699743509292603,0.4946078956127167,0.19219815731048584,0.20986172556877136,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
formulated,0.17321036756038666,0.9999999403953552,0.2888638973236084,0.29711511731147766,0.29343387484550476,0.22365297377109528,0.2764779329299927,0.4175911843776703,0.29343387484550476,0.16058838367462158,0.17216148972511292
the,0.3733934462070465,0.2888638973236084,1.0,0.2839161455631256,0.733189046382904,0.24772831797599792,0.26173123717308044,0.2277156263589859,0.733189046382904,0.25992491841316223,0.22068053483963013
clonal,0.11157675087451935,0.22365297377109528,0.24772831797599792,0.22975610196590424,0.29034680128097534,0.9999999403953552,0.3088739812374115,0.25673121213912964,0.29034680128097534,0.2614257037639618,0.09652038663625717
selection,0.2101881206035614,0.2764779329299927,0.26173123717308044,0.4027714729309082,0.253727525472641,0.3088739812374115,1.0,0.38320761919021606,0.253727525472641,0.24757009744644165,0.24161170423030853
theory,0.19210977852344513,0.4175911843776703,0.2277156263589859,0.4957911968231201,0.23506702482700348,0.25673121213912964,0.38320761919021606,0.9999999403953552,0.23506702482700348,0.2129906266927719,0.1387292891740799
(,0.2443375140428543,0.16616138815879822,0.33289089798927307,0.16967512667179108,0.35032153129577637,0.14757290482521057,0.15168708562850952,0.15548324584960938,0.35032153129577637,0.14039519429206848,0.40561532974243164
cst,0.08753027021884918,0.18462535738945007,0.21629199385643005,0.19306033849716187,0.1910906881093979,0.22422564029693604,0.17210793495178223,0.21051014959812164,0.1910906881093979,0.055162664502859116,0.3168332576751709
),0.2457384318113327,0.15375962853431702,0.3456730246543884,0.19536583125591278,0.3680361211299896,0.1509682685136795,0.13387323915958405,0.1646711826324463,0.3680361211299896,0.11909116804599762,0.42300865054130554
of,0.2827862501144409,0.29343387484550476,0.733189046382904,0.2342950403690338,1.0,0.29034680128097534,0.253727525472641,0.23506702482700348,1.0,0.17778201401233673,0.1826142966747284
immunity,0.23388412594795227,0.16058838367462158,0.25992491841316223,0.24470748007297516,0.17778201401233673,0.2614257037639618,0.24757009744644165,0.2129906266927719,0.17778201401233673,1.0000001192092896,0.16423189640045166
.,0.3541337847709656,0.21821142733097076,0.5934505462646484,0.26084083318710327,0.5352458953857422,0.22800680994987488,0.24504819512367249,0.18047811090946198,0.5352458953857422,0.20537415146827698,0.4130953550338745
