,who,lead,the,halftime,show,of,super,bowl,50,?
on,0.2340552806854248,0.18420197069644928,0.5107308030128479,0.3158947825431824,0.3708709180355072,0.3966929316520691,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.2714994251728058
december,0.2259318083524704,0.1778244525194168,0.23266014456748962,0.2653212547302246,0.16255268454551697,0.1503814309835434,0.12969878315925598,0.1459324061870575,-0.12577803432941437,0.2480352818965912
3,0.06491345912218094,0.14605019986629486,0.06283142417669296,-0.006238441448658705,0.08022107928991318,0.046857766807079315,-0.006542515475302935,0.051626432687044144,-0.04346177354454994,0.005975271109491587
",",0.3365725874900818,0.2561914026737213,0.4933079481124878,0.3626100420951843,0.31928569078445435,0.4946078956127167,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
the,0.3733934462070465,0.21995973587036133,1.0,0.31780552864074707,0.319829523563385,0.733189046382904,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
league,0.2161521464586258,0.1371711641550064,0.2724147439002991,0.35396119952201843,0.14750854671001434,0.23588460683822632,0.37144264578819275,0.3365440368652344,0.07430867850780487,0.15941482782363892
confirmed,0.22889703512191772,0.15410184860229492,0.2951974868774414,0.1671355962753296,0.24821922183036804,0.24135258793830872,0.12631838023662567,0.09218712896108627,0.07846257090568542,0.20580808818340302
that,0.45444270968437195,0.21979129314422607,0.5473989248275757,0.255509614944458,0.3486354649066925,0.41498205065727234,0.18258553743362427,0.10987387597560883,-0.014119508676230907,0.32716336846351624
the,0.3733934462070465,0.21995973587036133,1.0,0.31780552864074707,0.319829523563385,0.733189046382904,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
show,0.2095358669757843,0.22444236278533936,0.319829523563385,0.3664279878139496,0.9999999403953552,0.21383242309093475,0.16737808287143707,0.19135026633739471,0.13040520250797272,0.2520138621330261
would,0.3632977604866028,0.24875478446483612,0.4133751392364502,0.2520970106124878,0.23511441051959991,0.3353942930698395,0.16404198110103607,0.17156143486499786,0.05957036092877388,0.37178951501846313
be,0.3371641933917999,0.2750575840473175,0.4248143136501312,0.23832185566425323,0.29246196150779724,0.33904364705085754,0.1880253106355667,0.18567830324172974,0.015184788033366203,0.3324260413646698
headlined,0.15209026634693146,0.25775495171546936,0.2894550859928131,0.4387337267398834,0.2542087435722351,0.17921726405620575,0.18724042177200317,0.1954048126935959,0.07918412983417511,0.26601076126098633
by,0.39727845788002014,0.23356960713863373,0.4408751428127289,0.3021155297756195,0.2779667377471924,0.3646814823150635,0.15233319997787476,0.12992306053638458,0.03871260583400726,0.17966607213020325
the,0.3733934462070465,0.21995973587036133,1.0,0.31780552864074707,0.319829523563385,0.733189046382904,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
british,0.2666113078594208,0.16205406188964844,0.28973397612571716,0.15968884527683258,0.23710712790489197,0.23701532185077667,0.09609456360340118,0.07435981184244156,-0.0867072194814682,0.09711728990077972
rock,0.1515379399061203,0.25194308161735535,0.23786304891109467,0.4056971073150635,0.2837616503238678,0.2653365731239319,0.1722574681043625,0.18685930967330933,0.09487134218215942,0.13172835111618042
group,0.33690139651298523,0.1742405891418457,0.30795547366142273,0.1973573863506317,0.24681155383586884,0.25542253255844116,0.19919921457767487,0.07137768715620041,0.030915753915905952,0.13827809691429138
coldplay,0.21639695763587952,0.24992360174655914,0.2809646725654602,0.5025559067726135,0.28030601143836975,0.163177028298378,0.1792786419391632,0.2318706214427948,0.061377592384815216,0.2499987930059433
.,0.3541337847709656,0.2305188626050949,0.5934505462646484,0.33941835165023804,0.3016606271266937,0.5352458953857422,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
