,which,article,of,the,treaty,on,european,union,states,that,commissioners,should,be,completely,independent,and,not,take,instructions,from,any,government,?
article,0.3171063959598541,0.9999999403953552,0.25720444321632385,0.3329811692237854,0.2396368831396103,0.2953488528728485,0.18199297785758972,0.21076427400112152,0.244107186794281,0.41666144132614136,0.18084225058555603,0.5273026823997498,0.4253923296928406,0.29325345158576965,0.2518501579761505,0.23647621273994446,0.427753210067749,0.22082030773162842,0.3429671823978424,0.21608585119247437,0.39151474833488464,0.21801061928272247,0.4948462247848511
17,0.045343175530433655,0.19899843633174896,0.12138522416353226,0.10537172853946686,0.2070910483598709,0.06816379725933075,0.1290023922920227,0.08926542103290558,0.10080300271511078,0.06265442073345184,0.21804802119731903,0.14751172065734863,0.0789082944393158,0.07062052190303802,0.09949999302625656,0.11462654173374176,0.10870631784200668,0.026655523106455803,0.1510608047246933,0.05440361425280571,0.12406223267316818,0.1773582547903061,0.17603135108947754
(,0.2589828372001648,0.25957366824150085,0.35032153129577637,0.33289089798927307,0.14117708802223206,0.28656116127967834,0.17014704644680023,0.13465912640094757,0.21393048763275146,0.2264307141304016,0.166950061917305,0.2287386804819107,0.2349044382572174,0.14057716727256775,0.17961587011814117,0.4862271547317505,0.2710699737071991,0.21149633824825287,0.1798296719789505,0.25806233286857605,0.2452365607023239,0.14655277132987976,0.40561532974243164
1,-0.1852463036775589,-0.28928327560424805,-0.09473495930433273,-0.1554475575685501,-0.15018784999847412,-0.09574633836746216,-0.1371123194694519,-0.07895509153604507,-0.1434773951768875,-0.3131840229034424,-0.148255854845047,-0.31644901633262634,-0.2923636734485626,-0.14161597192287445,-0.16846491396427155,-0.20516018569469452,-0.31168678402900696,-0.22146935760974884,-0.2831386923789978,-0.06897146999835968,-0.3230189085006714,-0.12082700431346893,-0.249979168176651
),0.2758678197860718,0.26026514172554016,0.3680361211299896,0.3456730246543884,0.15254124999046326,0.29937487840652466,0.17755553126335144,0.15587253868579865,0.2059156745672226,0.23478686809539795,0.15784882009029388,0.21351240575313568,0.24578070640563965,0.15661972761154175,0.20572862029075623,0.4961937665939331,0.2718011736869812,0.198357492685318,0.18878449499607086,0.2672361731529236,0.26768192648887634,0.15263929963111877,0.42300865054130554
of,0.5011631846427917,0.25720444321632385,1.0,0.733189046382904,0.2602092921733856,0.3966929316520691,0.2507138252258301,0.2642118036746979,0.30884552001953125,0.41498205065727234,0.3201529085636139,0.23792634904384613,0.33904364705085754,0.25305259227752686,0.30508819222450256,0.5116966962814331,0.3307090103626251,0.29282352328300476,0.24886934459209442,0.4249346852302551,0.3769088089466095,0.3475167155265808,0.1826142966747284
the,0.6521818041801453,0.3329811692237854,0.733189046382904,1.0,0.2690109610557556,0.5107308030128479,0.3423081040382385,0.24421639740467072,0.3463578522205353,0.5473989248275757,0.30569928884506226,0.32399165630340576,0.4248143136501312,0.342624306678772,0.2927691638469696,0.5171257257461548,0.4310511648654938,0.31620436906814575,0.2672581672668457,0.40150508284568787,0.4525727927684784,0.31798112392425537,0.22068053483963013
treaty,0.19969318807125092,0.2396368831396103,0.2602092921733856,0.2690109610557556,1.0,0.19638824462890625,0.25059598684310913,0.3147597312927246,0.25450411438941956,0.19276702404022217,0.2944478392601013,0.20134873688220978,0.17763298749923706,0.17843450605869293,0.19478170573711395,0.1592116355895996,0.24425633251667023,0.18740344047546387,0.09854260087013245,0.17410588264465332,0.1550198793411255,0.34094879031181335,0.1174844279885292
on,0.4245251417160034,0.2953488528728485,0.3966929316520691,0.5107308030128479,0.19638824462890625,0.9999999403953552,0.19710737466812134,0.15769828855991364,0.2692825198173523,0.42569106817245483,0.22237859666347504,0.35256603360176086,0.37900757789611816,0.27791324257850647,0.2345636934041977,0.4077630043029785,0.3516409695148468,0.27423644065856934,0.28173625469207764,0.36926645040512085,0.2894362509250641,0.19216017425060272,0.2714994251728058
european,0.2234036773443222,0.18199297785758972,0.2507138252258301,0.3423081040382385,0.25059598684310913,0.19710737466812134,0.9999998807907104,0.3571677803993225,0.25554242730140686,0.2049320936203003,0.29161643981933594,0.16059307754039764,0.13481922447681427,0.09997967630624771,0.18798813223838806,0.24143946170806885,0.20631356537342072,0.14595600962638855,0.0937161073088646,0.2091801017522812,0.2373010665178299,0.19634035229682922,0.14560863375663757
