,what,part,of,cryptophyte,chloroplasts,is,similar,to,chlorarachniophytes,?
cryptophyte,0.23500515520572662,0.1793423295021057,0.2433902770280838,1.0,0.5807510614395142,0.28574585914611816,0.30120202898979187,0.20937129855155945,0.6830669641494751,0.18001990020275116
chloroplasts,0.2524593770503998,0.22197526693344116,0.23179760575294495,0.5807510614395142,0.9999999403953552,0.22550933063030243,0.2460697889328003,0.23370109498500824,0.7986854910850525,0.13049766421318054
contain,0.1832355558872223,0.21522371470928192,0.30574339628219604,0.31736817955970764,0.3972540497779846,0.31030410528182983,0.3289177417755127,0.28093209862709045,0.4286927282810211,0.18853069841861725
a,0.3320399522781372,0.3994528353214264,0.5052502155303955,0.2429226040840149,0.24622295796871185,0.658733606338501,0.34790337085723877,0.45503583550453186,0.3062976002693176,0.23916715383529663
nucleomorph,0.24200671911239624,0.210020050406456,0.24189028143882751,0.5494555830955505,0.6451056599617004,0.26545408368110657,0.3129764497280121,0.22216679155826569,0.620411217212677,0.17996221780776978
that,0.6297725439071655,0.37747326493263245,0.41498205065727234,0.2765265107154846,0.3177454173564911,0.3995479643344879,0.4232555329799652,0.5436353087425232,0.3645137548446655,0.32716336846351624
superficially,0.2428126484155655,0.20696929097175598,0.20691141486167908,0.43522921204566956,0.4850202202796936,0.2732582092285156,0.3700142800807953,0.25471600890159607,0.5470293164253235,0.16927003860473633
resembles,0.22437705099582672,0.14665648341178894,0.252265065908432,0.3168002665042877,0.26207584142684937,0.3006662428379059,0.45396602153778076,0.22799625992774963,0.3281940519809723,0.10028818249702454
that,0.6297725439071655,0.37747326493263245,0.41498205065727234,0.2765265107154846,0.3177454173564911,0.3995479643344879,0.4232555329799652,0.5436353087425232,0.3645137548446655,0.32716336846351624
of,0.33290785551071167,0.452393114566803,1.0,0.2433902770280838,0.23179760575294495,0.4854315221309662,0.2911645472049713,0.41548454761505127,0.3172452747821808,0.1826142966747284
the,0.42745697498321533,0.527681291103363,0.733189046382904,0.215342178940773,0.23062430322170258,0.5823672413825989,0.2963123023509979,0.535392165184021,0.2957535982131958,0.22068053483963013
chlorarachniophytes,0.2705704867839813,0.2510756552219391,0.3172452747821808,0.6830669641494751,0.7986854910850525,0.31071650981903076,0.3248499631881714,0.28126785159111023,1.0,0.21795600652694702
.,0.3567904531955719,0.32817673683166504,0.5352458953857422,0.24506814777851105,0.23868323862552643,0.4569662809371948,0.306670606136322,0.4645031690597534,0.3405395448207855,0.4130953550338745
