,what,trend,increases,the,organic,composition,of,capital,over,the,long,term,?
in,0.30808621644973755,0.19545964896678925,0.2302049696445465,0.6662389636039734,0.23921318352222443,0.22499391436576843,0.5696388483047485,0.3233928978443146,0.3605569899082184,0.6662389636039734,0.2759332060813904,0.27866655588150024,0.20430970191955566
marxian,0.22060702741146088,0.23381692171096802,0.20816117525100708,0.22427509725093842,0.28662875294685364,0.20379284024238586,0.2498525232076645,0.27153053879737854,0.17848610877990723,0.22427509725093842,0.13607653975486755,0.2725970149040222,0.19521409273147583
analysis,0.2842639982700348,0.2582102417945862,0.26348352432250977,0.24241644144058228,0.3535275459289551,0.3658924996852875,0.24679350852966309,0.03994932398200035,0.18328291177749634,0.24241644144058228,0.15699578821659088,0.2201431393623352,0.15352053940296173
",",0.3087472915649414,0.2384498566389084,0.17835964262485504,0.4933079481124878,0.18750765919685364,0.2178909033536911,0.4946078956127167,0.28033894300460815,0.3301127254962921,0.4933079481124878,0.3431144952774048,0.21599270403385162,0.31091248989105225
capitalist,0.21623632311820984,0.15258964896202087,0.11254294961690903,0.19365057349205017,0.1628396064043045,0.07867108285427094,0.1508098989725113,0.5158289670944214,0.1390049159526825,0.19365057349205017,0.13405393064022064,0.20829829573631287,0.13302330672740936
firms,0.19687598943710327,0.24399115145206451,0.3152589201927185,0.2687743306159973,0.2620184123516083,0.21448862552642822,0.23259897530078888,0.2530103027820587,0.2272977977991104,0.2687743306159973,0.1364312767982483,0.2520643174648285,0.1337330937385559
increasingly,0.19974569976329803,0.4410187005996704,0.5689659714698792,0.3152945339679718,0.21386604011058807,0.1955534815788269,0.2953035831451416,0.09361536055803299,0.3961617946624756,0.3152945339679718,0.21174858510494232,0.30805814266204834,0.059327382594347
substitute,0.18854834139347076,0.13970059156417847,0.2254180908203125,0.1829191893339157,0.3036523163318634,0.22213014960289001,0.10089483857154846,0.07727224379777908,0.11695549637079239,0.1829191893339157,0.13340982794761658,0.24329140782356262,0.21712473034858704
capital,0.17967931926250458,0.07507040351629257,0.11046022176742554,0.3049491047859192,0.04414614662528038,0.06285130232572556,0.30823585391044617,0.9999999403953552,0.1535618156194687,0.3049491047859192,0.09177053719758987,0.07039384543895721,0.0907452180981636
equipment,0.21531300246715546,0.15820692479610443,0.239002525806427,0.22635069489479065,0.22224067151546478,0.18519505858421326,0.18924570083618164,0.0980859100818634,0.18945087492465973,0.22635069489479065,0.18329204618930817,0.12945985794067383,0.0920877456665039
