,what,does,political,pressure,push,to,extend,to,compensate,for,stagnating,purchasing,power,?
to,0.455847829580307,0.4391997456550598,0.2065112292766571,0.30812981724739075,0.3226611018180847,1.0,0.3343263864517212,1.0,0.3709917664527893,0.4451248347759247,0.3086450695991516,0.2600758969783783,0.27001675963401794,0.29463258385658264
compensate,0.3213008940219879,0.2988071143627167,0.1863059252500534,0.2785705626010895,0.2925814986228943,0.3709917664527893,0.28736066818237305,0.3709917664527893,1.0,0.28790560364723206,0.25078827142715454,0.36933836340904236,0.29574137926101685,0.20590907335281372
for,0.3017193675041199,0.35159170627593994,0.24620850384235382,0.16119280457496643,0.19414381682872772,0.4451248347759247,0.24524512887001038,0.4451248347759247,0.28790560364723206,0.9999999403953552,0.36268678307533264,0.2341153919696808,0.15072456002235413,0.264628142118454
stagnating,0.26749905943870544,0.2749883532524109,0.23977535963058472,0.27028578519821167,0.2682095766067505,0.3086450695991516,0.3417183756828308,0.3086450695991516,0.25078827142715454,0.36268678307533264,0.9999998807907104,0.24937254190444946,0.21045470237731934,0.23587624728679657
and,0.31309178471565247,0.3461615741252899,0.33013346791267395,0.2595808804035187,0.24296659231185913,0.48971283435821533,0.23680256307125092,0.48971283435821533,0.2643875181674957,0.5064792633056641,0.317791610956192,0.24285264313220978,0.27496716380119324,0.20544172823429108
declining,0.2580306828022003,0.20686405897140503,0.24584555625915527,0.25479423999786377,0.21834591031074524,0.30182603001594543,0.33137476444244385,0.30182603001594543,0.19580517709255219,0.34133070707321167,0.37271034717559814,0.28470736742019653,0.19620360434055328,0.1608004868030548
purchasing,0.23366789519786835,0.22853851318359375,0.2156345546245575,0.18751545250415802,0.24998699128627777,0.2600758969783783,0.25297972559928894,0.2600758969783783,0.36933836340904236,0.2341153919696808,0.24937254190444946,0.9999999403953552,0.3369329571723938,0.13069698214530945
power,0.22216427326202393,0.18690091371536255,0.28386759757995605,0.24071016907691956,0.2387174516916275,0.27001675963401794,0.13993802666664124,0.27001675963401794,0.29574137926101685,0.15072456002235413,0.21045470237731934,0.3369329571723938,1.0000001192092896,0.15304024517536163
",",0.3087472915649414,0.28617382049560547,0.27072274684906006,0.21867604553699493,0.20323559641838074,0.44245919585227966,0.24409228563308716,0.44245919585227966,0.26494190096855164,0.4464869201183319,0.3537869155406952,0.20392155647277832,0.2231994867324829,0.31091248989105225
political,0.21846716105937958,0.16916483640670776,1.0000001192092896,0.1691044121980667,0.1347864270210266,0.2065112292766571,0.13825839757919312,0.2065112292766571,0.1863059252500534,0.24620850384235382,0.23977535963058472,0.2156345546245575,0.28386759757995605,0.17130474746227264
