,how,would,the,operator,of,observe,the,reflected,signal,?
in,0.2601168751716614,0.30461156368255615,0.6662389636039734,0.25355902314186096,0.5696388483047485,0.23549264669418335,0.6662389636039734,0.24084343016147614,0.1609458029270172,0.20430970191955566
the,0.33890387415885925,0.4133751392364502,1.0,0.22986549139022827,0.733189046382904,0.26882031559944153,1.0,0.3111802637577057,0.25718533992767334,0.22068053483963013
august,0.13369344174861908,0.24219940602779388,0.22689028084278107,0.16434472799301147,0.1712995171546936,0.12122519314289093,0.22689028084278107,0.05929575487971306,0.12923304736614227,0.3006744682788849
1917,-0.013053431175649166,7.609185558976606e-05,0.0785154402256012,0.17854322493076324,0.15032872557640076,0.06111736223101616,0.0785154402256012,0.04133625701069832,0.1044754683971405,0.11480528861284256
edition,0.13050124049186707,0.12267753481864929,0.24227465689182281,0.1418626457452774,0.20911648869514465,0.046636030077934265,0.24227465689182281,0.18138518929481506,0.08242133259773254,0.20261122286319733
of,0.2480744868516922,0.3353942930698395,0.733189046382904,0.178121879696846,1.0,0.23419547080993652,0.733189046382904,0.2816413640975952,0.19249287247657776,0.1826142966747284
the,0.33890387415885925,0.4133751392364502,1.0,0.22986549139022827,0.733189046382904,0.26882031559944153,1.0,0.3111802637577057,0.25718533992767334,0.22068053483963013
magazine,0.1492704153060913,0.18122714757919312,0.19931171834468842,0.09744559228420258,0.16736742854118347,0.12798760831356049,0.19931171834468842,0.14433063566684723,0.10772538185119629,0.15570664405822754
electrical,0.2529982626438141,0.15290141105651855,0.2523402273654938,0.3116629123687744,0.23057208955287933,0.1828000545501709,0.2523402273654938,0.2786248028278351,0.4633268713951111,0.10923371464014053
experimenter,0.2867133319377899,0.2004113495349884,0.18919293582439423,0.2917754054069519,0.1491243988275528,0.3451984226703644,0.18919293582439423,0.24333354830741882,0.2460276335477829,0.14729253947734833
tesla,0.19128404557704926,0.14290116727352142,0.1324402391910553,0.267259806394577,0.18837453424930573,0.12348442524671555,0.1324402391910553,0.11737718433141708,0.2717656195163727,0.10250775516033173
