,when,was,the,european,communities,act,created,?
more,0.359977662563324,0.21525104343891144,0.39758381247520447,0.1796877533197403,0.26556241512298584,0.14653106033802032,0.23486116528511047,0.27894994616508484
recently,0.397892028093338,0.4035745859146118,0.2774651348590851,0.14734689891338348,0.2474486231803894,0.09601882845163345,0.24525763094425201,0.18352322280406952
the,0.5091903209686279,0.48711544275283813,1.0,0.3423081040382385,0.24729211628437042,0.28682878613471985,0.3539263904094696,0.22068053483963013
uk,0.13155107200145721,0.206756129860878,0.2143084555864334,0.2919877767562866,0.09265904873609543,0.21449202299118042,0.0844799131155014,0.20222434401512146
supreme,0.17675462365150452,0.26731494069099426,0.2583438754081726,0.12712261080741882,0.1432085782289505,0.22570839524269104,0.17459332942962646,0.20777292549610138
court,0.23927445709705353,0.2737988233566284,0.2812081575393677,0.18487446010112762,0.12872999906539917,0.226189523935318,0.1136278510093689,0.17100423574447632
noted,0.17266274988651276,0.3068269193172455,0.248806893825531,0.1546279788017273,0.16611020267009735,0.13329613208770752,0.2798910140991211,0.13014346361160278
that,0.5860282182693481,0.33670201897621155,0.5473989248275757,0.2049320936203003,0.25110986828804016,0.2679075598716736,0.3583657741546631,0.32716336846351624
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.23319172859191895,0.2479604333639145,0.22050046920776367,0.2843434810638428,0.20430970191955566
r,0.12013772130012512,0.16323253512382507,0.1519533395767212,0.11208892613649368,0.05357218161225319,0.11108217388391495,0.1609686315059662,0.16570481657981873
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.17014704644680023,0.15338566899299622,0.1613895297050476,0.2334475964307785,0.40561532974243164
hs2,0.13872191309928894,0.19159351289272308,0.1844572126865387,0.1100541427731514,0.04613007232546806,0.0657070055603981,0.11963646113872528,0.21116989850997925
action,0.1897939294576645,0.17610664665699005,0.28415048122406006,0.1562477946281433,0.09840802103281021,0.26935461163520813,0.18751303851604462,0.250188946723938
alliance,0.18282157182693481,0.22298447787761688,0.24372223019599915,0.23501257598400116,0.21596603095531464,0.18803413212299347,0.1554836928844452,0.09356802701950073
ltd,0.11280075460672379,0.14135466516017914,0.14438891410827637,0.19553115963935852,0.11790911108255386,0.1283980906009674,0.1520446389913559,0.13418078422546387
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.17755553126335144,0.1555551439523697,0.15869061648845673,0.2251489907503128,0.42300865054130554
v,0.20079591870307922,0.16128918528556824,0.18580520153045654,0.16175833344459534,0.0850680023431778,0.052595339715480804,0.1267542988061905,0.28677162528038025
secretary,0.21021723747253418,0.2750075161457062,0.23160062730312347,0.22590331733226776,0.16972360014915466,0.18874166905879974,0.17544741928577423,0.10113837569952011
