,what,later,invention,was,tesla,'s,idea,similar,to,?
tesla,0.23221199214458466,0.1893843412399292,0.31912633776664734,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.2329312264919281,0.14830854535102844,0.17548894882202148,0.10250775516033173
was,0.22111038863658905,0.5684447288513184,0.248048335313797,1.0000001192092896,0.16455206274986267,0.008974763564765453,0.2835119664669037,0.20839861035346985,0.3636345863342285,0.18412111699581146
incorrect,0.3266083896160126,0.18083377182483673,0.20156021416187286,0.20237639546394348,0.15432661771774292,-0.03610333800315857,0.2335585355758667,0.28175896406173706,0.2656406760215759,0.2735669016838074
in,0.30808621644973755,0.40857815742492676,0.21856682002544403,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.20288406312465668,0.28091391921043396,0.45010748505592346,0.20430970191955566
his,0.26976513862609863,0.4538118839263916,0.2445983588695526,0.4405253231525421,0.1580733060836792,0.047556519508361816,0.23131534457206726,0.15594914555549622,0.3715193271636963,0.18075084686279297
assumption,0.4053521156311035,0.16477954387664795,0.17588801681995392,0.24384567141532898,0.2612748146057129,0.017019789665937424,0.4307027757167816,0.24697260558605194,0.30439603328704834,0.28394895792007446
that,0.6297725439071655,0.42443475127220154,0.3328019678592682,0.33670201897621155,0.22102725505828857,0.04397977516055107,0.49277663230895996,0.4232555329799652,0.5436353087425232,0.32716336846351624
high,0.20466077327728271,0.11952091008424759,0.08694396167993546,0.19978567957878113,0.2007197141647339,-0.04658069461584091,0.11803228408098221,0.1647811233997345,0.28947713971138,0.11137914657592773
frequency,0.2807137370109558,0.08663763850927353,0.2365846335887909,0.1326495260000229,0.2809634506702423,-0.013367456384003162,0.2278350591659546,0.2122006118297577,0.2516654431819916,0.17067383229732513
radio,0.16863368451595306,0.21683309972286224,0.16676227748394012,0.20381812751293182,0.2212681919336319,0.13450658321380615,0.11785528063774109,0.10564711689949036,0.16918617486953735,0.08763375133275986
waves,0.2342342883348465,0.1830776482820511,0.2311072051525116,0.12913775444030762,0.17720945179462433,0.05059007927775383,0.197593092918396,0.14808106422424316,0.2522522211074829,0.1603909134864807
would,0.45766422152519226,0.3580727279186249,0.18261918425559998,0.41663143038749695,0.14290116727352142,0.036968596279621124,0.46124717593193054,0.23512229323387146,0.5965728163719177,0.37178951501846313
penetrate,0.259380042552948,0.15398411452770233,0.20784084498882294,0.12261296063661575,0.17318272590637207,0.009212394244968891,0.14755095541477203,0.20293235778808594,0.3684353828430176,0.13993747532367706
water,0.17456887662410736,0.18235470354557037,0.23658452928066254,0.18750394880771637,0.10014832764863968,0.06513497978448868,0.20253820717334747,0.2533283829689026,0.27858173847198486,0.14731885492801666
