,which,actor,was,a,replacement,for,doctor,who,due,to,the,illness,of,the,main,actor,?
for,0.44095608592033386,0.2464170902967453,0.3863949179649353,0.44038116931915283,0.3152933418750763,0.9999999403953552,0.1556548923254013,0.37110671401023865,0.2363993525505066,0.4451248347759247,0.4739971458911896,0.18845072388648987,0.4185989499092102,0.4739971458911896,0.27491986751556396,0.2464170902967453,0.264628142118454
two,0.4674137234687805,0.16751427948474884,0.27166637778282166,0.3289857804775238,0.21964041888713837,0.34734001755714417,0.12698069214820862,0.2791741192340851,0.12693347036838531,0.3343428373336792,0.43858039379119873,0.12359544634819031,0.37726253271102905,0.43858039379119873,0.3178617060184479,0.16751427948474884,0.19645625352859497
performances,0.2884925305843353,0.2685101628303528,0.27663108706474304,0.23379983007907867,0.20065514743328094,0.35712283849716187,0.1441822648048401,0.25252360105514526,0.18760374188423157,0.23757512867450714,0.28274261951446533,0.25763851404190063,0.21684497594833374,0.28274261951446533,0.11451183259487152,0.2685101628303528,0.15137696266174316
",",0.3658004403114319,0.29684963822364807,0.45456063747406006,0.427140474319458,0.20311833918094635,0.4464869201183319,0.20407600700855255,0.3365725874900818,0.3106630742549896,0.44245919585227966,0.4933079481124878,0.3034086525440216,0.4946078956127167,0.4933079481124878,0.2989408075809479,0.29684963822364807,0.31091248989105225
while,0.38669952750205994,0.15435130894184113,0.3253832161426544,0.3733035624027252,0.2883312404155731,0.4232339859008789,0.15308386087417603,0.4068111777305603,0.28285807371139526,0.43899232149124146,0.39804592728614807,0.15968932211399078,0.3366928696632385,0.39804592728614807,0.22474996745586395,0.15435130894184113,0.21076419949531555
pertwee,0.18792670965194702,0.5106046199798584,0.32652029395103455,0.2699649930000305,0.26459819078445435,0.23386716842651367,0.425896018743515,0.3819985091686249,0.20650961995124817,0.2384297251701355,0.27593860030174255,0.2933601438999176,0.2473498284816742,0.27593860030174255,0.20958641171455383,0.5106046199798584,0.21838203072547913
was,0.2830964922904968,0.24370993673801422,1.0000001192092896,0.4508470594882965,0.24185067415237427,0.3863949179649353,0.19672659039497375,0.3318818509578705,0.29011407494544983,0.3636345863342285,0.48711544275283813,0.24997641146183014,0.4069072902202606,0.48711544275283813,0.21035033464431763,0.24370993673801422,0.18412111699581146
ill,0.17793528735637665,0.22877627611160278,0.20280921459197998,0.198128342628479,0.1852041482925415,0.2303452491760254,0.26592329144477844,0.31160563230514526,0.23084838688373566,0.32220587134361267,0.17770197987556458,0.48825401067733765,0.16415730118751526,0.17770197987556458,0.051749374717473984,0.22877627611160278,0.15247376263141632
",",0.3658004403114319,0.29684963822364807,0.45456063747406006,0.427140474319458,0.20311833918094635,0.4464869201183319,0.20407600700855255,0.3365725874900818,0.3106630742549896,0.44245919585227966,0.4933079481124878,0.3034086525440216,0.4946078956127167,0.4933079481124878,0.2989408075809479,0.29684963822364807,0.31091248989105225
david,0.16383904218673706,0.3003629446029663,0.2655363976955414,0.19156141579151154,0.11211125552654266,0.20388762652873993,0.2051917463541031,0.26544609665870667,0.10437443107366562,0.10776355117559433,0.2237231284379959,0.1174212098121643,0.191870778799057,0.2237231284379959,0.1445133537054062,0.3003629446029663,0.04158485680818558
