,which,mongol,leader,was,most,opposed,to,jochi,as,genghis,khan,'s,successor,?
in,0.4840516746044159,0.16958336532115936,0.22669851779937744,0.45514053106307983,0.41416558623313904,0.21999825537204742,0.45010748505592346,0.20567668974399567,0.3887844979763031,0.224680557847023,0.1527150720357895,-0.037580832839012146,0.15141087770462036,0.20430970191955566
the,0.6521818041801453,0.2924198508262634,0.27799519896507263,0.48711544275283813,0.47635307908058167,0.24302934110164642,0.535392165184021,0.19898229837417603,0.48381632566452026,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.14193344116210938,0.22068053483963013
secret,0.22167983651161194,0.15103766322135925,0.2424597591161728,0.1647149920463562,0.16473595798015594,0.19171495735645294,0.20223848521709442,0.11408139765262604,0.21219967305660248,0.1892356425523758,0.1689760982990265,0.07042068988084793,0.1932022124528885,0.16440534591674805
history,0.2426081746816635,0.18796558678150177,0.17650294303894043,0.25589004158973694,0.3151164948940277,0.19828148186206818,0.24226762354373932,0.056196946650743484,0.2152104675769806,0.20941247045993805,0.11929302662611008,-0.0466335192322731,0.10772372782230377,0.2501974403858185
of,0.5011631846427917,0.22712039947509766,0.24122127890586853,0.4069072902202606,0.4178851246833801,0.25387564301490784,0.41548454761505127,0.15254677832126617,0.3886612355709076,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.10859241336584091,0.1826142966747284
the,0.6521818041801453,0.2924198508262634,0.27799519896507263,0.48711544275283813,0.47635307908058167,0.24302934110164642,0.535392165184021,0.19898229837417603,0.48381632566452026,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.14193344116210938,0.22068053483963013
mongols,0.23739531636238098,0.905461847782135,0.274659126996994,0.19519121944904327,0.1731107532978058,0.18739475309848785,0.230276957154274,0.24881470203399658,0.19857051968574524,0.6018205285072327,0.5210641026496887,-0.027451662346720695,0.14672847092151642,0.11517509818077087
",",0.3658004403114319,0.2229510098695755,0.23893310129642487,0.45456063747406006,0.3636029064655304,0.2660662829875946,0.44245919585227966,0.2696787714958191,0.48816442489624023,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.1759623885154724,0.31091248989105225
just,0.46308982372283936,0.13315147161483765,0.11325404793024063,0.29934245347976685,0.28134429454803467,0.3462458550930023,0.5153104066848755,0.16954858601093292,0.45285287499427795,0.14253221452236176,0.13336226344108582,0.1000472754240036,0.030599215999245644,0.4144178032875061
before,0.3430410623550415,0.21440400183200836,0.18348005414009094,0.38607707619667053,0.22408251464366913,0.2907004952430725,0.4190867841243744,0.2364732176065445,0.3552539646625519,0.21553796529769897,0.13899727165699005,-0.01158253662288189,0.16925738751888275,0.2507109045982361
the,0.6521818041801453,0.2924198508262634,0.27799519896507263,0.48711544275283813,0.47635307908058167,0.24302934110164642,0.535392165184021,0.19898229837417603,0.48381632566452026,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.14193344116210938,0.22068053483963013
invasion,0.25346121191978455,0.41895729303359985,0.2702086865901947,0.27169278264045715,0.15783065557479858,0.3026338517665863,0.2535645365715027,0.16212977468967438,0.16633999347686768,0.35532259941101074,0.21716536581516266,-0.029328476637601852,0.13314175605773926,0.18923960626125336
of,0.5011631846427917,0.22712039947509766,0.24122127890586853,0.4069072902202606,0.4178851246833801,0.25387564301490784,0.41548454761505127,0.15254677832126617,0.3886612355709076,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.10859241336584091,0.1826142966747284
