,what,did,davies,call,his,system
he,0.3114890456199646,0.3292143940925598,0.32812073826789856,0.15517276525497437,0.7171558737754822,0.1499340832233429
called,0.3235960602760315,0.277748167514801,0.16979800164699554,0.4729457497596741,0.17527347803115845,0.23914183676242828
it,0.45803478360176086,0.2993364930152893,0.17556782066822052,0.21226534247398376,0.2876833975315094,0.30691424012184143
packet,0.2392171323299408,0.12016243487596512,0.13900773227214813,0.17606860399246216,0.14258232712745667,0.22216185927391052
switching,0.24737738072872162,0.17849217355251312,0.17643891274929047,0.20143437385559082,0.1638612002134323,0.2895001173019409
",",0.3087472915649414,0.3015086054801941,0.3083436191082001,0.2670435905456543,0.3378419280052185,0.18439900875091553
a,0.3320399522781372,0.2552328109741211,0.21516187489032745,0.2774817645549774,0.3497250974178314,0.2589043080806732
more,0.3484537899494171,0.2803135812282562,0.2044863998889923,0.18086224794387817,0.23633438348770142,0.24080024659633636
accessible,0.23191256821155548,0.10482631623744965,0.09776312112808228,0.10487324744462967,0.09270217269659042,0.2416926771402359
name,0.18623162806034088,0.17557460069656372,0.09154926240444183,0.2337495982646942,0.1914493292570114,0.13043081760406494
than,0.29388150572776794,0.24820660054683685,0.20645159482955933,0.1858922690153122,0.18405678868293762,0.19727610051631927
baran,0.11883194744586945,0.048253823071718216,0.20312805473804474,0.07813069969415665,0.13499024510383606,0.16771969199180603
's,0.02692362666130066,0.05069678649306297,0.025226842612028122,-0.021786727011203766,0.047556519508361816,0.04329425096511841
",",0.3087472915649414,0.3015086054801941,0.3083436191082001,0.2670435905456543,0.3378419280052185,0.18439900875091553
and,0.31309178471565247,0.34479495882987976,0.29916054010391235,0.237839937210083,0.4234102666378021,0.231138214468956
proposed,0.22754324972629547,0.30101871490478516,0.11247947067022324,0.19262836873531342,0.13881047070026398,0.22698014974594116
to,0.455847829580307,0.4452643394470215,0.18868300318717957,0.27641981840133667,0.3715193271636963,0.26662686467170715
build,0.27055490016937256,0.23755796253681183,0.19109632074832916,0.28111469745635986,0.1726263165473938,0.25008147954940796
a,0.3320399522781372,0.2552328109741211,0.21516187489032745,0.2774817645549774,0.3497250974178314,0.2589043080806732
nationwide,0.1329829841852188,0.1807222068309784,0.1213599145412445,0.150579571723938,0.19364960491657257,0.1278989315032959
network,0.16917307674884796,0.08572790026664734,0.17522501945495605,0.1197689026594162,0.13198250532150269,0.3214803636074066
in,0.30808621644973755,0.2593238651752472,0.1982824057340622,0.2520289719104767,0.3598145842552185,0.21978288888931274
the,0.42745697498321533,0.34736719727516174,0.22865624725818634,0.26640447974205017,0.4394008219242096,0.3233085572719574
uk,0.17163191735744476,0.128135547041893,0.2830332815647125,0.14359349012374878,0.11848680675029755,0.1322868913412094
.,0.3567904531955719,0.35288307070732117,0.2565765380859375,0.2601918876171112,0.3119256794452667,0.2277725487947464
