,when,did,kibaki,and,odinga,sing,an,agreement,on,the,formation,of,government,?
on,0.37706470489501953,0.2670976221561432,0.1944996416568756,0.4077630043029785,0.14188449084758759,0.16857391595840454,0.3192969560623169,0.22078442573547363,0.9999999403953552,0.5107308030128479,0.19212785363197327,0.3966929316520691,0.19216017425060272,0.2714994251728058
28,-0.1851940006017685,-0.2346872240304947,-0.08967924863100052,-0.21765437722206116,-0.10537047684192657,-0.17494258284568787,-0.07694744318723679,-0.16500285267829895,-0.18757028877735138,-0.31177106499671936,-0.07662461698055267,-0.2696417272090912,-0.3207937479019165,-0.012856917455792427
february,0.2621206045150757,0.25426602363586426,0.2825680375099182,0.25102463364601135,0.17298367619514465,0.16777712106704712,0.27880921959877014,0.2604898512363434,0.35595810413360596,0.26483774185180664,0.09946552664041519,0.20366249978542328,0.20651601254940033,0.29594847559928894
2008,-0.08004710078239441,-0.07680223137140274,0.24384570121765137,-0.05681091174483299,0.08935067802667618,0.03499820455908775,-0.04887928068637848,0.016058888286352158,-0.0002816536871250719,-0.06530369818210602,-0.10232917219400406,-0.10678710788488388,-0.010794071480631828,-0.09852470457553864
",",0.36674630641937256,0.3015086054801941,0.30390122532844543,0.6633074283599854,0.23129653930664062,0.228787362575531,0.3581022024154663,0.23435252904891968,0.49057599902153015,0.4933079481124878,0.24612528085708618,0.4946078956127167,0.27344048023223877,0.31091248989105225
kibaki,0.19191327691078186,0.15011894702911377,1.0,0.2273443341255188,0.4222884178161621,0.16105081140995026,0.13685385882854462,0.18633994460105896,0.1944996416568756,0.20502740144729614,0.1419951468706131,0.21858225762844086,0.2667686939239502,0.19735006988048553
and,0.4716290831565857,0.34479495882987976,0.2273443341255188,1.0,0.16266579926013947,0.2613985240459442,0.2838519215583801,0.22375741600990295,0.4077630043029785,0.5171257257461548,0.22940734028816223,0.5116966962814331,0.2859337627887726,0.20544172823429108
odinga,0.04035135358572006,0.068546824157238,0.4222884178161621,0.16266579926013947,1.0000001192092896,0.23242521286010742,0.14630226790905,0.10126351565122604,0.14188449084758759,0.11700057238340378,0.10154666006565094,0.12025092542171478,0.20864072442054749,0.2598755955696106
signed,0.18414242565631866,0.23087851703166962,0.21540875732898712,0.19545502960681915,0.04854508116841316,0.14139580726623535,0.18243291974067688,0.5602117776870728,0.25481486320495605,0.20675969123840332,0.12025078386068344,0.19593118131160736,0.2442723959684372,0.14003296196460724
an,0.33026179671287537,0.22598257660865784,0.13685385882854462,0.2838519215583801,0.14630226790905,0.08797214925289154,1.0,0.18085570633411407,0.3192969560623169,0.4207492768764496,0.182439386844635,0.32280945777893066,0.15164874494075775,0.19793890416622162
agreement,0.23616954684257507,0.2812501788139343,0.18633994460105896,0.22375741600990295,0.10126351565122604,0.10063223540782928,0.18085570633411407,1.0,0.22078442573547363,0.2490699142217636,0.17257267236709595,0.21259461343288422,0.30696341395378113,0.15830197930335999
on,0.37706470489501953,0.2670976221561432,0.1944996416568756,0.4077630043029785,0.14188449084758759,0.16857391595840454,0.3192969560623169,0.22078442573547363,0.9999999403953552,0.5107308030128479,0.19212785363197327,0.3966929316520691,0.19216017425060272,0.2714994251728058
the,0.5091903209686279,0.34736719727516174,0.20502740144729614,0.5171257257461548,0.11700057238340378,0.20337216556072235,0.4207492768764496,0.2490699142217636,0.5107308030128479,1.0,0.33687281608581543,0.733189046382904,0.31798112392425537,0.22068053483963013
formation,0.2390158325433731,0.1121787428855896,0.1419951468706131,0.22940734028816223,0.10154666006565094,0.10889340192079544,0.182439386844635,0.17257267236709595,0.19212785363197327,0.33687281608581543,1.0000001192092896,0.2957320809364319,0.19402539730072021,0.09831923991441727
of,0.3757161796092987,0.2513895630836487,0.21858225762844086,0.5116966962814331,0.12025092542171478,0.141191765666008,0.32280945777893066,0.21259461343288422,0.3966929316520691,0.733189046382904,0.2957320809364319,1.0,0.3475167155265808,0.1826142966747284
a,0.44397395849227905,0.2552328109741211,0.2559822201728821,0.3739250600337982,0.16866102814674377,0.1807050108909607,0.44552403688430786,0.203191339969635,0.3848365545272827,0.5829201340675354,0.28019317984580994,0.5052502155303955,0.25158295035362244,0.23916715383529663
