,how,much,did,the,initial,version,of,the,sm,weigh,in,pounds,?
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.29837024211883545,0.27268242835998535,0.733189046382904,1.0,0.1331356316804886,0.18926309049129486,0.6662389636039734,0.18430368602275848,0.22068053483963013
initial,0.21066758036613464,0.20319980382919312,0.2502395808696747,0.29837024211883545,1.0,0.24472923576831818,0.25980207324028015,0.29837024211883545,0.12033076584339142,0.1467960625886917,0.22201098501682281,0.15085332095623016,0.16868601739406586
lunar,0.21081319451332092,0.16680452227592468,0.14120660722255707,0.23309995234012604,0.21350394189357758,0.1658930629491806,0.204553484916687,0.23309995234012604,0.2664931118488312,0.19510391354560852,0.17049738764762878,0.17443959414958954,0.1628302037715912
flight,0.14079724252223969,0.17281001806259155,0.1307949423789978,0.2498224973678589,0.15302056074142456,0.16750048100948334,0.2070007622241974,0.2498224973678589,0.2045062929391861,0.1739109307527542,0.24918575584888458,0.13910627365112305,0.20568472146987915
version,0.21470944583415985,0.27927321195602417,0.21677692234516144,0.27268242835998535,0.24472923576831818,1.0000001192092896,0.14166875183582306,0.27268242835998535,0.15413175523281097,0.19122374057769775,0.19599339365959167,0.13570347428321838,0.2573966085910797
weighed,0.2749890387058258,0.290673166513443,0.1960470825433731,0.17468127608299255,0.19101662933826447,0.17885620892047882,0.16003961861133575,0.17468127608299255,0.15977202355861664,0.7753283977508545,0.13698893785476685,0.591770350933075,0.1759321093559265
approximately,0.17167454957962036,0.24894006550312042,0.10670274496078491,0.33137547969818115,0.2646138072013855,0.14653338491916656,0.34526896476745605,0.33137547969818115,0.13227243721485138,0.24215538799762726,0.3145860731601715,0.3461407423019409,0.10237617790699005
"51,300",-0.025474781170487404,-0.0785340890288353,0.08264920115470886,0.11382946372032166,-0.019069233909249306,-0.04828545078635216,0.16154862940311432,0.11382946372032166,0.0721873790025711,0.0206316988915205,0.14212308824062347,0.07358498126268387,0.047983914613723755
pounds,0.2724916338920593,0.28722459077835083,0.18286636471748352,0.18430368602275848,0.15085332095623016,0.13570347428321838,0.16210339963436127,0.18430368602275848,0.13469305634498596,0.6147064566612244,0.1508542150259018,0.9999999403953552,0.1807934194803238
(,0.1676948219537735,0.21788647770881653,0.18979617953300476,0.33289089798927307,0.18073397874832153,0.2838994860649109,0.35032153129577637,0.33289089798927307,0.12197738885879517,0.23141393065452576,0.3087427020072937,0.18413324654102325,0.40561532974243164
