,what,stature,did,pharmacists,have,in,the,pre-heian,imperial,court,?
in,0.30808621644973755,0.22277714312076569,0.2593238651752472,0.22358480095863342,0.36843645572662354,1.0,0.6662389636039734,0.23708350956439972,0.2295355498790741,0.2793687880039215,0.20430970191955566
this,0.5489566326141357,0.278084397315979,0.3609912693500519,0.21824534237384796,0.4660032093524933,0.45205554366111755,0.6274310946464539,0.3352653384208679,0.2379109412431717,0.22750873863697052,0.3155723512172699
highly,0.22724121809005737,0.24336206912994385,0.16149795055389404,0.18998242914676666,0.30218270421028137,0.20217788219451904,0.2051282376050949,0.22826622426509857,0.11101876199245453,0.08716785162687302,0.1542806625366211
stable,0.19113974273204803,0.23410627245903015,0.16326071321964264,0.2002207189798355,0.2834215462207794,0.21050356328487396,0.19243422150611877,0.2240796834230423,0.10607291013002396,0.06792210787534714,0.11452282965183258
hierarchy,0.2107066512107849,0.27177730202674866,0.16683000326156616,0.09507539868354797,0.19133616983890533,0.09286253154277802,0.22604632377624512,0.3207590878009796,0.2148789018392563,0.27354252338409424,0.23208312690258026
",",0.3087472915649414,0.22770771384239197,0.3015086054801941,0.22197484970092773,0.3541618287563324,0.5201468467712402,0.4933079481124878,0.2266031801700592,0.2180749922990799,0.24410836398601532,0.31091248989105225
the,0.42745697498321533,0.25839763879776,0.34736719727516174,0.24311043322086334,0.40389683842658997,0.6662389636039734,1.0,0.3341270387172699,0.3074202835559845,0.2812081575393677,0.22068053483963013
pharmacists—and,0.2838800251483917,0.21299581229686737,0.2638360559940338,0.9687577486038208,0.31821098923683167,0.25972774624824524,0.26663094758987427,0.2498321533203125,0.16239520907402039,0.13755202293395996,0.21251001954078674
even,0.40872135758399963,0.36353880167007446,0.45816805958747864,0.26262837648391724,0.5610647797584534,0.29146435856819153,0.37996912002563477,0.2547672390937805,0.15767449140548706,0.21074552834033966,0.30082517862319946
pharmacist,0.19447070360183716,0.15019573271274567,0.20721067488193512,0.8848034143447876,0.1977706104516983,0.2133195549249649,0.18885643780231476,0.20619796216487885,0.12990528345108032,0.12140189111232758,0.1397853046655655
assistants—were,0.22288788855075836,0.14468951523303986,0.2328329086303711,0.2436787188053131,0.22807663679122925,0.22653448581695557,0.23594294488430023,0.21461981534957886,0.20469023287296295,0.2266799807548523,0.18460707366466522
assigned,0.19956302642822266,0.18905360996723175,0.20200538635253906,0.21618780493736267,0.25680604577064514,0.227752685546875,0.3149823546409607,0.24855463206768036,0.19130736589431763,0.23781903088092804,0.1908780038356781
status,0.1975356787443161,0.46522822976112366,0.19024446606636047,0.13399864733219147,0.2677023112773895,0.20590373873710632,0.23601171374320984,0.16382086277008057,0.15236814320087433,0.16724416613578796,0.16403266787528992
superior,0.2175816148519516,0.23115941882133484,0.2026989609003067,0.17567948997020721,0.20004184544086456,0.18922103941440582,0.285393089056015,0.15837126970291138,0.20143286883831024,0.2892739176750183,0.08769503235816956
to,0.455847829580307,0.2838200032711029,0.4452643394470215,0.24341562390327454,0.4544740617275238,0.45010748505592346,0.535392165184021,0.23769940435886383,0.20807525515556335,0.24824365973472595,0.29463258385658264
all,0.41981086134910583,0.21774357557296753,0.33943864703178406,0.27948716282844543,0.5559456944465637,0.3335905969142914,0.4860881567001343,0.21083728969097137,0.12585552036762238,0.18986862897872925,0.29575422406196594
others,0.3888046145439148,0.21559929847717285,0.3710305690765381,0.3424348831176758,0.46180421113967896,0.3167906701564789,0.34376874566078186,0.1801326870918274,0.06744616478681564,0.15961122512817383,0.26705288887023926
in,0.30808621644973755,0.22277714312076569,0.2593238651752472,0.22358480095863342,0.36843645572662354,1.0,0.6662389636039734,0.23708350956439972,0.2295355498790741,0.2793687880039215,0.20430970191955566
health-related,0.3413180410861969,0.3169347643852234,0.2920421063899994,0.3651634156703949,0.4810665547847748,0.3215618133544922,0.33858850598335266,0.25698354840278625,0.2239137887954712,0.21093960106372833,0.25923338532447815
