,what,is,the,most,common,length,of,doctor,who,episodes,?
826,0.07974498718976974,0.029292983934283257,0.09173509478569031,0.10184735059738159,0.04054681211709976,-0.0397181510925293,0.0784640684723854,0.13131941854953766,0.15535438060760498,0.07864297181367874,-0.05733815208077431
doctor,0.20870667695999146,0.19875872135162354,0.2820442318916321,0.17011499404907227,0.08306191116571426,0.14744314551353455,0.16895952820777893,0.9999999403953552,0.3504868149757385,0.2920081615447998,0.1462511420249939
who,0.40942975878715515,0.24293622374534607,0.3733934462070465,0.35393568873405457,0.12067393958568573,0.035333774983882904,0.2827862501144409,0.3504868149757385,0.9999998807907104,0.20461446046829224,0.26220351457595825
instalments,0.3229868710041046,0.24814142286777496,0.3647617697715759,0.3243042528629303,0.22421298921108246,0.22456134855747223,0.2981434762477875,0.2002898007631302,0.31713196635246277,0.3397328853607178,0.2969202697277069
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.44364631175994873,0.3370055556297302,0.24311795830726624,0.3802283704280853,0.17649078369140625,0.39246654510498047,0.22485783696174622,0.32991164922714233
been,0.2567804455757141,0.39566612243652344,0.3563927710056305,0.33751797676086426,0.20298439264297485,0.18025334179401398,0.31685134768486023,0.12184444069862366,0.3295723795890808,0.23627032339572906,0.24354910850524902
televised,0.16330711543560028,0.14640659093856812,0.32855433225631714,0.22598543763160706,0.11969159543514252,0.11877736449241638,0.23927952349185944,0.21246404945850372,0.17628686130046844,0.43385571241378784,0.12888526916503906
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.3224619925022125,0.21683341264724731,0.1782100945711136,0.35513219237327576,0.10913390666246414,0.27765995264053345,0.21624694764614105,0.2876587212085724
1963,-0.01284969411790371,0.07947119325399399,0.03728247061371803,0.03426731750369072,0.030725443735718727,0.0573614127933979,0.040411919355392456,0.008513279259204865,-0.045281361788511276,-0.016845019534230232,0.03411978855729103
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.2117512971162796,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.2131132036447525,0.31091248989105225
ranging,0.20860125124454498,0.21603885293006897,0.23484160006046295,0.3029389977455139,0.277961790561676,0.27723899483680725,0.3282402753829956,0.05589593946933746,0.10510164499282837,0.13651621341705322,0.09338733553886414
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.24144990742206573,0.21916918456554413,0.22988906502723694,0.3737983703613281,0.13923875987529755,0.20718061923980713,0.20142050087451935,0.12887074053287506
25-minute,0.23374727368354797,0.17767734825611115,0.23112405836582184,0.11756547540426254,0.1296779364347458,0.33149784803390503,0.18111582100391388,0.24677492678165436,0.2085275501012802,0.2840491235256195,0.14471937716007233
episodes,0.15438014268875122,0.11897750943899155,0.1889590173959732,0.10079029202461243,0.1264553964138031,0.2100587636232376,0.19166667759418488,0.2920081615447998,0.20461446046829224,0.9999999403953552,0.21740183234214783
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.20654040575027466,0.19903890788555145,0.201618954539299,0.35032153129577637,0.1570640504360199,0.2443375140428543,0.17736345529556274,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.2705984115600586,0.26581600308418274,0.733189046382904,0.2820442318916321,0.3733934462070465,0.1889590173959732,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,1.0,0.42714235186576843,0.17561528086662292,0.4178851246833801,0.17011499404907227,0.35393568873405457,0.10079029202461243,0.2107497900724411
common,0.19989867508411407,0.2952355444431305,0.2705984115600586,0.42714235186576843,0.9999998807907104,0.15222413837909698,0.2949881851673126,0.08306191116571426,0.12067393958568573,0.1264553964138031,0.20434872806072235
format,0.16273964941501617,0.21288776397705078,0.21678368747234344,0.1747155338525772,0.18389639258384705,0.26291537284851074,0.1439143568277359,0.05393149331212044,0.03323619067668915,0.20023253560066223,0.2222042977809906
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.23620007932186127,0.19139838218688965,0.2271558791399002,0.3680361211299896,0.1509941965341568,0.2457384318113327,0.1691657453775406,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.2117512971162796,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.2131132036447525,0.31091248989105225
45-minute,0.2502906322479248,0.20630617439746857,0.249179407954216,0.132817804813385,0.1432066708803177,0.33630526065826416,0.20756098628044128,0.2654983103275299,0.23017555475234985,0.3058948218822479,0.16811853647232056
episodes,0.15438014268875122,0.11897750943899155,0.1889590173959732,0.10079029202461243,0.1264553964138031,0.2100587636232376,0.19166667759418488,0.2920081615447998,0.20461446046829224,0.9999999403953552,0.21740183234214783
