,when,was,the,new,constitution,promulgated,?
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.23156195878982544,0.2979527413845062,0.24829570949077606,0.25732165575027466
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.2748313844203949,0.2620309591293335,0.35202452540397644,0.18412111699581146
promulgated,0.23649810254573822,0.35202452540397644,0.3724451959133148,0.2666669189929962,0.38796260952949524,1.0,0.15346558392047882
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.31106263399124146,0.23429356515407562,0.2758837640285492,0.2714994251728058
27,-0.042299967259168625,0.07487557828426361,0.02698022499680519,0.04321272298693657,0.04360002279281616,0.09615259617567062,0.036716945469379425
august,0.2603156566619873,0.42620858550071716,0.22689028084278107,0.24834056198596954,0.18263059854507446,0.20624203979969025,0.3006744682788849
2010,0.1552559733390808,0.23825319111347198,0.31722962856292725,0.23277243971824646,0.13280795514583588,0.2694081962108612,0.21232788264751434
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.1898733228445053,0.16746407747268677,0.2594648599624634,0.21978627145290375
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.3214259147644043,0.21537603437900543,0.2429962307214737,0.23916715383529663
euphoric,0.27686262130737305,0.13107910752296448,0.25339025259017944,0.13115857541561127,0.2024083435535431,0.12838047742843628,0.2589734196662903
ceremony,0.21020513772964478,0.26448696851730347,0.27631378173828125,0.1580517590045929,0.22733569145202637,0.29760557413101196,0.1873435080051422
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.3758552670478821,0.27906280755996704,0.310886025428772,0.20430970191955566
nairobi,0.12505437433719635,0.226007342338562,0.19357922673225403,0.1889851689338684,0.12152640521526337,0.1605478823184967,0.10651574283838272
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,-0.008355522528290749,-0.037120308727025986,-0.014662083238363266,-0.023395681753754616
uhuru,0.1375301480293274,0.28737133741378784,0.25533705949783325,0.20613957941532135,0.2834707498550415,0.26309749484062195,0.19283939898014069
park,0.14917762577533722,0.22738584876060486,0.24748283624649048,0.23004095256328583,0.1645381897687912,0.20884521305561066,0.13508929312229156
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.36073189973831177,0.2582484483718872,0.33428555727005005,0.31091248989105225
accompanied,0.27696967124938965,0.21553421020507812,0.27266716957092285,0.07754809409379959,0.09174660593271255,0.29031795263290405,0.14135776460170746
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.25394493341445923,0.1736798882484436,0.32184314727783203,0.17966607213020325
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.3214259147644043,0.21537603437900543,0.2429962307214737,0.23916715383529663
21-gun,0.21736295521259308,0.2683250606060028,0.2548232972621918,0.10461380332708359,0.21496696770191193,0.2784348428249359,0.13105736672878265
salute,0.22266587615013123,0.2896697223186493,0.2599598467350006,0.1870364099740982,0.2608020603656769,0.23950286209583282,0.1636352837085724
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.35031336545944214,0.2279142290353775,0.33791282773017883,0.4130953550338745
