,where,did,dinophysis,get,its,chloroplasts,from,?
members,0.15948256850242615,0.21391335129737854,0.2520986795425415,0.18418976664543152,0.2307392805814743,0.23360900580883026,0.2350950688123703,0.10212311148643494
of,0.38066378235816956,0.2513895630836487,0.32083624601364136,0.26628199219703674,0.48690423369407654,0.23179760575294495,0.4249346852302551,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,0.2750833332538605,0.29667025804519653,0.559237003326416,0.23062430322170258,0.40150508284568787,0.22068053483963013
genus,0.1098993569612503,0.1337665617465973,0.5392922759056091,0.14906468987464905,0.1388997584581375,0.4185291528701782,0.16432522237300873,0.1421816647052765
dinophysis,0.16404584050178528,0.18659542500972748,1.0,0.1688673198223114,0.21260182559490204,0.47530367970466614,0.24817942082881927,0.18453527987003326
have,0.412650465965271,0.3783526122570038,0.31422847509384155,0.5343971252441406,0.3852778375148773,0.29091566801071167,0.30702701210975647,0.32991164922714233
a,0.40997210144996643,0.2552328109741211,0.25442346930503845,0.27948489785194397,0.4424409866333008,0.24622295796871185,0.322764128446579,0.23916715383529663
phycobilin-containing,0.2783133089542389,0.1746748983860016,0.46445682644844055,0.3479819893836975,0.3264186680316925,0.5615028142929077,0.3238721191883087,0.23477022349834442
chloroplast,0.2127864807844162,0.1815837174654007,0.4566666781902313,0.17309294641017914,0.21647074818611145,0.9777651429176331,0.20005539059638977,0.12532055377960205
taken,0.2766433358192444,0.2038538008928299,0.19927896559238434,0.2974429428577423,0.24331077933311462,0.1520092636346817,0.33566176891326904,0.17662954330444336
from,0.3713873624801636,0.20248863101005554,0.24817942082881927,0.3159880042076111,0.32706040143966675,0.21740731596946716,1.0,0.19969791173934937
a,0.40997210144996643,0.2552328109741211,0.25442346930503845,0.27948489785194397,0.4424409866333008,0.24622295796871185,0.322764128446579,0.23916715383529663
cryptophyte,0.17899280786514282,0.10505712777376175,0.5876845717430115,0.25070682168006897,0.16584576666355133,0.5807510614395142,0.15377436578273773,0.18001990020275116
.,0.41390106081962585,0.35288307070732117,0.2896459400653839,0.39392393827438354,0.3566088080406189,0.23868323862552643,0.41536515951156616,0.4130953550338745
