,what,was,the,horsepower,put,out,by,the,turbines,in,waterside,power,station
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.20759207010269165,0.19889357686042786,0.2754679322242737,0.3220438063144684,0.4838213622570038,0.18093141913414001,0.4627237319946289,0.24904362857341766,0.20807330310344696,0.12004553526639938
1910–1911,0.08585970103740692,0.19277361035346985,0.0807666927576065,0.19139498472213745,0.08240990340709686,0.03944661468267441,0.08746771514415741,0.0807666927576065,0.12996503710746765,0.10915177315473557,0.05061076581478119,0.03521956503391266,0.15844208002090454
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.16350601613521576,0.27680331468582153,0.2881071865558624,0.2368064820766449,0.457212895154953,0.14556889235973358,0.4374977946281433,0.2075166255235672,0.06751500070095062,0.2690275013446808
the,0.42745697498321533,0.48711544275283813,1.0,0.22541259229183197,0.34150463342666626,0.39404502511024475,0.4408751428127289,1.0,0.2202165722846985,0.6662389636039734,0.3206460773944855,0.2647338807582855,0.23609806597232819
waterside,0.16172142326831818,0.23759570717811584,0.3206460773944855,0.25132986903190613,0.1208745539188385,0.19698293507099152,0.2044760286808014,0.3206460773944855,0.3310413658618927,0.31724536418914795,0.9999999403953552,0.14938780665397644,0.2641894519329071
power,0.22216427326202393,0.1794997751712799,0.2647338807582855,0.5162810683250427,0.17412208020687103,0.17510327696800232,0.21582826972007751,0.2647338807582855,0.46097153425216675,0.16666220128536224,0.14938780665397644,1.0000001192092896,0.23398734629154205
station,0.1613752841949463,0.18833480775356293,0.23609806597232819,0.2123977243900299,0.19064876437187195,0.12507638335227966,0.16572362184524536,0.23609806597232819,0.2673414349555969,0.21784305572509766,0.2641894519329071,0.23398734629154205,1.0
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.17095385491847992,0.26728662848472595,0.3576207756996155,0.370934396982193,0.6662389636039734,0.23479467630386353,1.0,0.31724536418914795,0.16666220128536224,0.21784305572509766
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.16318705677986145,0.2341153472661972,0.2098110169172287,0.25394493341445923,0.3845241069793701,0.18539217114448547,0.3758552670478821,0.19512468576431274,0.20792555809020996,0.12154681980609894
york,0.15652963519096375,0.2746913433074951,0.3034006953239441,0.16016608476638794,0.1631683111190796,0.1872824728488922,0.2363547831773758,0.3034006953239441,0.1539071947336197,0.2961827218532562,0.3194912374019623,0.13107718527317047,0.1295144110918045
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23243539035320282,0.28264448046684265,0.3161109685897827,0.3680937886238098,0.4933079481124878,0.22887319326400757,0.5201468467712402,0.3166293501853943,0.2231994867324829,0.2482491284608841
several,0.22446060180664062,0.25396689772605896,0.40559855103492737,0.14917251467704773,0.25738251209259033,0.23978015780448914,0.3275541365146637,0.40559855103492737,0.2273896485567093,0.39405709505081177,0.21962209045886993,0.15317240357398987,0.16121822595596313
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.19857420027256012,0.3247257471084595,0.34176841378211975,0.3646814823150635,0.733189046382904,0.2403727024793625,0.5696388483047485,0.26453807950019836,0.25273123383522034,0.17394597828388214
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.15383289754390717,0.2545973062515259,0.3022425174713135,0.3107621967792511,0.4394008219242096,0.11364243179559708,0.3598145842552185,0.23076747357845306,0.20314614474773407,0.1713809072971344
bladeless,0.2980666160583496,0.24445053935050964,0.2553631365299225,0.40133458375930786,0.25259581208229065,0.32069504261016846,0.24192535877227783,0.2553631365299225,0.37823525071144104,0.21326793730258942,0.3190072476863861,0.30652594566345215,0.14264705777168274
turbine,0.1404699683189392,0.17515672743320465,0.1799832284450531,0.6025349497795105,0.19751118123531342,0.2540389597415924,0.22006140649318695,0.1799832284450531,0.9344314932823181,0.19420358538627625,0.30767735838890076,0.4459681212902069,0.25740188360214233
engines,0.1634974628686905,0.18948708474636078,0.2245008647441864,0.5893862843513489,0.14516720175743103,0.1886442005634308,0.18518580496311188,0.2245008647441864,0.5360714197158813,0.18084456026554108,0.14629769325256348,0.3073769509792328,0.19338169693946838
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.2744519114494324,0.2619820535182953,0.3354760408401489,0.4406847059726715,0.3906462490558624,0.2492387294769287,0.3815755248069763,0.13624916970729828,0.18395109474658966,0.09471219778060913
tested,0.2685181498527527,0.24974265694618225,0.22948460280895233,0.3040100634098053,0.31224745512008667,0.2986544668674469,0.25385794043540955,0.22948460280895233,0.25023698806762695,0.2040289044380188,0.07441960275173187,0.11960834264755249,0.13638313114643097
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.16350601613521576,0.27680331468582153,0.2881071865558624,0.2368064820766449,0.457212895154953,0.14556889235973358,0.4374977946281433,0.2075166255235672,0.06751500070095062,0.2690275013446808
"100–5,000",0.06299856305122375,0.06331116706132889,0.14261367917060852,-0.0042962972074747086,0.0823008343577385,0.09721339493989944,0.08647020906209946,0.14261367917060852,0.01148398220539093,0.1156059205532074,0.17816375195980072,-0.0597708597779274,0.011139375157654285
hp,0.1670258492231369,0.09947647899389267,0.11626636981964111,0.4764145016670227,0.1419631391763687,0.15242810547351837,0.1050017774105072,0.11626636981964111,0.36875781416893005,0.1439199149608612,0.16130344569683075,0.23668229579925537,0.17928364872932434
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26840877532958984,0.32595527172088623,0.34234723448753357,0.3936232924461365,0.5934505462646484,0.24173502624034882,0.5591574311256409,0.33079445362091064,0.2141435295343399,0.20999185740947723
