,what,are,the,principal,cash,crops,in,kenya,?
the,0.42745697498321533,0.40399202704429626,1.0,0.23882900178432465,0.20180898904800415,0.2617131173610687,0.6662389636039734,0.21657514572143555,0.22068053483963013
principal,0.1582305133342743,0.1346859186887741,0.23882900178432465,0.9999998807907104,0.15310630202293396,0.10960190743207932,0.2094544768333435,0.17374402284622192,0.10016445070505142
cash,0.1785680204629898,0.18309243023395538,0.20180898904800415,0.15310630202293396,0.9999999403953552,0.3622051775455475,0.14899717271327972,0.11452256143093109,0.19009602069854736
crops,0.2563587725162506,0.305677592754364,0.2617131173610687,0.10960190743207932,0.3622051775455475,1.0,0.21996134519577026,0.17843325436115265,0.15924812853336334
are,0.29724663496017456,1.0,0.40399202704429626,0.1346859186887741,0.18309243023395538,0.305677592754364,0.3841303884983063,0.1597108691930771,0.24591213464736938
tea,0.1909407526254654,0.1850048452615738,0.206143319606781,0.08291320502758026,0.17128676176071167,0.30421724915504456,0.21426554024219513,0.11467636376619339,0.18135163187980652
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.2394111454486847,0.2564946413040161,0.288750559091568,0.5201468467712402,0.23432263731956482,0.31091248989105225
horticultural,0.1521260142326355,0.24045330286026,0.2751433551311493,0.2564825415611267,0.23176807165145874,0.4569329023361206,0.3103930652141571,0.20914386212825775,0.07538387924432755
produce,0.1685742735862732,0.3308704197406769,0.23457570374011993,0.13406099379062653,0.18359911441802979,0.38040828704833984,0.21160131692886353,0.07155781239271164,0.19229066371917725
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.2394111454486847,0.2564946413040161,0.288750559091568,0.5201468467712402,0.23432263731956482,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.2770732343196869,0.2646300196647644,0.2840505540370941,0.4954058527946472,0.20742860436439514,0.20544172823429108
coffee,0.20077385008335114,0.20764762163162231,0.20381483435630798,0.11365187168121338,0.3067600429058075,0.4023386538028717,0.20177122950553894,0.10389620065689087,0.1695348024368286
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.20513196289539337,0.19906827807426453,0.2321854680776596,0.5591574311256409,0.24234211444854736,0.4130953550338745
