,what,might,the,government,require,a,teacher,have,before,being,allowed,to,teach,?
governments,0.2814749777317047,0.2524714469909668,0.2835306227207184,0.87839275598526,0.24567723274230957,0.22102735936641693,0.11148720234632492,0.3173622786998749,0.14950129389762878,0.24478095769882202,0.32382747530937195,0.30281347036361694,0.2382270097732544,0.18805137276649475
may,0.25739946961402893,0.5044193863868713,0.2694292366504669,0.21966363489627838,0.1945846825838089,0.29255667328834534,0.15417979657649994,0.35194188356399536,0.2652997672557831,0.28753915429115295,0.30221495032310486,0.391582727432251,0.15809877216815948,0.2768254578113556
require,0.2487315833568573,0.31402093172073364,0.17356595396995544,0.19636844098567963,0.9999998807907104,0.24720792472362518,0.11969908326864243,0.4511761963367462,0.23981165885925293,0.24485532939434052,0.38782328367233276,0.29503753781318665,0.2659853398799896,0.2463286817073822
certification,0.17934301495552063,0.152298703789711,0.22407793998718262,0.23398646712303162,0.33413317799568176,0.24446265399456024,0.2183842957019806,0.2023586630821228,0.22629374265670776,0.2014354169368744,0.18795911967754364,0.19069352746009827,0.21847885847091675,0.2274744212627411
by,0.2455483376979828,0.20839068293571472,0.4408751428127289,0.24235671758651733,0.13001477718353271,0.32094135880470276,0.16136689484119415,0.3359639644622803,0.37709173560142517,0.4690866470336914,0.24764572083950043,0.33534231781959534,0.14033691585063934,0.17966607213020325
a,0.3320399522781372,0.4210625886917114,0.5829201340675354,0.25158295035362244,0.24720792472362518,1.0,0.31202319264411926,0.338716596364975,0.3583870828151703,0.3727131485939026,0.275193989276886,0.45503583550453186,0.18608243763446808,0.23916715383529663
recognized,0.17776133120059967,0.19263428449630737,0.31571096181869507,0.21542729437351227,0.18126201629638672,0.2292279750108719,0.1290380209684372,0.270374059677124,0.16560493409633636,0.2916366159915924,0.2692611813545227,0.1667540818452835,0.16240856051445007,0.18558090925216675
body,0.2143840193748474,0.25677090883255005,0.31682634353637695,0.2462058663368225,0.19183902442455292,0.26263290643692017,0.1319052278995514,0.27852192521095276,0.21611222624778748,0.25699910521507263,0.17927072942256927,0.307265043258667,0.16880574822425842,0.20136451721191406
before,0.3801657259464264,0.29960715770721436,0.45900648832321167,0.14921633899211884,0.23981165885925293,0.3583870828151703,0.21876901388168335,0.3593204617500305,1.0,0.37966302037239075,0.3333832323551178,0.4190867841243744,0.18935608863830566,0.2507109045982361
they,0.4431931674480438,0.44163188338279724,0.49925389885902405,0.27497777342796326,0.30564460158348083,0.3528250455856323,0.1623399555683136,0.6542890071868896,0.372068852186203,0.41845834255218506,0.48281627893447876,0.5452046394348145,0.312565416097641,0.2753053903579712
can,0.34502777457237244,0.6426551342010498,0.312528520822525,0.15589569509029388,0.46357640624046326,0.3915780484676361,0.15007992088794708,0.5489245653152466,0.2522135078907013,0.433290958404541,0.397124707698822,0.4979398250579834,0.2583193778991699,0.3226337134838104
teach,0.2818700671195984,0.2819056808948517,0.1966347098350525,0.22860248386859894,0.2659853398799896,0.18608243763446808,0.6285144090652466,0.2843714654445648,0.18935608863830566,0.21747033298015594,0.2723400592803955,0.36650484800338745,1.0000001192092896,0.24188745021820068
in,0.30808621644973755,0.26443570852279663,0.6662389636039734,0.3066793978214264,0.14079172909259796,0.539380669593811,0.22632350027561188,0.36843645572662354,0.4155850410461426,0.33162933588027954,0.23683252930641174,0.45010748505592346,0.23312166333198547,0.20430970191955566
a,0.3320399522781372,0.4210625886917114,0.5829201340675354,0.25158295035362244,0.24720792472362518,1.0,0.31202319264411926,0.338716596364975,0.3583870828151703,0.3727131485939026,0.275193989276886,0.45503583550453186,0.18608243763446808,0.23916715383529663
school,0.18774057924747467,0.19290851056575775,0.22953221201896667,0.24537934362888336,0.08515637367963791,0.2245093584060669,0.5442529320716858,0.16803227365016937,0.21110861003398895,0.16753751039505005,0.16672198474407196,0.24496325850486755,0.4499453604221344,0.15091250836849213
.,0.3567904531955719,0.27493223547935486,0.5934505462646484,0.2521961033344269,0.21465444564819336,0.50484299659729,0.225234717130661,0.41614407300949097,0.36693984270095825,0.35574623942375183,0.3197084665298462,0.4645031690597534,0.2642667293548584,0.4130953550338745
