,would,opportunities,be,the,same,in,each,subject,",",or,would,they,vary,?
excellent,0.2664252817630768,0.36105412244796753,0.2740519344806671,0.20157980918884277,0.16934962570667267,0.16346341371536255,0.1754004806280136,0.16859211027622223,0.3037734031677246,0.2077488750219345,0.2664252817630768,0.16700582206249237,0.22448699176311493,0.1368298977613449
job,0.319030225276947,0.33585324883461,0.23075640201568604,0.24242734909057617,0.19251330196857452,0.2114088088274002,0.143959641456604,0.22201991081237793,0.27190712094306946,0.20071177184581757,0.319030225276947,0.24093833565711975,0.05934188887476921,0.22160480916500092
opportunities,0.38360804319381714,1.0,0.2470637857913971,0.2523994743824005,0.16323083639144897,0.19241002202033997,0.24735452234745026,0.28746843338012695,0.22871766984462738,0.28120100498199463,0.38360804319381714,0.3066110908985138,0.23606713116168976,0.18024922907352448
are,0.32024338841438293,0.2680197060108185,0.5556803941726685,0.40399202704429626,0.3446533679962158,0.3841303884983063,0.39730963110923767,0.22845745086669922,0.4062570035457611,0.5374364256858826,0.32024338841438293,0.610666811466217,0.40634578466415405,0.24591213464736938
expected,0.5400295257568359,0.30952733755111694,0.35050156712532043,0.3108554780483246,0.3377302289009094,0.2959997057914734,0.28137436509132385,0.26108717918395996,0.23470614850521088,0.281390905380249,0.5400295257568359,0.3567638099193573,0.3247760236263275,0.19474582374095917
as,0.3824005722999573,0.24111860990524292,0.5230465531349182,0.48381632566452026,0.3727807104587555,0.3887844979763031,0.27854636311531067,0.2579971253871918,0.48816442489624023,0.4400654137134552,0.3824005722999573,0.3294360637664795,0.1946660429239273,0.27043893933296204
retirements,0.28552865982055664,0.34856465458869934,0.22411412000656128,0.2477254867553711,0.185373917222023,0.26592543721199036,0.16299450397491455,0.2510727047920227,0.313642293214798,0.15298068523406982,0.28552865982055664,0.2806127667427063,0.19227668642997742,0.1552659124135971
",",0.32586824893951416,0.22871766984462738,0.39254459738731384,0.4933079481124878,0.3207721710205078,0.5201468467712402,0.207483172416687,0.25792038440704346,1.0000001192092896,0.3769497275352478,0.32586824893951416,0.390799880027771,0.2645319104194641,0.31091248989105225
especially,0.30507516860961914,0.38491788506507874,0.36800456047058105,0.39420849084854126,0.2881387770175934,0.3526567816734314,0.24454465508460999,0.3040473759174347,0.3689771592617035,0.4209681451320648,0.30507516860961914,0.43556466698646545,0.30692800879478455,0.19751401245594025
among,0.2225767821073532,0.2657729387283325,0.21499858796596527,0.3507058024406433,0.17180418968200684,0.3211768567562103,0.18966758251190186,0.2148626744747162,0.2640531659126282,0.21097923815250397,0.2225767821073532,0.27496233582496643,0.2365596890449524,0.14343059062957764
secondary,0.17821556329727173,0.21617500483989716,0.18861138820648193,0.21037471294403076,0.16685043275356293,0.2103116512298584,0.15601424872875214,0.24467876553535461,0.2158004194498062,0.25993385910987854,0.17821556329727173,0.2186330109834671,0.28809046745300293,0.18118004500865936
