,what,are,the,components,of,drug,therapy,?
the,0.42745697498321533,0.40399202704429626,1.0,0.30344057083129883,0.733189046382904,0.22177673876285553,0.1722976714372635,0.22068053483963013
review,0.27832862734794617,0.14189735054969788,0.245576411485672,0.15856191515922546,0.18473945558071136,0.1676136702299118,0.19813457131385803,0.27187594771385193
process,0.3466717302799225,0.23280955851078033,0.264274537563324,0.35883939266204834,0.23962904512882233,0.178456112742424,0.25433215498924255,0.2460896074771881
often,0.3849453330039978,0.5443448424339294,0.38004449009895325,0.3070656359195709,0.3351972997188568,0.20316068828105927,0.29064658284187317,0.23748154938220978
involves,0.2138185203075409,0.3323729634284973,0.25744810700416565,0.3028545379638672,0.32495999336242676,0.2249704748392105,0.32711440324783325,0.14038428664207458
an,0.2821882665157318,0.1556541919708252,0.4207492768764496,0.20566610991954803,0.32280945777893066,0.1979023516178131,0.19371528923511505,0.19793890416622162
evaluation,0.2566048800945282,0.22656239569187164,0.26451990008354187,0.3068215548992157,0.23022852838039398,0.24132131040096283,0.4448074996471405,0.23344650864601135
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.28973057866096497,1.0,0.19976560771465302,0.19317765533924103,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.30344057083129883,0.733189046382904,0.22177673876285553,0.1722976714372635,0.22068053483963013
appropriateness,0.33165183663368225,0.27467864751815796,0.2595931589603424,0.29297879338264465,0.22961382567882538,0.22131477296352386,0.3073257505893707,0.2753678560256958
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.28973057866096497,1.0,0.19976560771465302,0.19317765533924103,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.30344057083129883,0.733189046382904,0.22177673876285553,0.1722976714372635,0.22068053483963013
drug,0.21731828153133392,0.18132726848125458,0.22177673876285553,0.22259342670440674,0.19976560771465302,1.0000001192092896,0.42441579699516296,0.12584024667739868
therapy,0.23743373155593872,0.22108925879001617,0.1722976714372635,0.24113668501377106,0.19317765533924103,0.42441579699516296,1.0000001192092896,0.18962311744689941
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.16601450741291046,0.35032153129577637,0.0880715399980545,0.10863378643989563,0.40561532974243164
e.g.,0.04733210429549217,-0.04146725311875343,-0.0011739471228793263,-0.0017532088095322251,-0.0030048114713281393,-0.045600082725286484,-0.030147189274430275,0.018727071583271027
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.20591874420642853,0.4946078956127167,0.1941215842962265,0.15234890580177307,0.31091248989105225
drug,0.21731828153133392,0.18132726848125458,0.22177673876285553,0.22259342670440674,0.19976560771465302,1.0000001192092896,0.42441579699516296,0.12584024667739868
choice,0.29363784193992615,0.20182392001152039,0.2640603482723236,0.16911813616752625,0.23419108986854553,0.1560227870941162,0.14614185690879822,0.28709158301353455
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.20591874420642853,0.4946078956127167,0.1941215842962265,0.15234890580177307,0.31091248989105225
dose,0.2034512311220169,0.22638535499572754,0.1730676293373108,0.20688560605049133,0.18959163129329681,0.5788581967353821,0.4109351933002472,0.18869492411613464
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.20591874420642853,0.4946078956127167,0.1941215842962265,0.15234890580177307,0.31091248989105225
route,0.23103561997413635,0.18570686876773834,0.22322526574134827,0.14953255653381348,0.1700238138437271,0.20410308241844177,0.12861070036888123,0.10957027226686478
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.20591874420642853,0.4946078956127167,0.1941215842962265,0.15234890580177307,0.31091248989105225
frequency,0.2807137370109558,0.21485121548175812,0.20417852699756622,0.33446088433265686,0.1939978003501892,0.18647567927837372,0.2642396092414856,0.17067383229732513
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.20591874420642853,0.4946078956127167,0.1941215842962265,0.15234890580177307,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.2737251818180084,0.5116966962814331,0.23028631508350372,0.16298642754554749,0.20544172823429108
duration,0.29509851336479187,0.21281807124614716,0.31192225217819214,0.3185131549835205,0.24461549520492554,0.2618333697319031,0.2313975840806961,0.24553591012954712
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.28973057866096497,1.0,0.19976560771465302,0.19317765533924103,0.1826142966747284
therapy,0.23743373155593872,0.22108925879001617,0.1722976714372635,0.24113668501377106,0.19317765533924103,0.42441579699516296,1.0000001192092896,0.18962311744689941
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.16825178265571594,0.3680361211299896,0.11646083742380142,0.1093178391456604,0.42300865054130554
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.2737251818180084,0.5116966962814331,0.23028631508350372,0.16298642754554749,0.20544172823429108
its,0.30393704771995544,0.30942749977111816,0.559237003326416,0.31067872047424316,0.48690423369407654,0.19933044910430908,0.13885913789272308,0.15103481709957123
efficacy,0.2638348937034607,0.24538405239582062,0.19550807774066925,0.34609562158584595,0.2377362996339798,0.3669678568840027,0.4285331964492798,0.21549080312252045
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.21835938096046448,0.5352458953857422,0.26284900307655334,0.21034516394138336,0.4130953550338745
