,who,was,the,star,of,the,sarah,jane,adventures,?
the,0.3733934462070465,0.48711544275283813,1.0,0.253978431224823,0.733189046382904,1.0,0.22388771176338196,0.18294748663902283,0.2034815400838852,0.22068053483963013
sarah,0.24870508909225464,0.18989098072052002,0.22388771176338196,0.10641001909971237,0.12605753540992737,0.22388771176338196,1.0,0.4815041124820709,0.20791174471378326,0.11216213554143906
jane,0.21626175940036774,0.20446321368217468,0.18294748663902283,0.13033351302146912,0.12316256016492844,0.18294748663902283,0.4815041124820709,1.0,0.2744247615337372,0.14947275817394257
adventures,0.2170078009366989,0.11922162026166916,0.2034815400838852,0.208887979388237,0.2105356603860855,0.2034815400838852,0.20791174471378326,0.2744247615337372,1.0,0.15214234590530396
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2074643075466156,0.4946078956127167,0.4933079481124878,0.25581565499305725,0.26553842425346375,0.17147807776927948,0.31091248989105225
starring,0.22658158838748932,0.24644622206687927,0.2360517829656601,0.34947195649147034,0.16407893598079681,0.2360517829656601,0.28548794984817505,0.23800379037857056,0.4271053969860077,0.13022364675998688
elisabeth,0.22092221677303314,0.23240891098976135,0.18177981674671173,0.043141379952430725,0.1969698667526245,0.18177981674671173,0.4168197214603424,0.34193795919418335,0.20781299471855164,0.1804756224155426
sladen,0.28833305835723877,0.25597792863845825,0.2671704888343811,0.1846785843372345,0.224842831492424,0.2671704888343811,0.38417476415634155,0.3607955574989319,0.31660300493240356,0.2075037658214569
who,0.9999998807907104,0.3318818509578705,0.3733934462070465,0.17057761549949646,0.2827862501144409,0.3733934462070465,0.24870508909225464,0.21626175940036774,0.2170078009366989,0.26220351457595825
reprised,0.20454517006874084,0.25491058826446533,0.19293852150440216,0.25423702597618103,0.15736781060695648,0.19293852150440216,0.2987045347690582,0.30653977394104004,0.336196631193161,0.16869863867759705
her,0.3824957311153412,0.34084662795066833,0.354963481426239,0.15572670102119446,0.27399197220802307,0.354963481426239,0.43545520305633545,0.413967102766037,0.27112507820129395,0.20310723781585693
role,0.2767873704433441,0.2561398148536682,0.26607486605644226,0.2513842284679413,0.1797693818807602,0.26607486605644226,0.13365371525287628,0.13854831457138062,0.25421780347824097,0.18676944077014923
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.21887947618961334,0.3886612355709076,0.48381632566452026,0.1525762379169464,0.17059101164340973,0.2297765165567398,0.27043893933296204
