,which,well-known,general,abandoned,jamukha,'s,coalition,against,temüjin,?
before,0.3430410623550415,0.26000064611434937,0.1992262303829193,0.2798710763454437,0.16214005649089813,-0.01158253662288189,0.17272131145000458,0.24549540877342224,0.36263686418533325,0.2507109045982361
the,0.6521818041801453,0.4269336760044098,0.28634732961654663,0.324320912361145,0.26145488023757935,-0.01540423184633255,0.27709540724754333,0.3090755045413971,0.43713900446891785,0.22068053483963013
conflict,0.2701381742954254,0.17084914445877075,0.21738778054714203,0.17760400474071503,0.2633560001850128,-0.040529198944568634,0.32465001940727234,0.2762555480003357,0.31784629821777344,0.26744839549064636
",",0.3658004403114319,0.4223858118057251,0.3022127151489258,0.28148895502090454,0.30996835231781006,-0.0016132977325469255,0.23388497531414032,0.31168749928474426,0.3484273850917816,0.31091248989105225
however,0.5545716285705566,0.3258744776248932,0.22741249203681946,0.3776668310165405,0.26953381299972534,0.011690815910696983,0.2621169686317444,0.3361685574054718,0.46450626850128174,0.2152075469493866
",",0.3658004403114319,0.4223858118057251,0.3022127151489258,0.28148895502090454,0.30996835231781006,-0.0016132977325469255,0.23388497531414032,0.31168749928474426,0.3484273850917816,0.31091248989105225
several,0.4863804280757904,0.32171085476875305,0.2017451822757721,0.21506723761558533,0.24519355595111847,-0.012985157780349255,0.20353901386260986,0.19861534237861633,0.2575584948062897,0.15595775842666626
generals,0.1484464704990387,0.2133575826883316,0.7028316855430603,0.17600136995315552,0.2667371928691864,0.007858164608478546,0.28142085671424866,0.23526334762573242,0.3479856252670288,0.16273394227027893
abandoned,0.29640865325927734,0.23749960958957672,0.14417704939842224,1.0,0.22155436873435974,0.016488540917634964,0.1375635266304016,0.20405107736587524,0.38375523686408997,0.12238068878650665
jamukha,0.2822272479534149,0.33838558197021484,0.2325333207845688,0.22155436873435974,0.9999999403953552,0.04738704860210419,0.2631601393222809,0.13284339010715485,0.48555630445480347,0.20055611431598663
",",0.3658004403114319,0.4223858118057251,0.3022127151489258,0.28148895502090454,0.30996835231781006,-0.0016132977325469255,0.23388497531414032,0.31168749928474426,0.3484273850917816,0.31091248989105225
including,0.41826364398002625,0.3652671277523041,0.18835937976837158,0.1776350885629654,0.19895294308662415,0.0074059427715837955,0.1512131243944168,0.25372034311294556,0.2254035323858261,0.1633303165435791
subutai,0.3430885374546051,0.3424064517021179,0.20406349003314972,0.28180015087127686,0.4649435877799988,-0.027223998680710793,0.20994603633880615,0.17168018221855164,0.43589726090431213,0.1578579694032669
",",0.3658004403114319,0.4223858118057251,0.3022127151489258,0.28148895502090454,0.30996835231781006,-0.0016132977325469255,0.23388497531414032,0.31168749928474426,0.3484273850917816,0.31091248989105225
jelme,0.14727528393268585,0.3278934359550476,0.18950854241847992,0.07921140640974045,0.24214904010295868,0.050371333956718445,0.1793050915002823,0.18419815599918365,0.27269038558006287,0.15485253930091858
's,0.03856118768453598,0.04194929078221321,-0.0757286474108696,0.016488540917634964,0.04738704860210419,0.9999999403953552,-0.02830805629491806,-0.0006242102244868875,-0.010023289360105991,-0.023395681753754616
well-known,0.31308138370513916,0.9999999403953552,0.20805411040782928,0.23749960958957672,0.33838558197021484,0.04194929078221321,0.18733951449394226,0.17420735955238342,0.3790781497955322,0.2076386660337448
younger,0.19389934837818146,0.21460719406604767,0.20962703227996826,0.2107912003993988,0.1775016039609909,-0.019649744033813477,0.20164629817008972,0.19745168089866638,0.24838516116142273,0.12709127366542816
brother,0.1919970065355301,0.22375807166099548,0.1378854513168335,0.23100899159908295,0.18207769095897675,-0.0180375799536705,0.17573578655719757,0.22362209856510162,0.3288313150405884,0.14267398416996002
.,0.45942068099975586,0.3882472515106201,0.2929490804672241,0.2697140574455261,0.23000960052013397,-0.003708066651597619,0.20060032606124878,0.28705209493637085,0.31788840889930725,0.4130953550338745
