,how,are,the,certain,costs,which,are,difficult,to,avoid,shared,?
firstly,0.34928321838378906,0.30232056975364685,0.28137102723121643,0.32776588201522827,0.24326422810554504,0.32680439949035645,0.30232056975364685,0.29198068380355835,0.346606582403183,0.3026876747608185,0.20604582130908966,0.35213080048561096
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.28759655356407166,0.15185250341892242,0.3658004403114319,0.4062570035457611,0.24675612151622772,0.44245919585227966,0.22226782143115997,0.2729959785938263,0.31091248989105225
certain,0.47261449694633484,0.48443952202796936,0.392071396112442,1.0,0.2755591869354248,0.5292714238166809,0.48443952202796936,0.4971606135368347,0.4444960355758667,0.37114354968070984,0.2051476687192917,0.2516106069087982
costs,0.28816989064216614,0.23149950802326202,0.2180386483669281,0.2755591869354248,0.9999998807907104,0.28403240442276,0.23149950802326202,0.26246339082717896,0.30544713139533997,0.2391602247953415,0.14106573164463043,0.19150719046592712
are,0.311818927526474,1.0,0.40399202704429626,0.48443952202796936,0.23149950802326202,0.42922598123550415,1.0,0.3366478681564331,0.3504326641559601,0.30526837706565857,0.20457136631011963,0.24591213464736938
difficult,0.4929194152355194,0.3366478681564331,0.277450829744339,0.4971606135368347,0.26246339082717896,0.37809062004089355,0.3366478681564331,1.0000001192092896,0.4417358338832855,0.37140795588493347,0.09769830852746964,0.20408590137958527
to,0.44169697165489197,0.3504326641559601,0.535392165184021,0.4444960355758667,0.30544713139533997,0.5345056653022766,0.3504326641559601,0.4417358338832855,1.0,0.33193957805633545,0.14570777118206024,0.29463258385658264
avoid,0.3047965168952942,0.30526837706565857,0.24833035469055176,0.37114354968070984,0.2391602247953415,0.29532086849212646,0.30526837706565857,0.37140795588493347,0.33193957805633545,1.0,0.08488468825817108,0.26885488629341125
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.36360108852386475,0.27548927068710327,0.506277859210968,0.48576638102531433,0.28586524724960327,0.48971283435821533,0.2800402045249939,0.2268613576889038,0.20544172823429108
are,0.311818927526474,1.0,0.40399202704429626,0.48443952202796936,0.23149950802326202,0.42922598123550415,1.0,0.3366478681564331,0.3504326641559601,0.30526837706565857,0.20457136631011963,0.24591213464736938
shared,0.13892985880374908,0.20457136631011963,0.21652492880821228,0.2051476687192917,0.14106573164463043,0.21653030812740326,0.20457136631011963,0.09769830852746964,0.14570777118206024,0.08488468825817108,0.9999998807907104,0.18310070037841797
by,0.34370526671409607,0.37842893600463867,0.4408751428127289,0.28917592763900757,0.1958591490983963,0.40543368458747864,0.37842893600463867,0.21304745972156525,0.33534231781959534,0.2726847231388092,0.18252982199192047,0.17966607213020325
everyone,0.3867041766643524,0.23490078747272491,0.26820138096809387,0.33700159192085266,0.20638340711593628,0.3282143771648407,0.23490078747272491,0.2873251736164093,0.33541402220726013,0.2273780256509781,0.20338569581508636,0.3412931561470032
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.28759655356407166,0.15185250341892242,0.3658004403114319,0.4062570035457611,0.24675612151622772,0.44245919585227966,0.22226782143115997,0.2729959785938263,0.31091248989105225
such,0.307365357875824,0.4654397666454315,0.3575236201286316,0.48051917552948,0.22999577224254608,0.406057745218277,0.4654397666454315,0.34523341059684753,0.2871878743171692,0.27235254645347595,0.17670515179634094,0.17851735651493073
as,0.33782753348350525,0.3826591968536377,0.48381632566452026,0.33222660422325134,0.19707413017749786,0.41006597876548767,0.3826591968536377,0.21670931577682495,0.42092081904411316,0.23730039596557617,0.1761624664068222,0.27043893933296204
the,0.33890387415885925,0.40399202704429626,1.0,0.392071396112442,0.2180386483669281,0.6521818041801453,0.40399202704429626,0.277450829744339,0.535392165184021,0.24833035469055176,0.21652492880821228,0.22068053483963013
costs,0.28816989064216614,0.23149950802326202,0.2180386483669281,0.2755591869354248,0.9999998807907104,0.28403240442276,0.23149950802326202,0.26246339082717896,0.30544713139533997,0.2391602247953415,0.14106573164463043,0.19150719046592712
of,0.2480744868516922,0.39081433415412903,0.733189046382904,0.40204232931137085,0.1889231652021408,0.5011631846427917,0.39081433415412903,0.2539307773113251,0.41548454761505127,0.22642050683498383,0.2307819277048111,0.1826142966747284
housing,0.19182702898979187,0.23037773370742798,0.24837790429592133,0.24847546219825745,0.374670147895813,0.21580976247787476,0.23037773370742798,0.14617019891738892,0.2623659670352936,0.17290683090686798,0.11100157350301743,0.11872038245201111
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.28759655356407166,0.15185250341892242,0.3658004403114319,0.4062570035457611,0.24675612151622772,0.44245919585227966,0.22226782143115997,0.2729959785938263,0.31091248989105225
pensions,0.23060522973537445,0.19326290488243103,0.23565103113651276,0.2293812781572342,0.39239537715911865,0.21419335901737213,0.19326290488243103,0.2811085879802704,0.29661568999290466,0.20171451568603516,0.21638217568397522,0.22739949822425842
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.28759655356407166,0.15185250341892242,0.3658004403114319,0.4062570035457611,0.24675612151622772,0.44245919585227966,0.22226782143115997,0.2729959785938263,0.31091248989105225
education,0.12444977462291718,0.14324818551540375,0.23982903361320496,0.20713983476161957,0.2561057209968567,0.1723235547542572,0.14324818551540375,0.15669706463813782,0.2626708149909973,0.09954565763473511,0.12271896749734879,0.18067774176597595
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.36360108852386475,0.27548927068710327,0.506277859210968,0.48576638102531433,0.28586524724960327,0.48971283435821533,0.2800402045249939,0.2268613576889038,0.20544172823429108
health,0.24691897630691528,0.19031372666358948,0.2340974360704422,0.30733469128608704,0.3393878936767578,0.23529647290706635,0.19031372666358948,0.20817483961582184,0.29985085129737854,0.23104903101921082,0.11435714364051819,0.16094304621219635
care,0.3198530375957489,0.2662802040576935,0.1663842648267746,0.24131089448928833,0.3002736568450928,0.2031434029340744,0.2662802040576935,0.19383437931537628,0.27786314487457275,0.23802515864372253,0.12372966855764389,0.24279968440532684
.,0.3287222981452942,0.3452940285205841,0.5934505462646484,0.2603873014450073,0.22994452714920044,0.45942068099975586,0.3452940285205841,0.23902733623981476,0.4645031690597534,0.19342699646949768,0.2191859483718872,0.4130953550338745
