,what,are,free-to-air,encrypted,broadcasts,known,as,?
some,0.4491020441055298,0.6331475377082825,0.3656013011932373,0.2113562375307083,0.2097977101802826,0.29982712864875793,0.4293700158596039,0.2562315762042999
broadcasts,0.17804105579853058,0.18536077439785004,0.25505927205085754,0.28269949555397034,1.0000001192092896,0.19826993346214294,0.21394945681095123,0.1364026516675949
are,0.29724663496017456,1.0,0.2710716426372528,0.19641628861427307,0.18536077439785004,0.26720109581947327,0.3826591968536377,0.24591213464736938
free-to-air,0.2724332809448242,0.2710716426372528,0.9999998807907104,0.2964996099472046,0.25505927205085754,0.21791678667068481,0.2646140456199646,0.2213255912065506
and,0.31309178471565247,0.48576638102531433,0.31683194637298584,0.1586218774318695,0.2523579001426697,0.3468935489654541,0.49487000703811646,0.20544172823429108
unencrypted,0.2591041624546051,0.22389820218086243,0.31238651275634766,0.9406657218933105,0.29226353764533997,0.20531907677650452,0.24429833889007568,0.28533175587654114
",",0.3087472915649414,0.4062570035457611,0.3174576461315155,0.14657457172870636,0.2320742905139923,0.3604377806186676,0.48816442489624023,0.31091248989105225
some,0.4491020441055298,0.6331475377082825,0.3656013011932373,0.2113562375307083,0.2097977101802826,0.29982712864875793,0.4293700158596039,0.2562315762042999
are,0.29724663496017456,1.0,0.2710716426372528,0.19641628861427307,0.18536077439785004,0.26720109581947327,0.3826591968536377,0.24591213464736938
encrypted,0.20642973482608795,0.19641628861427307,0.2964996099472046,0.9999999403953552,0.28269949555397034,0.20407119393348694,0.20413751900196075,0.20868515968322754
but,0.5029441118240356,0.47990062832832336,0.3288000524044037,0.22251102328300476,0.1946113407611847,0.22940602898597717,0.4864770472049713,0.27921953797340393
do,0.4609605669975281,0.41111594438552856,0.25017011165618896,0.205654114484787,0.12030001729726791,0.23082251846790314,0.38329678773880005,0.4093979299068451
not,0.5449194312095642,0.46186959743499756,0.305024117231369,0.21239812672138214,0.23681282997131348,0.22453871369361877,0.5105602741241455,0.41942933201789856
require,0.2487315833568573,0.388192743062973,0.26204851269721985,0.3386891782283783,0.1269768923521042,0.08089163899421692,0.23686568439006805,0.2463286817073822
a,0.3320399522781372,0.265255331993103,0.34099528193473816,0.22327043116092682,0.18423420190811157,0.30882248282432556,0.39550232887268066,0.23916715383529663
monthly,0.22955510020256042,0.11589676141738892,0.23171395063400269,0.13571049273014069,0.2560912072658539,0.11709389090538025,0.18430396914482117,0.19385789334774017
subscription,0.21589209139347076,0.20064759254455566,0.30984851717948914,0.35881146788597107,0.37795647978782654,0.14521928131580353,0.18730632960796356,0.22697269916534424
(,0.2411840260028839,0.23263892531394958,0.1649114340543747,0.15142929553985596,0.25388914346694946,0.2843264043331146,0.32029855251312256,0.40561532974243164
known,0.20381177961826324,0.26720109581947327,0.21791678667068481,0.20407119393348694,0.19826993346214294,1.0,0.4815765619277954,0.18314571678638458
as,0.31749409437179565,0.3826591968536377,0.2646140456199646,0.20413751900196075,0.21394945681095123,0.4815765619277954,1.0,0.27043893933296204
free-to-view,0.30597445368766785,0.18427018821239471,0.7534821033477783,0.25229397416114807,0.31198686361312866,0.18554477393627167,0.2766537368297577,0.28864964842796326
),0.26259949803352356,0.2373749315738678,0.19465497136116028,0.15720009803771973,0.21479129791259766,0.297453910112381,0.32161882519721985,0.42300865054130554
