,statues,of,british,artists,adorn,which,part,of,the,tower,above,the,main,entrance,?
the,0.23103664815425873,0.733189046382904,0.28973397612571716,0.2150506228208542,0.19675415754318237,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.2398453801870346,0.33988961577415466,1.0,0.38631999492645264,0.31372344493865967,0.22068053483963013
main,0.21028277277946472,0.3177044689655304,0.13376963138580322,0.08843273669481277,0.10558309406042099,0.37042954564094543,0.32072335481643677,0.3177044689655304,0.38631999492645264,0.1441417932510376,0.20290391147136688,0.38631999492645264,1.0000001192092896,0.23408080637454987,0.1665669083595276
windows,0.21766038239002228,0.1744781881570816,0.09964140504598618,0.204713374376297,0.1611870527267456,0.2812843322753906,0.20191562175750732,0.1744781881570816,0.23561708629131317,0.308101624250412,0.23981037735939026,0.23561708629131317,0.09605138003826141,0.1964511275291443,0.17412035167217255
to,0.22434331476688385,0.41548454761505127,0.22690963745117188,0.2258228361606598,0.16709865629673004,0.5345056653022766,0.2875264883041382,0.41548454761505127,0.535392165184021,0.16907963156700134,0.30495497584342957,0.535392165184021,0.26116618514060974,0.24082104861736298,0.29463258385658264
the,0.23103664815425873,0.733189046382904,0.28973397612571716,0.2150506228208542,0.19675415754318237,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.2398453801870346,0.33988961577415466,1.0,0.38631999492645264,0.31372344493865967,0.22068053483963013
galleries,0.49469563364982605,0.24172402918338776,0.2164243906736374,0.41732892394065857,0.24754180014133453,0.28423401713371277,0.2222362458705902,0.24172402918338776,0.27603694796562195,0.28023257851600647,0.21881234645843506,0.27603694796562195,0.18755966424942017,0.30806025862693787,0.1957392692565918
are,0.26315340399742126,0.39081433415412903,0.12250547111034393,0.18602241575717926,0.19100606441497803,0.42922598123550415,0.3086032569408417,0.39081433415412903,0.40399202704429626,0.0878683552145958,0.30420252680778503,0.40399202704429626,0.2828797399997711,0.17370344698429108,0.24591213464736938
also,0.2719518840312958,0.4924938678741455,0.23564288020133972,0.23906348645687103,0.1517861932516098,0.6566565632820129,0.3594053089618683,0.4924938678741455,0.6021018624305725,0.1721610575914383,0.2769933044910431,0.6021018624305725,0.3484555184841156,0.25417718291282654,0.21848613023757935
mullioned,0.3526512384414673,0.24633046984672546,0.3062345087528229,0.22182492911815643,0.3536827266216278,0.27745741605758667,0.16613301634788513,0.24633046984672546,0.29565125703811646,0.18782129883766174,0.2080034464597702,0.29565125703811646,0.09873025864362717,0.2545623779296875,0.17490410804748535
and,0.30214235186576843,0.5116966962814331,0.325880765914917,0.22698481380939484,0.2616218030452728,0.506277859210968,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.23948386311531067,0.2363634556531906,0.5171257257461548,0.29831406474113464,0.24038183689117432,0.20544172823429108
transomed,0.27749234437942505,0.30657464265823364,0.2065562754869461,0.2215118557214737,0.26965928077697754,0.3915865421295166,0.26230236887931824,0.30657464265823364,0.3756663501262665,0.2873968183994293,0.21901792287826538,0.3756663501262665,0.1801711916923523,0.2554948627948761,0.17293702065944672
",",0.24535542726516724,0.4946078956127167,0.25734075903892517,0.2220294177532196,0.2305925488471985,0.3658004403114319,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.20524810254573822,0.2902800738811493,0.4933079481124878,0.2989408075809479,0.14223605394363403,0.31091248989105225
again,0.08606304973363876,0.24152639508247375,0.13962571322917938,0.16503383219242096,0.13672837615013123,0.3812651038169861,0.27315032482147217,0.24152639508247375,0.4104243218898773,0.15289412438869476,0.2052799016237259,0.4104243218898773,0.17367209494113922,0.15788249671459198,0.2679590880870819
