,when,do,plastoglobuli,occur,in,linked,groups,?
in,0.4431333839893341,0.23402775824069977,0.26680368185043335,0.26916563510894775,1.0,0.21849478781223297,0.22620722651481628,0.20430970191955566
normal,0.3445010781288147,0.3190809190273285,0.2700785994529724,0.3421280086040497,0.25896620750427246,0.2514585256576538,0.20347441732883453,0.19617988169193268
green,0.21209636330604553,0.15925562381744385,0.2376667708158493,0.10414358973503113,0.22731968760490417,0.2131325602531433,0.16105058789253235,0.11409882456064224
chloroplasts,0.2671385407447815,0.2621478736400604,0.708579957485199,0.3405669629573822,0.21141497790813446,0.2574089467525482,0.2449307143688202,0.13049766421318054
",",0.36674630641937256,0.3283645510673523,0.2822408080101013,0.28566715121269226,0.5201468467712402,0.24692510068416595,0.2671695053577423,0.31091248989105225
the,0.5091903209686279,0.30239659547805786,0.29747703671455383,0.26611819863319397,0.6662389636039734,0.2907569110393524,0.27790749073028564,0.22068053483963013
vast,0.17968252301216125,0.1681700348854065,0.2847658097743988,0.2202017456293106,0.24572928249835968,0.1898093968629837,0.22760775685310364,0.12112510949373245
majority,0.2109271138906479,0.2536437511444092,0.2502974569797516,0.18418264389038086,0.2563854157924652,0.11632181704044342,0.2936108410358429,0.220119908452034
of,0.3757161796092987,0.26150479912757874,0.3235050141811371,0.24223870038986206,0.5696388483047485,0.244833841919899,0.24723079800605774,0.1826142966747284
plastoglobuli,0.2506004571914673,0.29083991050720215,0.9999999403953552,0.3695952296257019,0.26680368185043335,0.26256847381591797,0.27027463912963867,0.205425426363945
occur,0.2505786716938019,0.32126864790916443,0.3695952296257019,1.0,0.26916563510894775,0.34822723269462585,0.27103152871131897,0.17999543249607086
singularly,0.2958834767341614,0.3332262933254242,0.35400325059890747,0.31502482295036316,0.2908586263656616,0.21368712186813354,0.2648759186267853,0.24368500709533691
",",0.36674630641937256,0.3283645510673523,0.2822408080101013,0.28566715121269226,0.5201468467712402,0.24692510068416595,0.2671695053577423,0.31091248989105225
attached,0.29954832792282104,0.2510189414024353,0.3541686534881592,0.2083302140235901,0.19534023106098175,0.286495178937912,0.159251406788826,0.10888541489839554
directly,0.35869741439819336,0.29662156105041504,0.24680280685424805,0.18732835352420807,0.25104159116744995,0.3073183000087738,0.2309817224740982,0.2187996357679367
to,0.5423505902290344,0.38876664638519287,0.24701064825057983,0.1967356950044632,0.45010748505592346,0.25303661823272705,0.24181967973709106,0.29463258385658264
their,0.3682888448238373,0.35424983501434326,0.2755817472934723,0.26070931553840637,0.34976133704185486,0.21055544912815094,0.30789998173713684,0.1898253709077835
parent,0.28496110439300537,0.21507158875465393,0.2544984519481659,0.13414882123470306,0.15339559316635132,0.23588109016418457,0.17599421739578247,0.19855059683322906
thylakoid,0.23459988832473755,0.2739792764186859,0.6463375091552734,0.3445136845111847,0.17373895645141602,0.18762308359146118,0.25988656282424927,0.19202344119548798
.,0.475719153881073,0.3613996207714081,0.31105032563209534,0.21290622651576996,0.5591574311256409,0.23676274716854095,0.2408272922039032,0.4130953550338745
