,what,did,luther,use,as,accompaniment,to,his,hymns,?
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.1741093397140503,0.33787044882774353,0.3324066698551178,0.385390967130661,0.7171558737754822,0.20989593863487244,0.2089974731206894
often,0.3849453330039978,0.26973026990890503,0.13597606122493744,0.41728803515434265,0.405699223279953,0.42543530464172363,0.4351843297481537,0.30419299006462097,0.26790907979011536,0.23748154938220978
accompanied,0.16123847663402557,0.19585031270980835,0.12886379659175873,0.1817660629749298,0.33499518036842346,0.6956703066825867,0.26281657814979553,0.3160599172115326,0.28206512331962585,0.14135776460170746
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.34342584013938904,0.48381632566452026,0.24381473660469055,0.535392165184021,0.4394008219242096,0.1660911738872528,0.22068053483963013
sung,0.201679527759552,0.15353147685527802,0.1888008564710617,0.1370238959789276,0.2351825088262558,0.4516955316066742,0.11964061856269836,0.1570725440979004,0.49296244978904724,0.15781855583190918
hymns,0.17175553739070892,0.1506377011537552,0.30894896388053894,0.15438726544380188,0.15609335899353027,0.4446595013141632,0.11944201588630676,0.20449216663837433,1.0000001192092896,0.17695237696170807
with,0.2464839518070221,0.25472134351730347,0.14705438911914825,0.3356984257698059,0.40387406945228577,0.29489317536354065,0.4239959120750427,0.33836179971694946,0.15511345863342285,0.2433311939239502
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.30793872475624084,0.39550232887268066,0.2570267617702484,0.45503583550453186,0.3497250974178314,0.13568030297756195,0.23916715383529663
lute,0.19592536985874176,0.15422144532203674,0.44226667284965515,0.2466336041688919,0.20303501188755035,0.5183490514755249,0.17367102205753326,0.19981002807617188,0.3944242596626282,0.14386817812919617
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.3276674151420593,0.48816442489624023,0.26664599776268005,0.44245919585227966,0.3378419280052185,0.2567901313304901,0.31091248989105225
later,0.2517229914665222,0.38386887311935425,0.23796728253364563,0.17144101858139038,0.38482072949409485,0.19755935668945312,0.393297016620636,0.4538118839263916,0.20579862594604492,0.1417175978422165
recreated,0.20902615785598755,0.2028493583202362,0.1200036108493805,0.3149431645870209,0.27702271938323975,0.19814230501651764,0.2564716637134552,0.11713702231645584,0.13017317652702332,0.25615641474723816
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,0.3453201949596405,1.0,0.3398638069629669,0.42092081904411316,0.3146366477012634,0.15609335899353027,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.34342584013938904,0.48381632566452026,0.24381473660469055,0.535392165184021,0.4394008219242096,0.1660911738872528,0.22068053483963013
waldzither,0.30736207962036133,0.2919505834579468,0.4448986351490021,0.24628490209579468,0.375947505235672,0.3453617990016937,0.3237830400466919,0.33802223205566406,0.33299463987350464,0.2933182418346405
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.3939064145088196,0.4735107421875,0.30647146701812744,0.5436353087425232,0.3173833191394806,0.16810394823551178,0.32716336846351624
became,0.1434093862771988,0.3632316589355469,0.18142570555210114,0.13620254397392273,0.3482101261615753,0.1780710071325302,0.20401327311992645,0.3503277599811554,0.1568589210510254,0.11374033987522125
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.30793872475624084,0.39550232887268066,0.2570267617702484,0.45503583550453186,0.3497250974178314,0.13568030297756195,0.23916715383529663
national,0.16882304847240448,0.17743784189224243,0.18569539487361908,0.16459034383296967,0.21661384403705597,0.09633181989192963,0.21067756414413452,0.17216522991657257,0.15741747617721558,0.15643028914928436
instrument,0.26433292031288147,0.21325770020484924,0.17015773057937622,0.26313263177871704,0.2015579342842102,0.5764707326889038,0.23756927251815796,0.19866333901882172,0.27356305718421936,0.14794185757637024
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2750902473926544,0.3886612355709076,0.22031131386756897,0.41548454761505127,0.38364991545677185,0.23365463316440582,0.1826142966747284
germany,0.21690446138381958,0.2132834792137146,0.30716460943222046,0.19710759818553925,0.17682115733623505,0.14947545528411865,0.24172882735729218,0.25163260102272034,0.13417436182498932,0.1388660967350006
