,how,are,chloroplasts,in,land,plants,usually,shaped,?
in,0.2601168751716614,0.3841303884983063,0.21141497790813446,1.0,0.22871792316436768,0.2697395086288452,0.28848564624786377,0.18983709812164307,0.20430970191955566
land,0.1918935328722,0.1816364973783493,0.193926602602005,0.22871792316436768,1.0000001192092896,0.3157452344894409,0.15703386068344116,0.16380824148654938,0.1432059109210968
plants,0.2699413597583771,0.35990846157073975,0.5701043605804443,0.2697395086288452,0.3157452344894409,1.0,0.3043793737888336,0.22812308371067047,0.1473488062620163
",",0.22659391164779663,0.4062570035457611,0.20794041454792023,0.5201468467712402,0.22220008075237274,0.2555769681930542,0.21946179866790771,0.18780866265296936,0.31091248989105225
chloroplasts,0.2384049892425537,0.3103833794593811,0.9999999403953552,0.21141497790813446,0.193926602602005,0.5701043605804443,0.28637638688087463,0.2835935950279236,0.13049766421318054
are,0.311818927526474,1.0,0.3103833794593811,0.3841303884983063,0.1816364973783493,0.35990846157073975,0.5635237097740173,0.2388693243265152,0.24591213464736938
generally,0.35949206352233887,0.5254502892494202,0.26174867153167725,0.28190043568611145,0.12743675708770752,0.2785602807998657,0.6714328527450562,0.27151116728782654,0.23411904275417328
lens-shaped,0.23675361275672913,0.2619156241416931,0.387993723154068,0.25263166427612305,0.25128111243247986,0.26764023303985596,0.3831159770488739,0.8324755430221558,0.13157573342323303
",",0.22659391164779663,0.4062570035457611,0.20794041454792023,0.5201468467712402,0.22220008075237274,0.2555769681930542,0.21946179866790771,0.18780866265296936,0.31091248989105225
5–8,0.07530923187732697,0.12605737149715424,-0.028774449601769447,-0.018844539299607277,-0.04858545586466789,0.016510384157299995,0.06639529764652252,-0.04692520573735237,-0.0022777854464948177
μm,0.2912418246269226,0.38176071643829346,0.5680314302444458,0.21465516090393066,0.23099936544895172,0.4156181216239929,0.39713436365127563,0.349089115858078,0.17310823500156403
in,0.2601168751716614,0.3841303884983063,0.21141497790813446,1.0,0.22871792316436768,0.2697395086288452,0.28848564624786377,0.18983709812164307,0.20430970191955566
diameter,0.16205844283103943,0.22767435014247894,0.3293652832508087,0.106893390417099,0.17011885344982147,0.23718038201332092,0.29138657450675964,0.38038450479507446,0.16941580176353455
and,0.33647966384887695,0.48576638102531433,0.21511349081993103,0.4954058527946472,0.2874513864517212,0.3052898943424225,0.3817319869995117,0.23687371611595154,0.20544172823429108
1–3,0.1375047266483307,0.16993696987628937,0.1601366102695465,0.12288714945316315,0.05223562940955162,0.12215795367956161,0.15453986823558807,0.10899167507886887,0.1213410347700119
μm,0.2912418246269226,0.38176071643829346,0.5680314302444458,0.21465516090393066,0.23099936544895172,0.4156181216239929,0.39713436365127563,0.349089115858078,0.17310823500156403
thick,0.20824910700321198,0.29148322343826294,0.3679347336292267,0.22397908568382263,0.24954210221767426,0.3487789034843445,0.39591118693351746,0.4397689998149872,0.1260182112455368
.,0.3287222981452942,0.3452940285205841,0.23868323862552643,0.5591574311256409,0.259204238653183,0.2542511522769928,0.28580138087272644,0.25674331188201904,0.4130953550338745
