,in,the,fall,quarter,of,2014,",",how,many,students,signed,up,for,the,university,'s,four,graduate,divisions,?
in,1.0,0.6662389636039734,0.22958555817604065,0.2899305522441864,0.5696388483047485,0.13996225595474243,0.5201468467712402,0.2601168751716614,0.41474202275276184,0.2676171064376831,0.21830837428569794,0.3120773434638977,0.4322226941585541,0.6662389636039734,0.3201795518398285,-0.037580832839012146,0.3085027039051056,0.2576194703578949,0.2698534429073334,0.20430970191955566
the,0.6662389636039734,1.0,0.3639753758907318,0.3659466803073883,0.733189046382904,0.059490643441677094,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.25268980860710144,0.20675969123840332,0.38423117995262146,0.4739971458911896,1.0,0.263973206281662,-0.01540423184633255,0.40344667434692383,0.1983441710472107,0.3125615119934082,0.22068053483963013
fall,0.22958555817604065,0.3639753758907318,1.0,0.14618076384067535,0.2854328155517578,0.08049772679805756,0.31587862968444824,0.20020759105682373,0.18789821863174438,0.16244542598724365,0.1253819763660431,0.2590300440788269,0.12688584625720978,0.3639753758907318,0.14549283683300018,-0.05826059728860855,0.14233733713626862,0.15693116188049316,0.12157730013132095,0.1656162142753601
quarter,0.2899305522441864,0.3659466803073883,0.14618076384067535,1.0,0.30494412779808044,-0.026488760486245155,0.2742914855480194,0.16386651992797852,0.17006465792655945,0.21022437512874603,0.13083124160766602,0.258023738861084,0.23415552079677582,0.3659466803073883,0.1716344952583313,0.027195217087864876,0.31106454133987427,0.10142462700605392,0.2692599594593048,0.1356993168592453
of,0.5696388483047485,0.733189046382904,0.2854328155517578,0.30494412779808044,1.0,0.0493064783513546,0.4946078956127167,0.2480744868516922,0.37253960967063904,0.25513339042663574,0.19593118131160736,0.32945773005485535,0.4185989499092102,0.733189046382904,0.30646374821662903,-0.03817026689648628,0.36293646693229675,0.21445734798908234,0.3138268291950226,0.1826142966747284
2014,0.13996225595474243,0.059490643441677094,0.08049772679805756,-0.026488760486245155,0.0493064783513546,1.0000001192092896,0.19350162148475647,0.06244484707713127,-0.02496628649532795,-0.02035689167678356,0.03281405195593834,0.11286771297454834,-0.029771532863378525,0.059490643441677094,0.030019817873835564,-0.012121890671551228,0.07805206626653671,0.017748473212122917,-0.06703507900238037,0.058127544820308685
",",0.5201468467712402,0.4933079481124878,0.31587862968444824,0.2742914855480194,0.4946078956127167,0.19350162148475647,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.26501646637916565,0.2289608120918274,0.34193792939186096,0.4464869201183319,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.31238991022109985,0.2738925516605377,0.27065619826316833,0.31091248989105225
the,0.6662389636039734,1.0,0.3639753758907318,0.3659466803073883,0.733189046382904,0.059490643441677094,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.25268980860710144,0.20675969123840332,0.38423117995262146,0.4739971458911896,1.0,0.263973206281662,-0.01540423184633255,0.40344667434692383,0.1983441710472107,0.3125615119934082,0.22068053483963013
university,0.3201795518398285,0.263973206281662,0.14549283683300018,0.1716344952583313,0.30646374821662903,0.030019817873835564,0.3017033040523529,0.12992997467517853,0.19385361671447754,0.4958297908306122,0.18852654099464417,0.1440795660018921,0.18573740124702454,0.263973206281662,1.0,-0.007441582623869181,0.22242772579193115,0.6244588494300842,0.16864295303821564,0.11887256056070328
of,0.5696388483047485,0.733189046382904,0.2854328155517578,0.30494412779808044,1.0,0.0493064783513546,0.4946078956127167,0.2480744868516922,0.37253960967063904,0.25513339042663574,0.19593118131160736,0.32945773005485535,0.4185989499092102,0.733189046382904,0.30646374821662903,-0.03817026689648628,0.36293646693229675,0.21445734798908234,0.3138268291950226,0.1826142966747284
