,what,production,company,pitched,the,untouchables,to,cbs,in,1958,?
in,0.30808621644973755,0.22079120576381683,0.22141718864440918,0.18796613812446594,0.6662389636039734,0.18062914907932281,0.45010748505592346,0.17584392428398132,1.0,0.03953266516327858,0.20430970191955566
late,0.1576872020959854,0.152230367064476,0.14050829410552979,0.12389279156923294,0.31481194496154785,0.0935392752289772,0.25809016823768616,0.2876780033111572,0.3439198434352875,0.006603755988180637,0.11339222639799118
1958,0.05193012207746506,0.057270877063274384,0.05532068386673927,0.20495223999023438,0.1250157356262207,0.04475848004221916,0.047594811767339706,-0.025672050192952156,0.03953266516327858,1.0000001192092896,0.009362862445414066
",",0.3087472915649414,0.24176549911499023,0.2697763442993164,0.1855812668800354,0.4933079481124878,0.3070976436138153,0.44245919585227966,0.18569420278072357,0.5201468467712402,0.04944115877151489,0.31091248989105225
desilu,0.24402375519275665,0.28548556566238403,0.20513959228992462,0.21538543701171875,0.37300193309783936,0.2707822322845459,0.3143674433231354,0.20101940631866455,0.28848710656166077,0.13624030351638794,0.13460122048854828
productions,0.18529511988162994,0.8647903800010681,0.3998022973537445,0.18983633816242218,0.2695383131504059,0.39099815487861633,0.19399814307689667,0.36295196413993835,0.23328478634357452,0.03152798116207123,0.22681239247322083
pitched,0.19307056069374084,0.1580457091331482,0.09285596758127213,1.0000001192092896,0.21073074638843536,0.18481561541557312,0.1641995757818222,0.24118749797344208,0.18796613812446594,0.20495223999023438,0.1639576405286789
its,0.30393704771995544,0.2860186994075775,0.258992999792099,0.12908340990543365,0.559237003326416,0.17017759382724762,0.3691340684890747,0.18914800882339478,0.3793783485889435,0.14790503680706024,0.15103481709957123
detective,0.15935367345809937,0.18397049605846405,0.19109278917312622,0.1920250803232193,0.23875512182712555,0.3873146176338196,0.17244531214237213,0.31085899472236633,0.24981169402599335,0.15012012422084808,0.12046074122190475
series,0.17328087985515594,0.19960786402225494,0.23864467442035675,0.2332952618598938,0.31376904249191284,0.3745060861110687,0.19879554212093353,0.36656585335731506,0.2914260923862457,0.08067793399095535,0.1709602326154709
the,0.42745697498321533,0.2657334506511688,0.26591673493385315,0.21073074638843536,1.0,0.25308316946029663,0.535392165184021,0.2283918708562851,0.6662389636039734,0.1250157356262207,0.22068053483963013
untouchables,0.21505165100097656,0.2528550922870636,0.22627951204776764,0.18481561541557312,0.25308316946029663,1.0,0.15470634400844574,0.30645468831062317,0.18062914907932281,0.04475848004221916,0.1972702145576477
to,0.455847829580307,0.2144220918416977,0.24903783202171326,0.1641995757818222,0.535392165184021,0.15470634400844574,1.0,0.16981691122055054,0.45010748505592346,0.047594811767339706,0.29463258385658264
cbs,0.1950361132621765,0.2566474676132202,0.1798810362815857,0.24118749797344208,0.2283918708562851,0.30645468831062317,0.16981691122055054,1.0,0.17584392428398132,-0.025672050192952156,0.14594407379627228
;,0.10986888408660889,-0.06475180387496948,0.0690227821469307,-0.0046765003353357315,0.09152708947658539,0.052779681980609894,0.0979827418923378,0.03391492739319801,0.092739537358284,0.0466490164399147,0.10349778085947037
