,how,long,did,it,take,to,improve,on,sir,isaac,newton,'s,laws,of,motion,?
with,0.3525622487068176,0.289187490940094,0.25472134351730347,0.3369046747684479,0.21222369372844696,0.4239959120750427,0.2757526636123657,0.40749499201774597,0.1556212604045868,0.10352150350809097,0.1584642082452774,-0.04624466598033905,0.1318022757768631,0.41827285289764404,0.12502939999103546,0.2433311939239502
his,0.24614305794239044,0.18129055202007294,0.3546801507472992,0.2876833975315094,0.24483558535575867,0.3715193271636963,0.2470168024301529,0.32064297795295715,0.28580740094184875,0.23855182528495789,0.2519145607948303,0.047556519508361816,0.22580213844776154,0.38364991545677185,0.2059025764465332,0.18075084686279297
mathematical,0.34284481406211853,0.15276408195495605,0.1980479508638382,0.2030196636915207,0.1773442029953003,0.2660215497016907,0.206566721200943,0.15558446943759918,0.21160665154457092,0.2963639795780182,0.39774221181869507,-0.004545816220343113,0.25622841715812683,0.2863022983074188,0.29074379801750183,0.1630573719739914
insight,0.2948777973651886,0.1226467713713646,0.2157355099916458,0.19589146971702576,0.15076345205307007,0.2129393368959427,0.3482718765735626,0.14405500888824463,0.15298713743686676,0.1520271599292755,0.12833371758460999,0.0453760027885437,0.21075700223445892,0.12511052191257477,0.21059557795524597,0.34185463190078735
",",0.22659391164779663,0.3431144952774048,0.3015086054801941,0.48329564929008484,0.2881867289543152,0.44245919585227966,0.27952802181243896,0.49057599902153015,0.2283722162246704,0.21904198825359344,0.2648763358592987,-0.0016132977325469255,0.26751992106437683,0.4946078956127167,0.18457698822021484,0.31091248989105225
sir,0.1664465218782425,0.1637759506702423,0.15892378985881805,0.17595145106315613,0.1298515647649765,0.2122868150472641,0.18013639748096466,0.16405008733272552,1.0000001192092896,0.32108786702156067,0.2653310000896454,-0.04094419255852699,0.1569034457206726,0.17569157481193542,0.16238519549369812,0.10503887385129929
isaac,0.19686435163021088,0.17848610877990723,0.20115409791469574,0.11551105231046677,0.09172236174345016,0.20872028172016144,0.14356006681919098,0.11276222765445709,0.32108786702156067,1.0,0.45308101177215576,-0.1239321306347847,0.3109795153141022,0.16408409178256989,0.2971844971179962,0.1153682991862297
newton,0.2514588236808777,0.1328132003545761,0.23863376677036285,0.16236042976379395,0.07051888853311539,0.2176830768585205,0.15327242016792297,0.14340966939926147,0.2653310000896454,0.45308101177215576,1.0000001192092896,0.027833467349410057,0.360447496175766,0.18479612469673157,0.3923175632953644,0.09645649790763855
formulated,0.26518094539642334,0.16671834886074066,0.20903408527374268,0.23113423585891724,0.21364353597164154,0.2502133846282959,0.23230476677417755,0.16592609882354736,0.2279892861843109,0.24596993625164032,0.33156055212020874,-0.026666270568966866,0.3828209936618805,0.29343387484550476,0.22781607508659363,0.17216148972511292
laws,0.295886754989624,0.15600936114788055,0.2617504894733429,0.24084556102752686,0.2301820069551468,0.2910608649253845,0.21216709911823273,0.16233189404010773,0.1569034457206726,0.3109795153141022,0.360447496175766,-0.02741883508861065,1.0,0.2539142072200775,0.33198657631874084,0.17911791801452637
of,0.2480744868516922,0.2567519545555115,0.2513895630836487,0.38761502504348755,0.29282352328300476,0.41548454761505127,0.2226867526769638,0.3966929316520691,0.17569157481193542,0.16408409178256989,0.18479612469673157,-0.03817026689648628,0.2539142072200775,1.0,0.24864931404590607,0.1826142966747284
motion,0.27435019612312317,0.12396290898323059,0.17987219989299774,0.21295468509197235,0.16184797883033752,0.26277783513069153,0.1850740909576416,0.1802297979593277,0.16238519549369812,0.2971844971179962,0.3923175632953644,-0.0527731329202652,0.33198657631874084,0.24864931404590607,0.9999999403953552,0.20143945515155792
that,0.557814359664917,0.34424030780792236,0.47518548369407654,0.5921133160591125,0.3651382029056549,0.5436353087425232,0.35122907161712646,0.42569106817245483,0.2038590908050537,0.1655493825674057,0.22769790887832642,0.04397977516055107,0.29808905720710754,0.41498205065727234,0.2637788951396942,0.32716336846351624
were,0.2082374095916748,0.18442559242248535,0.4162326455116272,0.25487732887268066,0.2094898670911789,0.31913647055625916,0.16153068840503693,0.2774328887462616,0.194364532828331,0.23545897006988525,0.20039378106594086,0.007088581565767527,0.2774597406387329,0.34038281440734863,0.14214712381362915,0.17890112102031708
not,0.4869767427444458,0.2856379747390747,0.6481515765190125,0.4651523232460022,0.31103554368019104,0.5149973034858704,0.3471875488758087,0.3516409695148468,0.16673818230628967,0.1503036618232727,0.21876533329486847,0.002583299996331334,0.2995064854621887,0.3307090103626251,0.19203688204288483,0.41942933201789856
improved-on,0.3027366101741791,0.23061540722846985,0.2641218900680542,0.26088398694992065,0.21329504251480103,0.28168153762817383,0.855421245098114,0.2990033030509949,0.25767165422439575,0.16964346170425415,0.20087431371212006,0.03093779645860195,0.14070385694503784,0.23291128873825073,0.17529313266277313,0.27789464592933655
