,how,did,this,effect,the,producer,prices,?
this,0.45272302627563477,0.3609912693500519,0.9999999403953552,0.3899325728416443,0.6274310946464539,0.17232827842235565,0.25254490971565247,0.3155723512172699
work,0.38187548518180847,0.336654931306839,0.4280385971069336,0.2682151198387146,0.2704800069332123,0.19189411401748657,0.21974478662014008,0.2621155381202698
",",0.22659391164779663,0.3015086054801941,0.4316047728061676,0.2150653600692749,0.4933079481124878,0.35589754581451416,0.24323208630084991,0.31091248989105225
which,0.4852597713470459,0.2750149369239807,0.6719430088996887,0.33791235089302063,0.6521818041801453,0.22492340207099915,0.26882874965667725,0.25814583897590637
included,0.13500849902629852,0.32908451557159424,0.34159374237060547,0.12921348214149475,0.3825419843196869,0.13759328424930573,0.17471753060817719,0.14385655522346497
linking,0.2342383861541748,0.1409250795841217,0.3800809979438782,0.25312381982803345,0.3217690885066986,0.07774057984352112,0.1828172653913498,0.30025315284729004
producers,0.17541246116161346,0.2055254876613617,0.20994265377521515,0.14394180476665497,0.23758956789970398,0.7043529748916626,0.3343558609485626,0.15943901240825653
to,0.44169697165489197,0.4452643394470215,0.5759071707725525,0.2521958649158478,0.535392165184021,0.16422288119792938,0.3313114047050476,0.29463258385658264
wholesalers,0.26400983333587646,0.24188944697380066,0.3016178607940674,0.21663156151771545,0.24334463477134705,0.22254575788974762,0.5688711404800415,0.26256245374679565
",",0.22659391164779663,0.3015086054801941,0.4316047728061676,0.2150653600692749,0.4933079481124878,0.35589754581451416,0.24323208630084991,0.31091248989105225
helped,0.31218069791793823,0.48476338386535645,0.2181582897901535,0.13951218128204346,0.3108886480331421,0.13207192718982697,0.12613479793071747,0.16572049260139465
to,0.44169697165489197,0.4452643394470215,0.5759071707725525,0.2521958649158478,0.535392165184021,0.16422288119792938,0.3313114047050476,0.29463258385658264
increase,0.29766717553138733,0.15550044178962708,0.3563258945941925,0.39632299542427063,0.32049667835235596,0.1720982939004898,0.3687003254890442,0.11119163036346436
local,0.1895620971918106,0.1319427639245987,0.2281547635793686,0.13103432953357697,0.2130540907382965,0.1158432811498642,0.2230687141418457,0.15022775530815125
producer,0.15277746319770813,0.1227913573384285,0.17232827842235565,0.14778071641921997,0.20962586998939514,1.0,0.24249225854873657,0.17015865445137024
prices,0.28604358434677124,0.22555270791053772,0.25254490971565247,0.2105419933795929,0.24549299478530884,0.24249225854873657,0.9999999403953552,0.14604969322681427
by,0.34370526671409607,0.18574509024620056,0.38438332080841064,0.21400253474712372,0.4408751428127289,0.236362025141716,0.18755671381950378,0.17966607213020325
20–25,0.050466302782297134,0.1885591745376587,0.07257211953401566,-0.0522586852312088,0.06523949652910233,-0.005487207323312759,0.21216516196727753,0.09981384128332138
%,0.1237400695681572,0.1450016051530838,0.2505219876766205,0.12318433076143265,0.21490740776062012,0.13306953012943268,0.16593661904335022,0.21441808342933655
in,0.2601168751716614,0.2593238651752472,0.45205554366111755,0.25150683522224426,0.6662389636039734,0.1708001047372818,0.22619551420211792,0.20430970191955566
nairobi,0.10933924466371536,0.1278911978006363,0.14904941618442535,0.045829687267541885,0.19357922673225403,0.22876083850860596,0.2437504529953003,0.10651574283838272
and,0.33647966384887695,0.34479495882987976,0.42353692650794983,0.23508284986019135,0.5171257257461548,0.31731775403022766,0.2769239842891693,0.20544172823429108
mombasa,0.1068350300192833,0.08541414886713028,0.1943180412054062,0.03837094083428383,0.28063899278640747,0.2367001622915268,0.21588435769081116,0.15605612099170685
.,0.3287222981452942,0.35288307070732117,0.500583827495575,0.2277858853340149,0.5934505462646484,0.2136206030845642,0.208346426486969,0.4130953550338745
