,what,happened,to,the,apollo,program,in,for,the,rest,of,1970,after,the,incident,regarding,apollo,13,?
apollo,0.13561789691448212,0.1382158100605011,0.23190522193908691,0.2169172167778015,0.9999999403953552,0.3344622850418091,0.1461767554283142,0.18462510406970978,0.2169172167778015,0.07214182615280151,0.1786269098520279,0.032384809106588364,0.18112117052078247,0.2169172167778015,0.11379418522119522,0.11065490543842316,0.9999999403953552,0.07126487791538239,0.191528782248497
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.48711544275283813,0.2306441366672516,0.1849333792924881,0.45514053106307983,0.3863949179649353,0.48711544275283813,0.22034120559692383,0.4069072902202606,0.08790356665849686,0.49306565523147583,0.48711544275283813,0.2793358564376831,0.19990648329257965,0.2306441366672516,0.020193999633193016,0.18412111699581146
grounded,0.20799553394317627,0.22474370896816254,0.21771302819252014,0.2820974290370941,0.16952994465827942,0.1709163784980774,0.21672998368740082,0.21880434453487396,0.2820974290370941,0.2902032434940338,0.23655028641223907,-0.027405833825469017,0.2095356434583664,0.2820974290370941,0.24686983227729797,0.16726544499397278,0.16952994465827942,0.000555765931494534,0.11795409768819809
again,0.3921525180339813,0.36267876625061035,0.4861571192741394,0.4104243218898773,0.22492848336696625,0.15971937775611877,0.3318929970264435,0.3308057188987732,0.4104243218898773,0.3182758390903473,0.24152639508247375,0.028264043852686882,0.453068345785141,0.4104243218898773,0.21480251848697662,0.14992773532867432,0.22492848336696625,0.0030392142944037914,0.2679590880870819
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.4933079481124878,0.19808128476142883,0.17760658264160156,0.5201468467712402,0.4464869201183319,0.4933079481124878,0.3065745532512665,0.4946078956127167,0.10338303446769714,0.38860568404197693,0.4933079481124878,0.2505533993244171,0.2758248746395111,0.19808128476142883,0.028695285320281982,0.31091248989105225
for,0.3017193675041199,0.23292502760887146,0.4451248347759247,0.4739971458911896,0.18462510406970978,0.29441335797309875,0.4322226941585541,0.9999999403953552,0.4739971458911896,0.24690839648246765,0.4185989499092102,0.03739495575428009,0.3650246858596802,0.4739971458911896,0.19116076827049255,0.3162982165813446,0.18462510406970978,-0.016487080603837967,0.264628142118454
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.2169172167778015,0.22986935079097748,0.6662389636039734,0.4739971458911896,1.0,0.41330549120903015,0.733189046382904,0.013761552982032299,0.4565047025680542,1.0,0.248931884765625,0.29280903935432434,0.2169172167778015,-0.007407139986753464,0.22068053483963013
remainder,0.16447044909000397,0.12586721777915955,0.26773399114608765,0.3679514229297638,0.15606456995010376,0.10037083923816681,0.2550954818725586,0.22694335877895355,0.3679514229297638,0.39746278524398804,0.27211251854896545,-0.02680106647312641,0.3124816417694092,0.3679514229297638,0.17545583844184875,0.22581426799297333,0.15606456995010376,0.06018802896142006,0.13579487800598145
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.733189046382904,0.1786269098520279,0.17376001179218292,0.5696388483047485,0.4185989499092102,0.733189046382904,0.33621829748153687,1.0,0.12830553948879242,0.3867455720901489,0.733189046382904,0.1904071718454361,0.2715161442756653,0.1786269098520279,0.019282439723610878,0.1826142966747284
1970,-0.04533620923757553,0.04648515582084656,-0.011698837392032146,0.013761552982032299,0.032384809106588364,-0.05503978952765465,0.052265819162130356,0.03739495575428009,0.013761552982032299,0.005224804859608412,0.12830553948879242,1.0,-0.020275002345442772,0.013761552982032299,0.06870761513710022,-0.03800559043884277,0.032384809106588364,0.09165724366903305,-0.007446378003805876
