,which,group,keep,the,eggs,are,fertilized,and,kept,inside,the,parent,'s,body,until,they,hatch,?
fertilization,0.3412281274795532,0.17710089683532715,0.1652449369430542,0.28298038244247437,0.5108038187026978,0.25962281227111816,0.8495158553123474,0.24803239107131958,0.10678543895483017,0.32549673318862915,0.28298038244247437,0.2911961078643799,0.00023789708211552352,0.2668195366859436,0.20119696855545044,0.256952702999115,0.4438422620296478,0.18676581978797913
is,0.4457404911518097,0.22153858840465546,0.23241287469863892,0.5823672413825989,0.17573606967926025,0.5330929756164551,0.20374098420143127,0.3859752118587494,0.22417712211608887,0.2848464548587799,0.5823672413825989,0.24838975071907043,0.02396530658006668,0.2790417969226837,0.23065046966075897,0.330102801322937,0.10082390904426575,0.22961433231830597
generally,0.5185179114341736,0.21385514736175537,0.25359204411506653,0.41466525197029114,0.21691951155662537,0.5254502892494202,0.25792598724365234,0.4087323546409607,0.24870313704013824,0.26983287930488586,0.41466525197029114,0.24986828863620758,0.017207007855176926,0.277296781539917,0.19056600332260132,0.4530896842479706,0.14389972388744354,0.23411904275417328
external,0.3379550576210022,0.14812828600406647,0.23649048805236816,0.22874414920806885,0.1877177655696869,0.25311222672462463,0.3060450553894043,0.23221412301063538,0.12114942818880081,0.37637192010879517,0.22874414920806885,0.2621729075908661,3.427300907787867e-05,0.2526068687438965,0.1384391188621521,0.23499956727027893,0.2545200288295746,0.18867096304893494
",",0.3658004403114319,0.2809832692146301,0.29710182547569275,0.4933079481124878,0.22180765867233276,0.4062570035457611,0.2304401844739914,0.6633074283599854,0.2797359526157379,0.2100258767604828,0.4933079481124878,0.23819732666015625,-0.0016132977325469255,0.22437527775764465,0.2947838604450226,0.390799880027771,0.18023641407489777,0.31091248989105225
although,0.3901670575141907,0.16679240763187408,0.24362407624721527,0.3265823423862457,0.20458391308784485,0.30740880966186523,0.22268885374069214,0.334905743598938,0.26369139552116394,0.1995680332183838,0.3265823423862457,0.14664269983768463,0.06846998631954193,0.18052786588668823,0.3241037130355835,0.35977882146835327,0.177891343832016,0.15541206300258636
platyctenids,0.33349373936653137,0.26683470606803894,0.15601801872253418,0.2612636685371399,0.4853828251361847,0.3534345328807831,0.48013922572135925,0.26407063007354736,0.1605270504951477,0.2707844376564026,0.2612636685371399,0.21623282134532928,0.10890542715787888,0.28842195868492126,0.14659863710403442,0.3928740918636322,0.3274671137332916,0.1917940229177475
',0.32852497696876526,0.2430734932422638,0.2780037820339203,0.474788099527359,0.1351114958524704,0.24618251621723175,0.15460316836833954,0.3053182065486908,0.2146497368812561,0.1313452273607254,0.474788099527359,0.26485636830329895,0.07651367038488388,0.19061711430549622,0.2319411337375641,0.27022266387939453,0.1293487697839737,0.330942302942276
eggs,0.2575799822807312,0.11657394468784332,0.13976483047008514,0.18844112753868103,1.0,0.3175458312034607,0.5859277844429016,0.23515591025352478,0.1756799966096878,0.3009345233440399,0.18844112753868103,0.2741016447544098,0.09262866526842117,0.28098076581954956,0.2288849800825119,0.33344611525535583,0.5883505344390869,0.1739477664232254
are,0.42922598123550415,0.35980498790740967,0.31961384415626526,0.40399202704429626,0.3175458312034607,1.0,0.28268149495124817,0.48576638102531433,0.27451783418655396,0.3166534900665283,0.40399202704429626,0.22318822145462036,-0.008927806280553341,0.2451179027557373,0.154075488448143,0.610666811466217,0.1970698982477188,0.24591213464736938
